"Player","Team","Rec","Rec Yds","Rec Tds","Rush Att","Rush Yds","Rush Tds","FL","FPts"
"Josh Reynolds","LAR",18.7,281.8,1.6,"","",0.,0.,39.3
"JuJu Smith-Schuster","PIT",106.5,1366.6,8.3,"","",0.,0.,190.7
"Julian Edelman","NE",97.8,1210.7,7.4,"","","",0.,174.1
"Julio Jones","ATL",112.7,1563.8,10.3,"","",0.,0.,219.2
"Justin Hardy","ATL",16.4,186.7,1.1,0.,0.,0.,0.,26.1
"Justin Watson","TB",8.1,124.4,0.6,0.,0.,0.,0.,16.4
"Keelan Cole","JAC",39.,505.3,2.5,0.,0.,0.,0.,65.7
"Keenan Allen","LAC",96.8,1250.1,7.,"","",0.,0.,168.5
"Keith Kirkwood","NO",23.,297.8,1.9,0.,0.,0.,0.,41.5
"Keke Coutee","HOU",36.7,421.9,2.1,"","",0.,0.,57.5
"Kelvin Harmon","WAS",8.8,111.5,0.6,0.,0.,0.,0.,15.6
"Kendrick Bourne","SF",6.2,171.1,0.5,"","",0.,0.,20.4
"Kenny Golladay","DET",74.1,1030.2,6.,"","",0.,0.,139.7
"Kenny Stills","HOU",52.4,806.3,5.6,0.,"",0.,0.,115.2
"Larry Fitzgerald","ARI",65.3,751.,5.,0.,0.,0.,0.,105.5
"Mack Hollins","PHI",4.5,73.7,0.4,0.,0.,0.,0.,9.6
"Marqise Lee","JAC",33.1,461.8,2.5,"","",0.,0.,64.7
"Marquez Valdes-Scantling","GB",42.4,504.4,2.7,"","",0.,0.,70.2
"Marquise Brown","BAL",37.65,547.3,3.6,"","",0.,0.,80.9
"Marquise Goodwin","SF",55.9,818.8,4.9,"","",0.,0.,112.6
"Marvin Jones","DET",59.5,952.1,6.5,0.,0.,0.,0.,134.6
"Mecole Hardman","KC",18.6,209.5,1.3,"","",0.,0.,29.5
"Michael Crabtree","ARI",26.2,303.4,1.7,0.,0.,0.,0.,41.7
"Michael Gallup","DAL",49.6,731.4,4.2,"","",0.,0.,98.2
"Michael Thomas","NO",101.5,1272.7,7.5,0.,0.,0.,0.,172.5
"Mike Evans","TB",78.2,1380.6,8.9,0.,0.,0.,0.,191.7
