Rank,Player,Team,Opp,Position,PUNTS,PUNT_YDS,PUNT_RETURN_YD,PUNT_INSIDE20,Pts
1,"Lee, Andy",ARZ,@SFO,P,5.8,273.8,31.1,1.8,18.5
2,"Hekker, Johnny",LAR,@SEA,P,4.9,234.5,10.,2.5,17.8
3,"Koch, Sam",BAL,@CLE,P,5.1,230.8,19.9,2.5,17.4
4,"Edwards, Lachlan",NYJ,DEN,P,5.6,252.8,28.2,1.8,17.4
5,"Huber, Kevin",CIN,MIA,P,5.4,247.8,24.5,1.7,16.6
6,"Daniel, Trevor",HOU,DAL,P,4.9,236.2,31.9,1.9,16.5
7,"Pinion, Bradley",SFO,ARZ,P,5.3,231.8,14.9,1.8,16.3
8,"Haack, Matt",MIA,@CIN,P,5.1,228.8,14.7,1.8,16.1
9,"Kern, Brett",TEN,@BUF,P,4.8,224.4,19.2,1.9,16.1
10,"Dickson, Michael",SEA,LAR,P,5.2,231.5,24.4,1.6,15.7
11,"Cooke, Logan",JAC,@KCC,P,4.9,221.2,16.8,1.6,15.1
12,"Dixon, Riley",NYG,@CAR,P,5.2,231.1,19.7,1.4,14.9
13,"Townsend, Johnny",OAK,@LAC,P,4.4,206.4,15.5,1.7,14.7
14,"Palardy, Michael",CAR,NYG,P,4.6,207.1,14.1,1.6,14.5
15,"Colquitt, Dustin",KCC,JAC,P,4.3,196.,10.5,1.9,14.4
16,"Sanchez, Rigoberto",IND,@NEP,P,4.7,214.3,5.5,1.5,14.4
17,"Way, Tress",WAS,@NOR,P,4.5,204.6,23.7,1.6,14.3
18,"Wile, Matt",MIN,@PHI,P,4.6,191.7,13.2,1.8,14.1
19,"Kaser, Drew",LAC,OAK,P,4.1,195.9,17.5,1.5,13.6
20,"Bojorquez, Corey",BUF,TEN,P,4.5,196.7,13.9,1.4,13.5
21,"King, Marquette",DEN,@NYJ,P,4.2,194.6,12.5,1.5,13.4
22,"Jones, Chris",DAL,@HOU,P,3.9,175.9,7.2,1.9,13.1
23,"Martin, Sam",DET,GBP,P,4.2,187.,13.4,1.4,13.
24,"Colquitt, Britton",CLE,BAL,P,4.1,189.8,20.6,1.2,12.6
25,"Allen, Ryan",NEP,IND,P,3.9,168.,6.1,1.5,12.1
26,"Johnston, Cam",PHI,MIN,P,3.9,177.4,10.9,1.3,11.9
27,"Berry, Jordan",PIT,ATL,P,3.8,163.3,11.,1.5,11.7
28,"Scott, J.K.",GBP,@DET,P,3.9,169.7,10.9,1.1,11.4
29,"Bosher, Matt",ATL,@PIT,P,3.4,152.9,12.,1.4,11.1
30,"Morstead, Thomas",NOR,WAS,P,3.,140.7,11.,1.2,10.
