"Rank","Player","Team","Opp","Position","GAMES_WON","GAMES_LOST","POINTS_SCORED","POINTS_DIFF","Pts"
1,"Tomlin, Mike","PIT","CLE","HC",1.,0.,35.,9.,24.2
2,"Reid, Andy","KCC","OAK","HC",1.,0.,35.,8.,23.9
3,"Harbaugh, John","BAL","SFO","HC",1.,0.,31.,8.,21.9
4,"Shurmur, Pat","NYG","GBP","HC",1.,0.,30.,8.,21.4
5,"Payton, Sean","NOS","@ATL","HC",1.,0.,30.,7.,21.1
6,"Gruden, Jon","OAK","@KCC","HC",1.,0.,30.,7.,21.1
7,"Koetter, Dirk","ATL","NOS","HC",1.,0.,28.,7.,20.1
8,"Lynn, Anthony","LAC","@DEN","HC",1.,0.,27.,8.,19.9
9,"Rivera, Ron","CAR","WAS","HC",1.,0.,27.,7.,19.6
10,"Garrett, Jason","DAL","BUF","HC",1.,0.,27.,6.,19.3
11,"Pederson, Doug","PHI","@MIA","HC",1.,0.,28.,4.,19.2
12,"Quinn, Dan","ATL","NOS","HC",1.,0.,26.,4.,18.2
13,"Belichick, Bill","NEP","@HOU","HC",0.,1.,26.,-3.,12.1
14,"Gruden, Jay","WAS","@CAR","HC",0.,1.,24.,-1.,11.7
15,"McVay, Sean","LAR","@ARZ","HC",0.,1.,24.,-8.,9.6
16,"Gase, Adam","NYJ","@CIN","HC",0.,1.,24.,-11.,8.7
17,"Shanahan, Kyle","SFO","@BAL","HC",0.,1.,23.,-10.,8.5
18,"Zimmer, Mike","MIN","@SEA","HC",0.,1.,21.,-8.,8.1
19,"Carroll, Pete","SEA","MIN","HC",0.,1.,21.,-9.,7.8
20,"Reich, Frank","IND","TEN","HC",0.,1.,21.,-10.,7.5
21,"O'Brien, Bill","HOU","NEP","HC",0.,1.,20.,-9.,7.3
22,"Marrone, Doug","JAC","TBB","HC",0.,1.,19.,-9.,6.8
23,"Patricia, Matt","DET","CHI","HC",0.,1.,19.,-10.,6.5
24,"McDermott, Sean","BUF","@DAL","HC",0.,1.,18.,-12.,5.4
25,"Nagy, Matt","CHI","@DET","HC",0.,1.,17.,-12.,4.9
26,"Vrabel, Mike","TEN","@IND","HC",0.,1.,17.,-12.,4.9
"","","","","","","","","",""
