"Rank","Player","Team","Opp","Position","PUNTS","PUNT_YDS","PUNT_RETURN_YD","PUNT_INSIDE20","Pts"
1,"Lee, Andy","ARZ","LAR","P",5.8,281.,24.,2.2,19.7
2,"Cooke, Logan","JAC","TBB","P",5.5,249.,14.,2.2,17.8
3,"Way, Tress","WAS","@CAR","P",5.1,234.,23.,2.3,17.4
4,"Edwards, Lachlan","NYJ","@CIN","P",5.5,252.,25.,1.7,17.
5,"Haack, Matt","MIA","PHI","P",5.4,240.,21.,2.,16.8
6,"Kern, Brett","TEN","@IND","P",4.7,226.,18.,2.3,16.6
7,"Daniel, Trevor","HOU","NEP","P",4.9,220.,20.,2.3,16.5
8,"Dickson, Michael","SEA","MIN","P",5.1,244.,26.,1.6,16.2
9,"Wadman, Colby","DEN","LAC","P",5.2,232.,22.,1.7,16.
10,"Huber, Kevin","CIN","NYJ","P",5.,228.,19.,1.8,15.8
11,"Martin, Sam","DET","CHI","P",4.9,216.,18.,2.,15.7
12,"Bojorquez, Corey","BUF","@DAL","P",5.,219.,16.,1.9,15.5
13,"Koch, Sam","BAL","SFO","P",4.4,201.,21.,1.9,14.6
14,"Wile, Matt","MIN","@SEA","P",4.6,208.,13.,1.7,14.4
15,"O'Donnell, Pat","CHI","@DET","P",4.2,184.,9.,2.1,14.
16,"Sanchez, Rigoberto","IND","TEN","P",4.4,197.,5.,1.7,13.9
17,"Dixon, Riley","NYG","GBP","P",4.6,207.,11.,1.3,13.7
18,"Scott, J.K.","GBP","@NYG","P",4.6,203.,14.,1.1,13.3
19,"Johnston, Cam","PHI","@MIA","P",3.9,186.,11.,1.6,13.1
20,"Cole, A.J.","OAK","@KCC","P",4.3,189.,13.,1.3,13.
21,"Palardy, Michael","CAR","WAS","P",4.1,184.,12.,1.4,12.9
22,"Wishnowsky, Mitch","SFO","@BAL","P",4.1,181.,10.,1.5,12.7
23,"Berry, Jordan","PIT","CLE","P",3.8,166.,16.,1.8,12.7
24,"Long, Ty","LAC","@DEN","P",4.,181.,17.,1.4,12.5
25,"Hekker, Johnny","LAR","@ARZ","P",3.5,166.,7.,1.7,12.4
26,"Bosher, Matt","ATL","NOS","P",3.9,180.,11.,1.4,12.1
27,"Jones, Chris","DAL","BUF","P",3.9,172.,12.,1.3,12.
28,"Bailey, Jake","NEP","@HOU","P",3.7,166.,11.,1.4,11.8
29,"Pinion, Bradley","TBB","@JAC","P",3.9,174.,14.,1.1,11.3
30,"Morstead, Thomas","NOS","@ATL","P",3.3,153.,7.,1.2,10.8
31,"Colquitt, Dustin","KCC","OAK","P",3.3,145.,9.,1.4,10.5
"","","","","","","","","",""
