Rank,Player,Team,Opp,Position,PUNTS,PUNT_YDS,PUNT_RETURN_YD,PUNT_INSIDE20,Pts
1,"Hekker, Johnny",LAR,@MIN,P,6.2,297.7,13.7,2.9,22.
2,"King, Marquette",OAK,NEP,P,5.3,251.1,20.2,2.3,18.1
3,"Wing, Brad",NYG,KCC,P,5.8,261.8,21.,1.9,18.
4,"Lechler, Shane",HOU,ARZ,P,5.2,245.4,31.3,1.8,17.
5,"Dixon, Riley",DEN,CIN,P,5.5,248.2,17.2,1.7,16.9
6,"Kern, Brett",TEN,@PIT,P,5.1,230.6,25.8,2.1,16.8
7,"Haack, Matt",MIA,TBB,P,5.2,235.8,22.1,1.9,16.7
8,"Koch, Sam",BAL,@GBP,P,4.7,218.3,16.6,2.1,16.1
9,"Colquitt, Dustin",KCC,@NYG,P,4.5,197.3,9.4,2.3,15.3
10,"Allen, Ryan",NEP,@OAK,P,4.7,208.3,15.,1.7,14.7
11,"Nortman, Brad",JAC,@CLE,P,4.5,210.3,19.5,1.6,14.7
12,"Huber, Kevin",CIN,@DEN,P,4.6,212.6,18.5,1.5,14.4
13,"Colquitt, Britton",CLE,JAC,P,4.9,216.2,21.6,1.3,14.4
14,"Anger, Bryan",TBB,@MIA,P,4.1,186.4,7.2,2.1,14.4
15,"Jones, Donnie",PHI,@DAL,P,4.4,207.,11.9,1.5,14.1
16,"Martin, Sam",DET,@CHI,P,4.3,204.8,14.6,1.4,13.9
17,"Schmidt, Colton",BUF,@LAC,P,4.8,205.3,19.,1.2,13.5
18,"O'Donnell, Pat",CHI,DET,P,4.3,188.4,14.9,1.6,13.4
19,"Quigley, Ryan",MIN,LAR,P,4.3,182.7,14.5,1.7,13.1
20,"Ryan, Jon",SEA,ATL,P,4.,178.2,15.2,1.4,12.4
21,"Jones, Chris",DAL,PHI,P,3.7,171.,8.8,1.6,12.1
22,"Berry, Jordan",PIT,TEN,P,3.9,172.5,14.,1.4,12.
23,"Morstead, Thomas",NOR,WAS,P,3.6,170.5,14.1,1.4,12.
24,"Kaser, Drew",LAC,BUF,P,3.9,182.7,21.9,1.1,12.
25,"Way, Tress",WAS,@NOR,P,3.7,170.,14.3,1.2,11.7
26,"Vogel, Justin",GBP,BAL,P,3.9,167.8,8.7,1.2,11.5
27,"Bosher, Matt",ATL,@SEA,P,3.2,146.9,13.4,1.5,11.1
28,"Wile, Matt",ARZ,@HOU,P,3.8,164.7,16.9,1.,10.5
