"Rank","Player","Team","Opp","Position","GAMES_WON","GAMES_LOST","POINTS_SCORED","POINTS_DIFF","Pts"
1,"Harbaugh, John","BAL","@CIN","HC",1.,0.,35.,15.,26.
2,"Tomlin, Mike","PIT","LAR","HC",1.,0.,35.,12.,25.1
3,"Pederson, Doug","PHI","Bye","HC",1.,0.,35.,11.,24.8
4,"Garrett, Jason","DAL","MIN","HC",1.,0.,33.,12.,24.1
5,"Reid, Andy","KCC","@TEN","HC",1.,0.,34.,10.,24.
6,"Reich, Frank","IND","MIA","HC",1.,0.,31.,15.,24.
7,"Marrone, Doug","JAC","Bye","HC",1.,0.,30.,16.,23.8
8,"Patricia, Matt","DET","@CHI","HC",1.,0.,29.,17.,23.6
9,"Shurmur, Pat","NYG","@NYJ","HC",1.,0.,32.,11.,23.3
10,"Nagy, Matt","CHI","DET","HC",1.,0.,28.,14.,22.2
11,"Zimmer, Mike","MIN","@DAL","HC",1.,0.,28.,14.,22.2
12,"Gruden, Jay","WAS","Bye","HC",1.,0.,29.,10.,21.5
13,"O'Brien, Bill","HOU","Bye","HC",1.,0.,27.,13.,21.4
14,"Vrabel, Mike","TEN","KCC","HC",1.,0.,26.,12.,20.6
15,"Payton, Sean","NOS","ATL","HC",1.,0.,26.,5.,18.5
16,"Koetter, Dirk","ATL","@NOS","HC",1.,0.,25.,5.,18.
17,"Quinn, Dan","ATL","@NOS","HC",1.,0.,24.,3.,16.9
18,"Rivera, Ron","CAR","@GBP","HC",1.,0.,23.,4.,16.7
19,"Gruden, Jon","OAK","LAC","HC",1.,0.,24.,1.,16.3
20,"Lynn, Anthony","LAC","@OAK","HC",1.,0.,21.,1.,14.8
21,"Belichick, Bill","NEP","Bye","HC",0.,1.,28.,-7.,11.9
22,"Gase, Adam","NYJ","NYG","HC",0.,1.,27.,-8.,11.1
23,"McVay, Sean","LAR","@PIT","HC",0.,1.,25.,-10.,9.5
24,"Shanahan, Kyle","SFO","SEA","HC",0.,1.,24.,-11.,8.7
25,"Carroll, Pete","SEA","@SFO","HC",0.,1.,23.,-11.,8.2
26,"McDermott, Sean","BUF","@CLE","HC",0.,1.,18.,-17.,3.9
"","","","","","","","","",""
