"Rank","Player","Team","Opp","Position","Yds Allowed","Pts Agn","Scks","Int","Fum","DefTD","Safts","Pts"
1,"Chargers, Los Angeles","LAC","@OAK","D",290.1,17.8,3.,0.8,0.8,0.2,0.,13.9
2,"Colts, Indianapolis","IND","MIA","D",272.7,15.1,3.,1.1,0.8,0.1,0.,13.9
3,"Buccaneers, Tampa Bay","TBB","ARZ","D",270.5,20.1,2.9,0.7,0.7,0.1,0.,12.6
4,"Bears, Chicago","CHI","DET","D",348.9,18.6,2.2,1.3,0.2,0.2,0.1,11.3
5,"Ravens, Baltimore","BAL","@CIN","D",315.3,19.7,2.,0.8,0.4,0.3,0.,11.
6,"Chiefs, Kansas City","KCC","@TEN","D",397.,25.2,3.1,1.1,0.8,0.2,0.,10.9
7,"Rams, Los Angeles","LAR","@PIT","D",394.2,26.3,2.3,0.9,0.5,0.2,0.1,9.4
8,"Panthers, Carolina","CAR","@GBP","D",340.9,21.9,2.2,0.7,0.7,0.,0.,9.2
9,"Seahawks, Seattle","SEA","@SFO","D",373.4,22.5,2.4,0.6,0.8,0.2,0.,9.2
10,"Vikings, Minnesota","MIN","@DAL","D",335.6,22.9,2.6,0.6,0.3,0.1,0.,9.
11,"Falcons, Atlanta","ATL","@NOS","D",397.3,26.2,2.4,1.,0.3,0.1,0.,8.8
12,"Giants, New York","NYG","@NYJ","D",395.9,26.8,1.8,1.,0.3,0.2,0.,8.5
13,"Raiders, Oakland","OAK","LAC","D",323.3,24.6,0.8,1.1,0.1,0.1,0.,8.1
14,"Bengals, Cincinnati","CIN","BAL","D",403.3,27.5,2.,0.7,0.4,0.3,0.,8.
15,"Packers, Green Bay","GBP","CAR","D",388.9,27.,2.3,0.3,0.5,0.1,0.,7.5
16,"Lions, Detroit","DET","@CHI","D",362.8,22.3,2.4,0.4,0.4,0.1,0.,7.5
17,"Steelers, Pittsburgh","PIT","LAR","D",363.,25.,2.6,0.4,0.2,0.1,0.1,7.4
18,"Browns, Cleveland","CLE","BUF","D",422.9,26.2,2.,0.8,0.6,0.,0.1,6.9
19,"Jets, New York","NYJ","NYG","D",432.9,31.5,2.4,0.6,0.4,0.3,0.,6.9
20,"Dolphins, Miami","MIA","@IND","D",472.6,34.1,1.7,0.9,0.4,0.3,0.,6.9
21,"Saints, New Orleans","NOS","ATL","D",430.5,26.,2.1,0.7,0.6,0.,0.,6.7
22,"Titans, Tennessee","TEN","KCC","D",432.7,24.3,1.7,0.5,0.3,0.2,0.,6.3
23,"Bills, Buffalo","BUF","@CLE","D",370.6,29.1,1.3,0.8,0.4,0.,0.,5.8
24,"Cowboys, Dallas","DAL","MIN","D",412.1,25.9,1.5,0.4,0.5,0.1,0.,5.7
25,"Cardinals, Arizona","ARZ","@TBB","D",419.7,31.7,2.4,0.3,0.4,0.1,0.,5.6
26,"49ers, San Francisco","SFO","SEA","D",399.4,31.7,2.,0.,0.2,0.1,0.,5.4
"","","","","","","","","","","","",""
