"Rank","Player","Team","Opp","Position","XP","XPA","FG","Att","10-19","20-29","30-39","40-49","50+","Miss","Pts"
1,"Gould, Robbie","SFO","SEA","K",1.9,2.,2.4,2.5,0.,0.6,0.9,0.8,0.2,0.1,10.
2,"Tucker, Justin","BAL","@CIN","K",2.5,2.5,2.3,2.5,0.,0.6,0.7,0.6,0.3,0.2,9.8
3,"Zuerlein, Greg","LAR","@PIT","K",2.7,2.8,2.2,2.6,0.,0.7,0.6,0.4,0.4,0.4,9.2
4,"Butker, Harrison","KCC","@TEN","K",3.4,3.5,1.8,2.,0.,0.5,0.7,0.4,0.2,0.2,9.
5,"Bryant, Matt","ATL","@NOS","K",2.4,2.4,1.7,1.9,0.,0.4,0.5,0.5,0.4,0.1,8.5
6,"Rosas, Aldrick","NYG","@NYJ","K",2.,2.2,1.9,2.,0.,0.6,0.6,0.4,0.3,0.2,8.1
7,"Lutz, Wil","NOS","ATL","K",2.8,2.9,1.7,1.9,0.,0.4,0.5,0.6,0.2,0.2,8.1
8,"Prater, Matt","DET","@CHI","K",2.1,2.1,1.7,2.,0.1,0.4,0.6,0.4,0.3,0.2,7.5
9,"Myers, Jason","SEA","@SFO","K",2.2,2.5,1.5,1.7,0.,0.2,0.6,0.5,0.3,0.2,7.1
10,"Hauschka, Steven","BUF","@CLE","K",1.8,1.9,1.7,2.,0.,0.3,0.6,0.4,0.3,0.3,7.
11,"Boswell, Chris","PIT","LAR","K",2.5,2.7,1.4,1.8,0.,0.3,0.5,0.4,0.1,0.3,6.4
12,"Slye, Joey","CAR","@GBP","K",2.,2.2,1.2,1.3,0.,0.3,0.5,0.3,0.2,0.1,6.2
13,"Vinatieri, Adam","IND","MIA","K",2.1,2.3,1.3,1.6,0.,0.5,0.3,0.3,0.2,0.3,6.1
14,"Badgley, Mike","LAC","@OAK","K",2.,2.2,1.4,1.7,0.,0.4,0.4,0.4,0.1,0.3,5.9
15,"Succop, Ryan","TEN","KCC","K",1.6,1.8,1.5,1.8,0.,0.3,0.6,0.5,0.1,0.3,5.8
16,"Carlson, Daniel","OAK","LAC","K",1.6,1.6,1.3,1.5,0.,0.2,0.2,0.6,0.2,0.2,5.7
17,"Maher, Brett","DAL","MIN","K",2.1,2.1,1.4,1.9,0.,0.5,0.3,0.3,0.2,0.5,5.6
18,"Crosby, Mason","GBP","CAR","K",1.9,2.,1.2,1.5,0.,0.3,0.3,0.4,0.2,0.3,5.6
19,"Bullock, Randy","CIN","BAL","K",2.1,2.2,1.1,1.3,0.,0.3,0.4,0.3,0.1,0.2,5.5
20,"Bailey, Dan","MIN","@DAL","K",2.1,2.3,1.4,1.9,0.,0.4,0.7,0.2,0.1,0.5,5.2
21,"Sanders, Jason","MIA","@IND","K",1.9,1.9,1.,1.1,0.,0.4,0.2,0.4,0.,0.1,4.9
22,"Catanzaro, Chandler","Ret","Bye","K",1.5,1.8,1.2,1.4,0.,0.3,0.5,0.2,0.2,0.3,4.9
23,"Gay, Matt","TBB","ARZ","K",2.,2.1,1.3,1.7,0.,0.3,0.6,0.3,0.1,0.4,4.8
24,"Gonzalez, Zane","ARZ","@TBB","K",1.3,1.5,1.2,1.6,0.,0.2,0.5,0.3,0.3,0.3,4.8
25,"Janikowski, Sebastian","Ret","Bye","K",2.1,2.3,1.,1.3,0.,0.1,0.3,0.4,0.1,0.3,4.8
26,"Seibert, Austin","CLE","BUF","K",1.5,1.7,0.8,1.1,0.,0.2,0.4,0.2,0.1,0.3,3.4
27,"Pineiro, Eddy","CHI","DET","K",1.5,1.6,0.9,1.2,0.,0.2,0.3,0.3,0.,0.3,3.4
"","","","","","","","","","","","","","","",""
