"Rank","Player","Team","Opp","Position","Rush","Rush Yds","Rush TDs","0-9 RushTDs","10-19 RushTDs","20-29 RushTDs","30-39 RushTDs","40-49 RushTDs","50+ RushTDs","Tgt","RZTgt","Rec","Rec Yds","Rec TDs",">= 50yds",">= 100yds","Punt Ret Yds","Kick Ret Yds","Fum Lost","Scoring Opps","Pts"
52,"Yeldon, T.J.","BUF","@CLE","RB",3.8,14.,0.,0.,0.,0.,0.,0.,0.,3.,0.1,2.,17.,0.1,0.1,0.,0.,2.,0.,0.3,3.8
53,"Bonnafon, Reggie","CAR","@GBP","RB",5.1,16.,0.2,0.2,0.,0.,0.,0.,0.,1.1,0.,0.7,7.,0.,0.,0.,1.,5.,0.,0.4,3.3
54,"Brown, Malcolm","LAR","@PIT","RB",5.9,25.,0.,0.,0.,0.,0.,0.,0.,0.8,0.1,0.6,5.,0.1,0.,0.,0.,0.,0.,0.4,3.3
55,"Gallman, Wayne","NYG","@NYJ","RB",5.,20.,0.1,0.1,0.,0.,0.,0.,0.,2.2,0.2,1.3,8.,0.,0.,0.,0.,0.,0.1,0.5,3.
56,"Dixon, Kenneth","BAL","@CIN","RB",4.2,22.,0.1,0.1,0.,0.,0.,0.,0.,0.6,0.,0.6,6.,0.,0.,0.,0.,5.,0.2,0.1,3.
57,"Davis, Mike","CHI","DET","RB",3.7,15.,0.1,0.,0.1,0.,0.,0.,0.,1.8,0.1,1.3,8.,0.,0.,0.,0.,4.,0.,0.3,3.
58,"Jackson, Justin","LAC","@OAK","RB",3.2,13.,0.1,0.,0.1,0.,0.,0.,0.,1.6,0.1,1.2,10.,0.,0.,0.,0.,1.,0.,0.2,2.8
59,"Edmonds, Chase","ARZ","@TBB","RB",4.7,14.,0.1,0.1,0.,0.,0.,0.,0.,1.5,0.,1.2,7.,0.,0.,0.,0.,4.,0.,0.2,2.7
60,"Wilkins, Jordan","IND","MIA","RB",3.,18.,0.1,0.,0.1,0.,0.,0.,0.,1.2,0.2,1.,6.,0.,0.,0.,0.,3.,0.1,0.4,2.5
61,"Morris, Alfred","DAL","MIN","RB",4.9,18.,0.1,0.1,0.,0.,0.,0.,0.,0.7,0.2,0.3,3.,0.,0.,0.,0.,0.,0.1,0.5,2.4
62,"Jones, Ronald","TBB","ARZ","RB",3.6,11.,0.1,0.1,0.,0.,0.,0.,0.,1.8,0.2,1.2,8.,0.,0.,0.,0.,2.,0.,0.3,2.2
