"Rank","Player","Team","Opp","Position","PUNTS","PUNT_YDS","PUNT_RETURN_YD","PUNT_INSIDE20","Pts"
1,"Lee, Andy","ARZ","@TBB","P",5.8,280.,23.,2.2,19.7
2,"Edwards, Lachlan","NYJ","NYG","P",5.5,252.,25.,1.7,17.
3,"Haack, Matt","MIA","@IND","P",5.4,240.,21.,2.,16.8
4,"Kern, Brett","TEN","KCC","P",4.7,226.,18.,2.3,16.6
5,"Dickson, Michael","SEA","@SFO","P",5.2,247.,26.,1.6,16.3
6,"Huber, Kevin","CIN","BAL","P",5.1,229.,19.,1.8,15.8
7,"Martin, Sam","DET","@CHI","P",4.9,216.,18.,2.,15.7
8,"Bojorquez, Corey","BUF","@CLE","P",5.,219.,16.,1.9,15.5
9,"Koch, Sam","BAL","@CIN","P",4.4,202.,21.,1.9,14.6
10,"Wile, Matt","MIN","@DAL","P",4.6,208.,13.,1.7,14.5
11,"O'Donnell, Pat","CHI","DET","P",4.2,184.,9.,2.1,14.
12,"Sanchez, Rigoberto","IND","MIA","P",4.4,197.,5.,1.7,13.9
13,"Dixon, Riley","NYG","@NYJ","P",4.6,207.,11.,1.3,13.7
14,"Scott, J.K.","GBP","CAR","P",4.5,202.,14.,1.1,13.2
15,"Cole, A.J.","OAK","LAC","P",4.2,190.,14.,1.4,13.1
16,"Wishnowsky, Mitch","SFO","SEA","P",4.3,187.,9.,1.5,13.1
17,"Palardy, Michael","CAR","@GBP","P",4.1,184.,12.,1.4,12.9
18,"Berry, Jordan","PIT","LAR","P",3.8,165.,16.,1.8,12.5
19,"Hekker, Johnny","LAR","@PIT","P",3.6,167.,7.,1.7,12.4
20,"Long, Ty","LAC","@OAK","P",3.9,175.,16.,1.3,12.2
21,"Bosher, Matt","ATL","@NOS","P",3.9,180.,11.,1.4,12.1
22,"Jones, Chris","DAL","MIN","P",3.9,172.,12.,1.3,12.
23,"Pinion, Bradley","TBB","ARZ","P",3.9,175.,13.,1.1,11.4
24,"Morstead, Thomas","NOS","ATL","P",3.3,153.,7.,1.2,10.8
25,"Colquitt, Dustin","KCC","@TEN","P",3.3,147.,9.,1.4,10.6
"","","","","","","","","",""
