Rank,Player,Team,Opp,Position,GAMES_WON,GAMES_LOST,POINTS_SCORED,POINTS_DIFF,Pts
1,"Payton, Sean",NOR,@CIN,HC,1.,0.,35.,19.,27.2
2,"McCarthy, Mike",GBP,MIA,HC,1.,0.,33.,15.,25.
3,"Quinn, Dan",ATL,@CLE,HC,1.,0.,31.,18.,24.9
4,"Belichick, Bill",NEP,@TEN,HC,1.,0.,31.,7.,21.6
5,"McVay, Sean",LAR,SEA,HC,1.,0.,29.,10.,21.5
6,"Tomlin, Mike",PIT,CAR,HC,1.,0.,30.,5.,20.5
7,"Shanahan, Kyle",SFO,NYG,HC,1.,0.,26.,10.,20.
8,"Reid, Andy",KCC,ARZ,HC,1.,0.,25.,6.,18.3
9,"Marrone, Doug",JAC,@IND,HC,1.,0.,25.,5.,18.
10,"Koetter, Dirk",TBB,WAS,HC,1.,0.,25.,3.,17.4
11,"Pederson, Doug",PHI,DAL,HC,1.,0.,24.,3.,16.9
12,"McDermott, Sean",BUF,@NYJ,HC,1.,0.,21.,2.,15.1
13,"Patricia, Matt",DET,@CHI,HC,1.,0.,21.,1.,14.8
14,"Nagy, Matt",CHI,DET,HC,1.,0.,21.,1.,14.8
15,"Lynn, Anthony",LAC,@OAK,HC,0.,1.,27.,-1.,13.2
16,"Lewis, Marvin",CIN,NOR,HC,0.,1.,27.,-8.,11.1
17,"Carroll, Pete",SEA,@LAR,HC,0.,1.,24.,-5.,10.5
18,"Gruden, Jay",WAS,@TBB,HC,0.,1.,22.,-3.,10.1
19,"Vrabel, Mike",TEN,NEP,HC,0.,1.,24.,-7.,9.9
20,"Rivera, Ron",CAR,@PIT,HC,0.,1.,23.,-7.,9.4
21,"Shurmer, Pat",NYG,@SFO,HC,0.,1.,21.,-5.,9.
22,"Bowles, Todd",NYJ,BUF,HC,0.,1.,19.,-2.,8.9
23,"Reich, Frank",IND,JAC,HC,0.,1.,20.,-5.,8.5
24,"Campbell, Dan",MIA,@GBP,HC,0.,1.,21.,-10.,7.5
25,"Jackson, Hue",CLE,ATL,HC,0.,1.,20.,-11.,6.7
26,"Gruden, Jon",OAK,LAC,HC,0.,1.,19.,-10.,6.5
27,"Wilks, Steve",ARZ,@KCC,HC,0.,1.,16.,-9.,5.3
28,"Garrett, Jason",DAL,@PHI,HC,0.,1.,16.,-13.,4.1
