Rank,Player,Team,Opp,Position,XP,XPA,FG,Att,10-19,20-29,30-39,40-49,50+,Miss,Pts
1,"Lutz, Wil",NOR,@CIN,K,3.2,3.3,1.8,2.1,0.,0.5,0.4,0.7,0.3,0.3,9.
2,"Prater, Matt",DET,@CHI,K,2.3,2.3,2.,2.3,0.1,0.5,0.5,0.5,0.5,0.3,8.9
3,"Gould, Robbie",SFO,NYG,K,1.9,2.1,2.,2.1,0.,0.4,0.6,0.8,0.2,0.1,8.8
4,"Boswell, Chris",PIT,CAR,K,2.5,2.6,1.9,2.1,0.,0.4,0.8,0.5,0.2,0.2,8.6
5,"Butker, Harrison",KCC,ARZ,K,2.2,2.2,2.2,2.5,0.,0.5,1.,0.5,0.2,0.4,8.5
6,"Zuerlein, Greg",LAR,SEA,K,2.4,2.5,1.8,2.,0.,0.4,0.7,0.4,0.3,0.1,8.5
7,"Bryant, Matt",ATL,@CLE,K,2.2,2.3,1.8,2.,0.,0.4,0.5,0.4,0.4,0.2,8.1
8,"Gostkowski, Stephen",NEP,@TEN,K,2.6,2.8,1.8,2.,0.,0.7,0.5,0.5,0.1,0.2,8.
9,"Myers, Jason",NYJ,BUF,K,2.,2.1,2.,2.5,0.,0.5,0.4,0.8,0.2,0.4,8.
10,"Gano, Graham",CAR,@PIT,K,1.9,2.1,1.8,2.,0.,0.5,0.6,0.6,0.1,0.2,7.4
11,"Hopkins, Dustin",WAS,@TBB,K,2.4,2.6,1.8,2.2,0.,0.9,0.5,0.4,0.1,0.4,7.3
12,"Catanzaro, Chandler",TBB,WAS,K,2.,2.,1.8,2.1,0.,0.5,0.4,0.7,0.1,0.3,7.3
13,"Succop, Ryan",TEN,NEP,K,2.1,2.2,1.7,1.9,0.,0.4,0.4,0.7,0.1,0.3,7.3
14,"Hauschka, Steven",BUF,@NYJ,K,1.8,1.9,1.8,2.,0.,0.5,0.7,0.4,0.2,0.2,7.2
15,"Vinatieri, Adam",IND,JAC,K,1.9,2.,1.7,2.,0.,0.5,0.4,0.5,0.3,0.3,7.2
16,"Lambo, Josh",JAC,@IND,K,2.2,2.4,1.5,1.8,0.,0.2,0.6,0.5,0.2,0.3,6.9
17,"Dawson, Phil",ARZ,@KCC,K,1.6,1.8,1.8,2.3,0.1,0.4,0.6,0.6,0.2,0.4,6.9
18,"Elliott, Jake",PHI,DAL,K,2.,2.2,1.5,1.8,0.,0.4,0.4,0.5,0.2,0.3,6.7
19,"Sanders, Jason",MIA,@GBP,K,2.2,2.3,1.2,1.4,0.,0.5,0.4,0.3,0.,0.1,5.8
20,"Crosby, Mason",GBP,MIA,K,2.4,2.5,1.2,1.5,0.,0.4,0.5,0.3,0.1,0.3,5.8
21,"Bullock, Randy",CIN,NOR,K,2.,2.2,1.2,1.4,0.,0.5,0.5,0.3,0.,0.2,5.6
22,"Parkey, Cody",CHI,DET,K,1.7,1.9,1.2,1.4,0.,0.4,0.3,0.4,0.1,0.2,5.3
23,"Maher, Brett",DAL,@PHI,K,2.,2.1,1.3,1.8,0.,0.4,0.4,0.4,0.1,0.5,5.3
24,"Nugent, Mike",OAK,LAC,K,1.7,1.9,1.2,1.4,0.,0.3,0.4,0.4,0.1,0.3,4.9
25,"Sturgis, Caleb",LAC,@OAK,K,1.7,2.,1.1,1.5,0.,0.5,0.3,0.2,0.1,0.4,4.2
26,"Rosas, Aldrick",NYG,@SFO,K,1.3,1.5,1.1,1.5,0.,0.5,0.2,0.3,0.1,0.4,4.1
27,"Gonzalez, Zane",CLE,ATL,K,1.4,1.5,0.9,1.2,0.,0.3,0.3,0.3,0.1,0.3,3.9
28,"Janikowski, Sebastian",SEA,@LAR,K,1.7,1.8,0.8,1.1,0.,0.2,0.3,0.3,0.,0.3,3.6
