Player,Team,Bye,Tackle,Assist,Sack,PD,INT,FF,FR,FPts
Joey Bosa,LAC,6,48,18,13.5,0,0,1,1,116.0
Myles Garrett,CLE,9,35,14,14.5,4,0,3,1,115.0
J.J. Watt,HOU,8,35,14,11.5,6,1,3,2,112.0
Cameron Jordan,NO,6,36,15,12.5,5,1,2,1,111.5
Aaron Donald,LAR,9,31,17,14.5,3,0,3,1,111.5
Danielle Hunter,MIN,7,42,18,13.0,2,0,1,1,110.0
Nick Bosa,SF,11,33,17,11.5,4,1,2,2,106.5
Cameron Heyward,PIT,4,40,25,10.0,4,0,1,1,101.5
Demarcus Lawrence,DAL,10,33,18,12.0,1,0,2,2,101.0
Frank Clark,KC,10,31,14,11.0,3,1,3,1,101.0
Melvin Ingram,LAC,6,42,14,8.5,4,1,2,1,100.0
Justin Houston,IND,7,31,12,12.0,1,0,3,2,99.0
Calais Campbell,BAL,7,40,19,10.5,2,0,1,1,98.5
Jason Pierre-Paul,TB,13,41,13,10.0,2,0,2,1,97.5
DeForest Buckner,IND,7,38,22,8.0,4,0,2,2,95.0
Josh Allen,JAC,8,30,15,12.5,0,0,2,0,93.5
Carlos Dunlap,CIN,9,35,18,8.5,4,0,2,2,92.0
Jonathan Allen,WAS,8,42,25,8.5,1,0,0,1,91.5
Maxx Crosby,LV,6,33,14,9.5,4,0,3,0,91.0
Yannick Ngakoue,MIN,7,30,7,10.0,4,1,2,1,90.5
Sam Hubbard,CIN,9,39,23,7.5,4,0,1,1,89.5
Chris Jones,KC,10,27,9,10.5,4,1,2,0,88.5
Jadeveon Clowney,TEN,4,30,11,7.5,3,0,3,2,87.5
Trey Flowers,DET,5,35,19,8.5,0,0,2,0,84.5
Ryan Kerrigan,WAS,8,30,11,9.0,2,0,3,1,84.5
Grady Jarrett,ATL,10,36,25,6.5,0,0,2,2,84.5
Jurrell Casey,DEN,5,37,21,6.5,2,0,2,1,83.5
Chase Young,WAS,8,30,9,8.5,4,0,2,1,80.5
"Dante Fowler, Jr.",ATL,10,28,16,9.5,1,0,1,1,80.0
Matthew Ioannidis,WAS,8,35,16,8.0,0,0,1,1,80.0
Arik Armstead,SF,11,32,15,8.5,1,0,1,1,79.5
Kenny Clark,GB,5,32,28,6.5,1,0,1,1,78.0
Akiem Hicks,CHI,11,30,15,7.5,2,0,2,1,77.5
Fletcher Cox,PHI,9,33,19,5.5,3,0,2,2,77.5
Clelin Ferrell,LV,6,26,14,7.5,4,1,1,1,77.0
Brandon Graham,PHI,9,32,12,7.5,1,0,2,1,77.0
Mario Addison,BUF,11,22,14,9.0,1,0,2,1,74.0
Ndamukong Suh,TB,13,33,19,4.5,4,0,1,2,71.5
Montez Sweat,WAS,8,30,15,6.5,2,0,2,0,71.5
Everson Griffen,DAL,10,24,12,8.5,2,0,1,1,71.0
Ed Oliver,BUF,11,30,15,6.5,3,0,1,0,69.5
Larry Ogunjobi,CLE,9,34,18,5.5,1,0,1,0,69.0
Marcus Davenport,NO,6,17,18,7.5,0,0,3,1,67.0
Bruce Irvin,SEA,6,23,15,7.5,1,0,1,1,66.5
Derrick Brown,CAR,13,26,28,3.5,3,0,2,1,65.0
Sheldon Richardson,CLE,9,29,20,3.5,3,0,2,1,64.0
Dee Ford,SF,11,18,5,8.5,1,0,2,1,63.5
Emmanuel Ogbah,MIA,7,25,17,5.0,5,0,1,1,63.5
Da'Ron Payne,WAS,8,33,23,3.5,2,0,1,0,63.5
Jeffery Simmons,TEN,4,29,14,5.5,2,0,1,0,63.0
Stephon Tuitt,PIT,4,27,11,5.5,2,0,2,0,62.5
Christian Wilkins,MIA,7,34,28,3.0,2,0,0,0,62.0
Geno Atkins,CIN,9,20,16,7.5,0,0,1,0,61.0
Javon Hargrave,PHI,9,29,18,4.5,1,0,1,0,60.0
Ifeadi Odenigbo,MIN,7,22,8,5.5,4,0,2,1,60.0
D.J. Reader,CIN,9,32,25,3.0,0,0,1,0,59.5
Jerry Hughes,BUF,11,21,12,5.5,2,0,2,1,59.0
Derek Barnett,PHI,9,25,6,6.5,0,0,1,1,59.0
Davon Godchaux,MIA,7,33,28,2.5,2,0,0,0,59.0
Dalvin Tomlinson,NYG,11,29,25,3.5,0,0,1,0,58.5
Derek Wolfe,BAL,7,23,13,5.5,2,0,1,1,58.5
Quinnen Williams,NYJ,10,23,18,4.5,1,0,1,2,58.0
Benson Mayowa,SEA,6,19,8,6.0,2,0,2,1,57.0
Jordan Phillips,ARI,8,20,8,7.0,2,0,1,0,57.0
Danny Shelton,DET,5,31,25,2.5,0,0,1,0,56.5
Linval Joseph,LAC,6,31,25,2.5,0,0,1,0,56.5
Michael Brockers,LAR,9,31,19,3.5,2,0,0,0,56.5
Kawann Short,CAR,13,24,14,4.5,2,0,1,1,56.0
Takkarist McKinley,ATL,10,20,13,6.5,0,0,1,0,55.5
Dexter Lawrence,NYG,11,25,15,4.5,2,0,1,0,55.5
Leonard Williams,NYG,11,24,25,2.5,3,0,1,1,54.5
A'Shawn Robinson,LAR,9,33,14,1.5,3,0,1,1,54.0
Chase Winovich,NE,5,20,10,6.5,3,0,0,0,54.0
Henry Anderson,NYJ,10,20,15,5.5,2,0,0,1,53.5
Trey Hendrickson,NO,6,18,11,6.5,1,0,1,0,53.5
Javon Kinlaw,SF,11,20,9,4.5,3,0,2,1,53.5
B.J. Hill,NYG,11,28,18,4.0,0,0,0,0,53.0
Shaq Lawson,MIA,7,19,10,5.5,3,0,1,0,52.0
Rasheem Green,SEA,6,18,14,4.5,1,0,2,1,52.0
Deatrich Wise,NE,5,23,10,5.0,0,0,1,0,51.0
Sheldon Rankins,NO,6,20,10,5.5,1,0,1,0,51.0
Yetur Gross-Matos,CAR,13,27,8,3.5,3,0,1,0,51.0
Allen Bailey,ATL,10,30,20,2.5,0,0,0,0,50.0
Dean Lowry,GB,5,28,17,2.0,3,0,0,1,49.5
Olivier Vernon,CLE,9,20,8,5.5,1,0,0,1,49.0
Charles Omenihu,HOU,8,15,7,5.5,2,0,1,1,47.5
DeMarcus Walker,DEN,5,15,10,5.5,2,0,1,0,47.0
DaQuan Jones,TEN,4,25,16,2.5,2,0,0,1,47.0
Vita Vea,TB,13,23,16,3.5,2,0,0,0,47.0
Tyrone Crawford,DAL,10,17,10,4.5,2,0,1,1,47.0
William Gholston,TB,13,20,8,4.5,1,0,1,0,46.0
Steve McLendon,NYJ,10,28,15,1.5,1,0,1,0,45.5
Brandon Williams,BAL,7,25,17,2.0,2,0,0,1,45.5
Romeo Okwara,DET,5,20,10,4.5,0,0,0,1,45.0
Shamar Stephen,MIN,7,20,19,1.5,0,0,2,1,43.5
D.J. Jones,SF,11,25,6,3.0,0,0,1,0,43.0
Malcom Brown,NO,6,22,19,2.0,0,0,0,1,41.5
Tyson Alualu,PIT,4,23,11,2.5,0,0,1,0,41.5
Derrick Nnadi,KC,10,20,22,1.0,1,0,1,1,41.0
