Rank,Player,Team,Opp,Position,PUNTS,PUNT_YDS,PUNT_RETURN_YD,PUNT_INSIDE20,Pts
1,"Hekker, Johnny",LAR,PHI,P,6.2,297.1,13.5,2.9,22.
2,"Pinion, Bradley",SFO,@HOU,P,6.3,273.5,18.6,1.9,18.7
3,"Wing, Brad",NYG,DAL,P,5.8,262.5,20.8,1.9,18.
4,"King, Marquette",OAK,@KCC,P,5.3,250.7,21.,2.3,17.9
5,"Lechler, Shane",HOU,SFO,P,5.2,245.4,31.3,1.8,17.
6,"Dixon, Riley",DEN,NYJ,P,5.5,248.7,17.4,1.7,17.
7,"Kern, Brett",TEN,@ARZ,P,5.1,230.6,25.8,2.1,16.8
8,"Haack, Matt",MIA,NEP,P,5.2,236.8,22.3,1.9,16.7
9,"Koch, Sam",BAL,@PIT,P,4.7,218.7,16.5,2.1,16.2
10,"Colquitt, Dustin",KCC,OAK,P,4.5,196.9,9.4,2.3,15.3
11,"Allen, Ryan",NEP,@MIA,P,4.7,208.8,15.,1.8,14.7
12,"Nortman, Brad",JAC,SEA,P,4.5,210.3,19.5,1.6,14.7
13,"Colquitt, Britton",CLE,GBP,P,4.9,216.2,21.6,1.3,14.4
14,"Palardy, Michael",CAR,MIN,P,4.6,200.9,17.8,1.7,14.4
15,"Huber, Kevin",CIN,CHI,P,4.6,212.3,18.6,1.4,14.4
16,"Anger, Bryan",TBB,DET,P,4.1,186.4,7.2,2.1,14.4
17,"Jones, Donnie",PHI,@LAR,P,4.4,205.8,11.9,1.5,14.
18,"Edwards, Lachlan",NYJ,@DEN,P,4.7,206.,21.8,1.5,14.
19,"Martin, Sam",DET,@TBB,P,4.3,205.5,14.7,1.4,14.
20,"Schmidt, Colton",BUF,IND,P,4.8,205.3,19.,1.2,13.5
21,"O'Donnell, Pat",CHI,@CIN,P,4.3,188.7,14.6,1.6,13.4
22,"Quigley, Ryan",MIN,@CAR,P,4.4,185.6,13.8,1.7,13.3
23,"Ryan, Jon",SEA,@JAC,P,4.,178.2,15.2,1.4,12.4
24,"Jones, Chris",DAL,@NYG,P,3.8,172.,9.1,1.6,12.2
25,"Berry, Jordan",PIT,BAL,P,3.9,174.,14.,1.4,12.1
26,"Kaser, Drew",LAC,WAS,P,3.9,182.7,21.9,1.1,12.
27,"Morstead, Thomas",NOR,@ATL,P,3.6,169.8,14.2,1.4,12.
28,"Way, Tress",WAS,@LAC,P,3.7,170.,14.3,1.2,11.7
29,"Vogel, Justin",GBP,@CLE,P,3.9,167.8,8.7,1.2,11.5
30,"Bosher, Matt",ATL,NOR,P,3.2,146.1,13.2,1.5,11.
31,"Wile, Matt",ARZ,TEN,P,3.8,164.7,16.9,1.,10.5
