Player,Team,Pass Att,Pass Cmp,Pass Yds,Pass TDs,Ints Thrown,Rush Att,Rush Yds,Rush TDs,Fum Lost,FPoints
Sam Darnold,NYJ,516.0,330.0,"3,597.0",22.0,22.0,42.0,106.0,2.0,3.0,210.5
Ryan Fitzpatrick,MIA,224.0,139.0,"1,500.0",9.0,8.0,24.0,120.0,2.0,1.0,104.0
Jake Fromm,BUF,4.0,2.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2
Nick Foles,CHI,82.0,54.0,543.0,3.0,2.0,4.0,10.0,0.0,1.0,30.7
Ben Roethlisberger,PIT,555.0,360.0,"3,864.0",24.0,17.0,32.0,95.0,2.0,2.0,238.1
Joe Flacco,NYJ,18.0,11.0,126.0,1.0,1.0,3.0,11.0,0.0,0.0,8.1
Aaron Rodgers,GB,559.0,349.0,"3,979.0",25.0,6.0,52.0,234.0,1.0,4.0,276.6
Carson Wentz,PHI,598.0,392.0,"4,157.0",28.0,11.0,53.0,187.0,1.0,7.0,281.0
Brian Hoyer,NE,21.0,13.0,137.0,1.0,0.0,5.0,4.0,0.0,0.0,9.9
Case Keenum,CLE,26.0,16.0,202.0,1.0,1.0,1.0,2.0,0.0,0.0,10.3
Baker Mayfield,CLE,493.0,305.0,"3,863.0",25.0,13.0,37.0,149.0,2.0,3.0,255.4
Alex Smith,WAS,14.0,9.0,92.0,1.0,1.0,2.0,6.0,0.0,0.0,6.3
Tim Boyle,GB,19.0,12.0,111.0,1.0,0.0,4.0,3.0,0.0,0.0,8.7
Daniel Jones,NYG,582.0,368.0,"4,019.0",25.0,18.0,55.0,336.0,3.0,14.0,276.4
