Rank,Player,Team,Opp,Position,PUNTS,PUNT_YDS,PUNT_RETURN_YD,PUNT_INSIDE20,Pts
1,"Pinion, Bradley",SFO,@PHI,P,6.3,273.5,18.6,1.9,18.7
2,"King, Marquette",OAK,@BUF,P,5.3,250.9,20.1,2.3,18.
3,"Dixon, Riley",DEN,@KCC,P,5.5,249.7,17.5,1.7,17.
4,"Lechler, Shane",HOU,@SEA,P,5.2,245.4,31.3,1.8,17.
5,"Haack, Matt",MIA,@BAL,P,5.3,238.7,22.2,1.9,16.9
6,"Koch, Sam",BAL,MIA,P,4.7,217.8,16.5,2.1,16.1
7,"Colquitt, Dustin",KCC,DEN,P,4.5,198.7,9.4,2.3,15.4
8,"Allen, Ryan",NEP,LAC,P,4.7,208.3,15.,1.7,14.7
9,"Anger, Bryan",TBB,CAR,P,4.1,186.8,7.1,2.1,14.4
10,"Colquitt, Britton",CLE,MIN,P,4.9,216.2,21.6,1.3,14.4
11,"Huber, Kevin",CIN,IND,P,4.6,212.3,18.6,1.4,14.4
12,"Palardy, Michael",CAR,@TBB,P,4.6,198.6,16.8,1.7,14.3
13,"Jones, Donnie",PHI,SFO,P,4.4,205.8,11.9,1.5,14.
14,"Edwards, Lachlan",NYJ,ATL,P,4.7,206.,21.8,1.5,14.
15,"Martin, Sam",DET,PIT,P,4.3,205.5,14.7,1.4,14.
16,"Schmidt, Colton",BUF,OAK,P,4.8,205.2,19.,1.2,13.5
17,"O'Donnell, Pat",CHI,@NOR,P,4.3,188.7,14.6,1.6,13.4
18,"Quigley, Ryan",MIN,@CLE,P,4.4,182.9,14.1,1.7,13.1
19,"Ryan, Jon",SEA,HOU,P,4.,178.2,15.2,1.4,12.4
20,"Jones, Chris",DAL,@WAS,P,3.7,169.9,8.9,1.6,12.1
21,"Berry, Jordan",PIT,@DET,P,3.9,172.5,14.,1.4,12.
22,"Morstead, Thomas",NOR,CHI,P,3.6,170.5,14.1,1.4,12.
23,"Kaser, Drew",LAC,@NEP,P,3.9,182.7,21.9,1.1,12.
24,"Way, Tress",WAS,DAL,P,3.7,169.1,14.1,1.2,11.6
25,"Bosher, Matt",ATL,@NYJ,P,3.2,146.9,13.4,1.5,11.1
