Rank,Player,Team,Opp,Position,GAMES_WON,GAMES_LOST,POINTS_SCORED,POINTS_DIFF,Pts
1,"McAdoo, Ben",NYG,Bye,HC,1.,0.,35.,23.,28.4
2,"Zimmer, Mike",MIN,@CLE,HC,1.,0.,31.,21.,25.8
3,"Payton, Sean",NOR,CHI,HC,1.,0.,34.,16.,25.8
4,"Belichick, Bill",NEP,LAC,HC,1.,0.,35.,14.,25.7
5,"Pederson, Doug",PHI,SFO,HC,1.,0.,30.,14.,23.2
6,"Quinn, Dan",ATL,@NYJ,HC,1.,0.,33.,6.,22.3
7,"McCarthy, Mike",GBP,Bye,HC,1.,0.,28.,8.,20.4
8,"Harbaugh, John",BAL,MIA,HC,1.,0.,28.,7.,20.1
9,"Tomlin, Mike",PIT,@DET,HC,1.,0.,27.,7.,19.6
10,"Carroll, Pete",SEA,HOU,HC,1.,0.,23.,9.,18.2
11,"Koetter, Dirk",TBB,CAR,HC,1.,0.,24.,7.,18.1
12,"Del Rio, Jack",OAK,@BUF,HC,1.,0.,25.,2.,17.1
13,"Mularkey, Mike",TEN,Bye,HC,1.,0.,25.,1.,16.8
14,"Garrett, Jason",DAL,@WAS,HC,0.,1.,25.,-1.,12.2
15,"Fox, John",CHI,@NOR,HC,0.,1.,27.,-7.,11.4
16,"Lewis, Marvin",CIN,IND,HC,0.,1.,23.,-1.,11.2
17,"Gruden, Jay",WAS,DAL,HC,0.,1.,23.,-2.,10.9
18,"Reid, Andy",KCC,DEN,HC,0.,1.,21.,-1.,10.2
19,"Jackson, Hue",CLE,MIN,HC,0.,1.,23.,-8.,9.1
20,"Arians, Bruce",ARZ,Bye,HC,0.,1.,20.,-7.,7.9
21,"Caldwell, Jim",DET,PIT,HC,0.,1.,20.,-7.,7.9
22,"Pagano, Chuck",IND,@CIN,HC,0.,1.,18.,-6.,7.2
23,"Bowles, Todd",NYJ,ATL,HC,0.,1.,21.,-12.,6.9
24,"Rivera, Ron",CAR,@TBB,HC,0.,1.,17.,-7.,6.4
25,"O'Brien, Bill",HOU,@SEA,HC,0.,1.,16.,-7.,5.9
26,"Campbell, Dan",MIA,@BAL,HC,0.,1.,17.,-11.,5.2
