Rank,Player,Team,Opp,Position,XP,XPA,FG,Att,10-19,20-29,30-39,40-49,50+,Miss,Pts
1,"Gostkowski, Stephen",NEP,LAC,K,3.3,3.6,2.3,2.5,0.1,0.6,0.7,0.8,0.1,0.2,10.8
2,"McManus, Brandon",DEN,@KCC,K,2.2,2.3,2.2,2.5,0.,0.7,0.8,0.4,0.3,0.3,8.9
3,"Tucker, Justin",BAL,MIA,K,1.6,1.6,2.,2.3,0.,0.4,0.6,0.6,0.4,0.2,8.4
4,"Bryant, Matt",ATL,@NYJ,K,3.3,3.4,1.6,1.9,0.,0.6,0.4,0.4,0.2,0.2,8.4
5,"Sturgis, Caleb",PHI,SFO,K,2.2,2.3,2.,2.3,0.,0.6,0.7,0.5,0.2,0.3,8.2
6,"Lutz, Wil",NOR,CHI,K,3.2,3.3,1.7,2.,0.1,0.4,0.6,0.5,0.1,0.3,8.1
7,"Vinatieri, Adam",IND,@CIN,K,2.5,2.6,1.6,1.8,0.,0.3,0.4,0.5,0.3,0.2,7.8
8,"Bailey, Dan",DAL,@WAS,K,2.4,2.4,1.7,1.9,0.,0.5,0.6,0.4,0.3,0.2,7.6
9,"Boswell, Chris",PIT,@DET,K,1.7,1.8,1.8,1.9,0.,0.3,0.7,0.7,0.,0.2,7.2
10,"Prater, Matt",DET,PIT,K,1.7,1.8,1.6,1.8,0.,0.4,0.3,0.4,0.4,0.3,6.9
11,"Fairbairn, Ka'imi",HOU,@SEA,K,1.6,1.8,1.8,2.1,0.1,0.6,0.6,0.4,0.1,0.3,6.7
12,"Bullock, Randy",CIN,IND,K,2.,2.3,1.7,2.,0.,0.7,0.5,0.4,0.,0.4,6.4
13,"Hopkins, Dustin",WAS,DAL,K,2.2,2.4,1.7,2.2,0.,0.6,0.5,0.4,0.1,0.5,6.3
14,"Walsh, Blair",SEA,HOU,K,1.8,2.,1.6,1.9,0.,0.4,0.6,0.4,0.2,0.3,6.3
15,"Janikowski, Sebastian",OAK,@BUF,K,2.1,2.2,1.4,1.7,0.,0.5,0.3,0.5,0.2,0.3,6.2
16,"Forbath, Kai",MIN,@CLE,K,1.6,1.9,1.5,1.7,0.,0.4,0.5,0.4,0.1,0.2,6.1
17,"Gould, Robbie",SFO,@PHI,K,2.1,2.2,1.2,1.3,0.,0.3,0.4,0.5,0.1,0.1,6.
18,"Koo, Younghoe",LAC,@NEP,K,2.1,2.3,1.4,1.8,0.,0.3,0.6,0.4,0.1,0.4,5.9
19,"Hauschka, Steven",BUF,OAK,K,1.7,2.,1.5,1.7,0.,0.5,0.6,0.3,0.,0.3,5.8
20,"Catanzaro, Chandler",NYJ,ATL,K,1.8,2.,1.4,1.8,0.,0.4,0.5,0.3,0.2,0.4,5.4
21,"Parkey, Cody",MIA,@BAL,K,2.1,2.1,1.3,1.6,0.,0.5,0.4,0.3,0.,0.3,5.3
22,"Barth, Connor",CHI,@NOR,K,2.,2.1,1.3,1.6,0.,0.5,0.5,0.2,0.1,0.3,5.2
23,"Gano, Graham",CAR,@TBB,K,1.9,2.,1.3,1.8,0.,0.3,0.3,0.6,0.1,0.5,5.2
24,"Gonzalez, Zane",CLE,MIN,K,1.4,1.5,1.4,1.7,0.,0.5,0.5,0.4,0.,0.3,5.1
25,"Santos, Cairo",KCC,DEN,K,1.6,1.8,1.3,1.6,0.,0.3,0.6,0.3,0.1,0.3,4.8
26,"Folk, Nick",TBB,CAR,K,1.5,1.6,1.4,1.9,0.,0.5,0.7,0.2,0.1,0.5,4.6
