PlayerID,Name,Team,Pos,Pass Att,Pass Cmp,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,Rec,Rec Yds,Rec Tds
85,Andrew Luck,Ind,QB,0,0,0,0,0,0,0,0,0,0,0
86,Robert Griffin III,Cle,QB,0,0,0,0,0,0,0,0,0,0,0
87,Ryan Tannehill,Mia,QB,0,0,0,0,0,0,0,0,0,0,0
88,Brandon Weeden,Hou,QB,0,0,0,0,0,0,0,0,0,0,0
89,Kellen Moore,Dal,QB,0,0,0,0,0,0,0,0,0,0,0
90,Ryan Lindley,Ind,QB,0,0,0,0,0,0,0,0,0,0,0
91,Matt Simms,Atl,QB,0,0,0,0,0,0,0,0,0,0,0
92,Alex Tanney,Ten,QB,0,0,0,0,0,0,0,0,0,0,0
93,EJ Manuel,Oak,QB,0,0,0,0,0,0,0,0,0,0,0
94,Ryan Nassib,NO,QB,0,0,0,0,0,0,0,0,0,0,0
95,Sean Renfree,Atl,QB,0,0,0,0,0,0,0,0,0,0,0
96,Zac Dysert,Ari,QB,0,0,0,0,0,0,0,0,0,0,0
97,Matt Barkley,SF,QB,0,0,0,0,0,0,0,0,0,0,0
98,Ryan Griffin,TB,QB,0,0,0,0,0,0,0,0,0,0,0
99,Tyler Bray,KC,QB,0,0,0,0,0,0,0,0,0,0,0
100,Matt McGloin,Phi,QB,0,0,0,0,0,0,0,0,0,0,0
101,Teddy Bridgewater,Min,QB,0,0,0,0,0,0,0,0,0,0,0
102,Johnny Manziel,Cle,QB,0,0,0,0,0,0,0,0,0,0,0
103,Tajh Boyd,Pit,QB,0,0,0,0,0,0,0,0,0,0,0
104,Zach Mettenberger,Pit,QB,0,0,0,0,0,0,0,0,0,0,0
105,David Fales,Mia,QB,0,0,0,0,0,0,0,0,0,0,0
106,Keith Wenning,Buf,QB,0,0,0,0,0,0,0,0,0,0,0
107,Aaron Murray,KC,QB,0,0,0,0,0,0,0,0,0,0,0
108,Matt Blanchard,Chi,QB,0,0,0,0,0,0,0,0,0,0,0
109,Dustin Vaughan,Bal,QB,0,0,0,0,0,0,0,0,0,0,0
110,Connor Shaw,Chi,QB,0,0,0,0,0,0,0,0,0,0,0
111,Jameis Winston,TB,QB,0,0,0,0,0,0,0,0,0,0,0
112,Dylan Thompson,LAR,QB,0,0,0,0,0,0,0,0,0,0,0
113,Garrett Grayson,NO,QB,0,0,0,0,0,0,0,0,0,0,0
114,Paxton Lynch,Den,QB,0,0,0,0,0,0,0,0,0,0,0
115,Christian Hackenberg,NYJ,QB,0,0,0,0,0,0,0,0,0,0,0
116,Cardale Jones,LAC,QB,0,0,0,0,0,0,0,0,0,0,0
117,Kevin Hogan,Cle,QB,0,0,0,0,0,0,0,0,0,0,0
118,Nate Sudfeld,Wsh,QB,0,0,0,0,0,0,0,0,0,0,0
119,Brandon Allen,LAR,QB,0,0,0,0,0,0,0,0,0,0,0
120,Jeff Driskel,Cin,QB,0,0,0,0,0,0,0,0,0,0,0
