PlayerID,Name,Team,Pos,Tackles,Sack,FF,FR,Int,Int TD,Fum TD,Pass Def
71,Johnathan Hankins,Ind,DT,2.5,0.2,0.1,0,0,0,0,0
72,Sheldon Day,Jax,DT,1.2,0.1,0,0,0,0,0,0
73,Claude Pelon,NYJ,DT,1.2,0.1,0,0,0,0,0,0
74,Mike Pennel,NYJ,DT,1.6,0.1,0,0,0,0,0,0
75,Caleb Brantley,Cle,DT,1.2,0.1,0,0,0,0,0,0
76,Nazair Jones,Sea,DT,1.2,0.1,0,0,0,0,0,0
77,Geno Atkins,Cin,DT,2.5,0.5,0,0,0,0,0,0
78,Vincent Valentine,NE,DT,1.4,0.1,0,0,0,0,0,0
79,Tyrone Crawford,Dal,DT,2.2,0.2,0,0,0,0,0,0
80,Chris Wormley,Bal,DT,1,0.1,0,0,0,0,0,0
81,Leonard Williams,NYJ,DT,4.2,0.4,0.1,0,0,0,0,0
82,Ryan Glasgow,Cin,DT,1,0.1,0,0,0,0,0,0
83,Stephen Paea,Dal,DT,1.5,0.1,0,0,0,0,0,0
84,Robert Thomas,NYG,DT,1,0.1,0,0,0,0,0,0
85,Matt Ioannidis,Wsh,DT,0.6,0,0,0,0,0,0,0
86,Darius Philon,LAC,DT,0.8,0.1,0,0,0,0,0,0
87,D.J. Jones,SF,DT,0.8,0.1,0,0,0,0,0,0
88,Tanzel Smart,LAR,DT,0.8,0.1,0,0,0,0,0,0
89,DaQuan Jones,Ten,DT,2.1,0.1,0,0,0,0,0,0
90,Eddie Vanderdoes,Oak,DT,0.7,0,0,0,0,0,0,0
91,Stacy McGee,Wsh,DT,2.9,0.2,0.1,0,0,0,0,0
92,Austin Johnson,Ten,DT,0.7,0,0,0,0,0,0,0
93,Maliek Collins,Dal,DT,1.7,0.2,0.1,0,0,0,0,0
94,Malcom Brown,NE,DT,3.2,0.2,0,0,0,0,0,0
95,T.Y. McGill,Cle,DT,0.5,0,0,0,0,0,0,0
96,Joel Heath,Hou,DT,0.8,0.1,0,0,0,0,0,0
97,Hassan Ridgeway,Ind,DT,0.6,0.1,0,0,0,0,0,0
98,Pat Sims,Cin,DT,2.1,0.1,0,0,0,0,0,0
99,Daniel McCullers,Pit,DT,0.4,0,0,0,0,0,0,0
100,Carl Davis,Bal,DT,0.4,0,0,0,0,0,0,0
101,Beau Allen,Phi,DT,1.3,0,0,0,0,0,0,0
102,Jared Crick,Den,DT,0.3,0,0,0,0,0,0,0
103,Akeem Spence,Det,DT,1.8,0.1,0,0,0,0,0,0
104,Steve McLendon,NYJ,DT,2.2,0.2,0.1,0,0,0,0,0
105,Jaleel Johnson,Min,DT,0.6,0,0,0,0,0,0,0
106,Treyvon Hester,Oak,DT,0.6,0,0,0,0,0,0,0
107,Jay Bromley,NYG,DT,1.8,0.1,0,0,0,0,0,0
108,Mitch Unrein,Chi,DT,1.7,0.1,0,0,0,0,0,0
109,Damion Square,LAC,DT,0.9,0.1,0,0,0,0,0,0
110,Brian Price,Dal,DT,0.5,0,0,0,0,0,0,0
111,Rakeem Nunez-Roches,KC,DT,0.7,0,0,0,0,0,0,0
112,Michael Bennett,Jax,DT,0.6,0,0,0,0,0,0,0
113,Xavier Williams,Ari,DT,0.5,0,0,0,0,0,0,0
114,Destiny Vaeao,Phi,DT,0.5,0,0,0,0,0,0,0
115,Montravius Adams,GB,DT,0.4,0,0,0,0,0,0,0
116,Brandon Dunn,Hou,DT,0.3,0,0,0,0,0,0,0
117,Rodney Gunter,Ari,DT,1.1,0.1,0,0,0,0,0,0
118,Morgan Fox,LAR,DT,0.3,0,0,0,0,0,0,0
119,Christian Ringo,Cin,DT,0.3,0,0,0,0,0,0,0
120,Jerel Worthy,Buf,DT,0.3,0,0,0,0,0,0,0
121,Kyle Love,Car,DT,0.5,0,0,0,0,0,0,0
122,L.T. Walton,Pit,DT,0.1,0,0,0,0,0,0,0
123,Jihad Ward,Oak,DT,0.4,0,0,0,0,0,0,0
124,Anthony Lanier,Wsh,DT,0.1,0,0,0,0,0,0,0
