Player,Team,Rush Att,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,Fum Lost,FPoints
Bryce Love,WAS,,89.6,0.7,3.1,24.9,0.1,0.1,15.9
Alec Ingold,LV,,63.1,0.5,8.1,51.4,0.4,0.1,16.5
Eno Benjamin,ARI,,113.1,0.8,5.9,35.2,0.2,0.2,20.7
Leonard Fournette,TB,,448.7,2.8,24.5,203.5,0.7,0.0,86.4
Adrian Peterson,DET,,496.2,3.3,16.4,133.2,0.5,0.5,84.8
Mike Boone,MIN,,193.4,1.5,4.0,42.1,0.2,0.2,33.3
Andy Janovich,CLE,,44.2,0.4,9.6,58.0,0.4,0.1,14.7
Ke'Shawn Vaughn,TB,,,,,,,,
Joe Mixon,CIN,,"1,253.7",8.0,27.8,243.5,1.3,0.6,204.0
Devontae Booker,LV,,80.3,0.5,14.9,123.1,0.5,0.0,26.8
James White,NE,,176.8,1.1,67.9,590.5,3.1,0.0,102.9
Nick Chubb,CLE,,"1,204.0",8.2,27.1,213.8,1.0,1.2,194.6
Rashaad Penny,SEA,,,,,,,,
Christian McCaffrey,CAR,,"1,010.9",7.5,92.8,798.3,5.9,0.5,261.2
Patrick Laird,MIA,,34.0,0.2,3.1,28.2,0.1,0.0,8.0
Giovani Bernard,CIN,,253.8,1.4,25.3,207.3,0.9,0.0,60.3
Chris Carson,SEA,,"1,228.7",8.5,34.6,280.8,1.4,2.0,207.1
Jordan Wilkins,IND,,44.0,0.4,1.3,9.7,0.0,0.0,7.9
Dion Lewis,NYG,,144.3,0.7,13.5,79.6,0.5,0.3,28.8
Khari Blasingame,TEN,,4.7,0.1,6.4,50.1,0.3,0.0,8.0
Alvin Kamara,NO,,854.4,6.0,79.1,554.9,2.2,0.5,192.7
Jason Huntley,PHI,,25.6,0.2,2.7,18.9,0.1,0.0,6.3
Ty Johnson,NYJ,,48.5,0.3,3.2,22.9,0.1,0.0,9.3
James Robinson,JAC,,286.2,2.0,12.1,105.2,0.5,0.4,53.2
David Johnson,HOU,,753.5,4.9,50.0,532.9,3.1,1.8,174.3
Ronald Jones II,TB,,840.1,5.6,39.2,345.4,1.4,1.0,158.5
J.K. Dobbins,BAL,,390.2,2.7,13.3,95.8,0.5,0.6,66.9
D'Ernest Johnson,CLE,,4.9,0.1,5.7,58.9,0.3,0.0,8.8
Anthony McFarland Jr.,PIT,,122.9,0.8,4.9,34.3,0.2,0.2,21.7
Derrick Henry,TEN,,"1,523.7",11.4,18.9,159.5,1.1,1.7,239.6
Josh Jacobs,LV,,"1,168.4",8.5,24.8,180.1,0.8,1.2,188.5
Devine Ozigbo,JAC,,294.8,2.0,17.0,126.7,0.6,0.4,57.0
Bruce Miller,JAC,0.0,29.0,0.3,8.0,52.1,0.4,0.1,11.9
Jerick McKinnon,SF,,296.5,1.6,35.2,283.9,0.9,0.4,73.6
Mike Davis,CAR,,67.2,0.4,10.7,99.0,0.4,0.1,22.4
Tony Pollard,DAL,,444.8,3.1,20.0,160.0,0.8,0.9,83.3
Chase Edmonds,ARI,,261.1,2.0,14.2,118.4,0.5,0.1,52.7
Zack Moss,BUF,,445.5,3.0,14.0,113.5,0.5,0.7,75.7
Taiwan Jones,BUF,,4.2,0.0,5.3,59.4,0.3,0.0,8.5
Marlon Mack,IND,,789.8,6.0,12.1,85.1,0.4,0.4,126.8
Ameer Abdullah,MIN,,15.4,0.1,2.3,21.5,0.1,0.0,4.8
C.J. Ham,MIN,,30.0,0.2,14.2,123.5,0.6,0.0,20.6
AJ Dillon,GB,,251.4,1.8,9.4,60.0,0.4,0.4,43.3
Joshua Kelley,LAC,,182.6,1.3,8.6,69.4,0.3,0.3,34.8
Kerryon Johnson,DET,,700.6,5.4,21.7,201.2,1.0,1.5,125.6
Nick Bellore,SEA,,1.1,0.1,3.9,25.2,0.2,0.0,4.3
David Montgomery,CHI,,878.9,5.3,15.5,117.9,0.7,1.7,132.2
Chris Thompson,JAC,,577.9,3.0,56.6,519.8,2.1,0.0,140.9
La'Mical Perine,NYJ,,206.4,1.4,9.6,74.0,0.4,0.3,38.5
Nyheim Hines,IND,,206.1,1.5,34.1,290.3,1.2,0.0,69.4
Ryquell Armstead,JAC,,,,,,,,
Keith Smith,ATL,,25.1,0.2,5.4,22.7,0.2,0.0,7.5
Austin Ekeler,LAC,,647.1,3.9,64.4,742.4,4.6,0.6,189.0
