Player,Team,Rec,Rec Yds,Rec TDs,Rush Att,Rush Yds,Rush TDs,Fum Lost,FPoints
Mike Williams,LAC,41.0,732.0,5.0,5.0,19.0,1.0,0.0,111.1
Marvin Jones Jr.,DET,63.0,857.0,8.0,2.0,0.0,0.0,1.0,133.7
Randall Cobb,HOU,54.0,681.0,3.0,2.0,8.0,0.0,1.0,86.9
Golden Tate,NYG,68.0,821.0,5.0,3.0,26.0,0.0,1.0,114.7
Jakeem Grant,MIA,39.0,426.0,2.0,4.0,9.0,1.0,1.0,61.5
Christian Blake,ATL,,,,0.0,0.0,0.0,,
DeSean Jackson,PHI,47.0,751.0,5.0,7.0,36.0,1.0,1.0,114.7
Keenan Allen,LAC,91.0,"1,161.0",6.0,8.0,57.0,0.0,1.0,157.8
Tyreek Hill,KC,86.0,"1,269.0",9.0,17.0,106.0,1.0,1.0,197.5
Allen Robinson II,CHI,85.0,"1,083.0",6.0,1.0,5.0,0.0,1.0,144.8
Robby Anderson,CAR,54.0,771.0,5.0,2.0,-2.0,0.0,1.0,106.9
Joe Reed,LAC,34.0,550.0,2.0,3.0,12.0,0.0,1.0,68.2
Larry Fitzgerald,ARI,51.0,544.0,4.0,0.0,0.0,0.0,1.0,78.4
Equanimeous St. Brown,GB,,,,,,0.0,,
Odell Beckham Jr.,CLE,76.0,"1,155.0",6.0,5.0,19.0,0.0,1.0,153.4
JuJu Smith-Schuster,PIT,88.0,"1,172.0",6.0,1.0,8.0,0.0,1.0,154.0
Deebo Samuel,SF,51.0,735.0,3.0,19.0,240.0,2.0,1.0,127.5
Chris Godwin,TB,75.0,"1,175.0",8.0,1.0,5.0,0.0,1.0,166.0
Davante Adams,GB,110.0,"1,422.0",11.0,0.0,0.0,0.0,1.0,208.2
Kenny Stills,HOU,34.0,513.0,4.0,0.0,0.0,0.0,0.0,75.3
DeAndre Hopkins,ARI,102.0,"1,188.0",8.0,1.0,4.0,0.0,1.0,167.2
Sammy Watkins,KC,67.0,885.0,4.0,5.0,43.0,0.0,1.0,116.8
Devin Duvernay,BAL,27.0,420.0,3.0,3.0,21.0,0.0,1.0,62.1
Antonio Gandy-Golden,WAS,,,,,,,,
Nelson Agholor,LV,55.0,608.0,3.0,3.0,31.0,0.0,1.0,81.9
