"Rank","Player","Team","Opp","Position","Yds Allowed","Pts Agn","Scks","Int","Fum","DefTD","Safts","Pts"
1,"Colts, Indianapolis","IND","JAC","D",251.2,13.8,3.2,1.2,0.9,0.1,0.,15.2
2,"Chiefs, Kansas City","KCC","@LAC","D",343.5,21.9,3.6,1.2,0.9,0.2,0.,13.1
3,"Bills, Buffalo","BUF","@MIA","D",232.1,18.3,2.3,1.4,0.7,0.,0.1,13.1
4,"Vikings, Minnesota","MIN","DEN","D",270.2,18.5,3.3,0.7,0.3,0.2,0.,12.9
5,"Bears, Chicago","CHI","@LAR","D",345.5,18.3,2.2,1.3,0.2,0.2,0.1,11.3
6,"Ravens, Baltimore","BAL","HOU","D",309.3,19.1,2.1,0.8,0.4,0.3,0.,11.2
7,"Bengals, Cincinnati","CIN","@OAK","D",340.2,23.3,2.3,0.8,0.5,0.3,0.,11.
8,"49ers, San Francisco","SFO","ARZ","D",266.2,21.1,2.9,0.1,0.4,0.2,0.,10.4
9,"Jets, New York","NYJ","@WAS","D",365.7,26.6,2.9,0.7,0.5,0.3,0.,10.
10,"Patriots, New England","NEP","@PHI","D",360.,19.4,2.,0.9,0.6,0.1,0.,9.8
11,"Texans, Houston","HOU","@BAL","D",389.2,21.2,2.1,0.8,0.8,0.2,0.,9.2
12,"Falcons, Atlanta","ATL","@CAR","D",384.4,24.8,2.5,1.1,0.3,0.1,0.,9.1
13,"Broncos, Denver","DEN","@MIN","D",396.,23.7,2.3,0.9,0.6,0.1,0.,9.1
14,"Redskins, Washington","WAS","NYJ","D",385.2,24.7,2.6,0.8,0.6,0.1,0.,8.7
15,"Browns, Cleveland","CLE","PIT","D",388.6,24.1,2.3,0.9,0.7,0.,0.1,8.6
16,"Saints, New Orleans","NOS","@TBB","D",384.2,23.1,2.5,0.8,0.6,0.,0.,8.5
17,"Cardinals, Arizona","ARZ","@SFO","D",373.6,27.9,2.8,0.4,0.5,0.1,0.,8.5
18,"Rams, Los Angeles","LAR","CHI","D",414.9,27.6,2.1,0.9,0.4,0.2,0.1,7.9
19,"Buccaneers, Tampa Bay","TBB","NOS","D",370.1,27.6,2.3,0.5,0.6,0.1,0.,7.9
20,"Lions, Detroit","DET","DAL","D",371.,22.6,2.3,0.4,0.4,0.1,0.,7.4
21,"Jaguars, Jacksonville","JAC","@IND","D",375.3,22.8,1.9,0.4,0.4,0.2,0.1,7.4
22,"Steelers, Pittsburgh","PIT","@CLE","D",368.5,25.3,2.5,0.4,0.2,0.1,0.1,7.3
23,"Dolphins, Miami","MIA","BUF","D",457.3,33.1,1.8,0.9,0.4,0.3,0.,7.2
24,"Chargers, Los Angeles","LAC","KCC","D",404.8,25.3,2.1,0.5,0.5,0.2,0.,7.1
25,"Raiders, Oakland","OAK","CIN","D",375.5,28.8,0.7,1.,0.1,0.1,0.,5.6
26,"Cowboys, Dallas","DAL","@DET","D",428.1,26.9,1.5,0.4,0.4,0.1,0.,5.5
27,"Eagles, Philadelphia","PHI","NEP","D",463.2,26.9,1.8,0.5,0.2,0.,0.,5.1
28,"Panthers, Carolina","CAR","ATL","D",447.1,28.7,1.5,0.5,0.5,0.,0.,4.6
"","","","","","","","","","","","",""
