"Rank","Player","Team","Opp","Position","GAMES_WON","GAMES_LOST","POINTS_SCORED","POINTS_DIFF","Pts"
1,"Koetter, Dirk","ATL","@CAR","HC",1.,0.,34.,20.,27.
2,"Harbaugh, John","BAL","HOU","HC",1.,0.,35.,18.,26.9
3,"Payton, Sean","NOS","@TBB","HC",1.,0.,35.,18.,26.9
4,"Rivera, Ron","CAR","ATL","HC",1.,0.,33.,20.,26.5
5,"Tomlin, Mike","PIT","@CLE","HC",1.,0.,35.,16.,26.3
6,"Quinn, Dan","ATL","@CAR","HC",1.,0.,33.,19.,26.2
7,"Belichick, Bill","NEP","@PHI","HC",1.,0.,31.,6.,21.3
8,"Zimmer, Mike","MIN","DEN","HC",1.,0.,25.,4.,17.7
9,"Patricia, Matt","DET","DAL","HC",1.,0.,23.,2.,16.1
10,"Gase, Adam","NYJ","@WAS","HC",0.,1.,27.,-3.,12.6
11,"Nagy, Matt","CHI","@LAR","HC",0.,1.,21.,-3.,9.6
12,"McDermott, Sean","BUF","@MIA","HC",0.,1.,21.,-4.,9.3
13,"Reich, Frank","IND","JAC","HC",0.,1.,21.,-6.,8.7
14,"Marrone, Doug","JAC","@IND","HC",0.,1.,19.,-5.,8.
15,"O'Brien, Bill","HOU","@BAL","HC",0.,1.,19.,-9.,6.8
16,"McVay, Sean","LAR","CHI","HC",0.,1.,21.,-13.,6.6
17,"Shanahan, Kyle","SFO","ARZ","HC",0.,1.,21.,-14.,6.3
18,"Reid, Andy","KCC","@LAC","HC",0.,1.,21.,-14.,6.3
19,"Vrabel, Mike","TEN","Bye","HC",0.,1.,17.,-8.,6.1
20,"Gruden, Jon","OAK","CIN","HC",0.,1.,18.,-10.,6.
21,"Carroll, Pete","SEA","Bye","HC",0.,1.,19.,-12.,5.9
22,"Lynn, Anthony","LAC","KCC","HC",0.,1.,16.,-12.,4.4
23,"Pederson, Doug","PHI","NEP","HC",0.,1.,17.,-16.,3.7
24,"Garrett, Jason","DAL","@DET","HC",0.,1.,16.,-15.,3.5
25,"Gruden, Jay","WAS","NYJ","HC",0.,1.,14.,-13.,3.1
26,"Shurmur, Pat","NYG","Bye","HC",0.,1.,15.,-16.,2.7
"","","","","","","","","",""
