"Rank","Player","Team","Opp","Position","GAMES_WON","GAMES_LOST","POINTS_SCORED","POINTS_DIFF","Pts"
1,"Harbaugh, John","BAL","Bye","HC",1.,0.,35.,19.,27.2
2,"Garrett, Jason","DAL","Bye","HC",1.,0.,35.,18.,26.9
3,"Shurmur, Pat","NYG","@DET","HC",1.,0.,34.,17.,26.1
4,"Tomlin, Mike","PIT","MIA","HC",1.,0.,35.,15.,26.
5,"Pederson, Doug","PHI","@BUF","HC",1.,0.,35.,14.,25.7
6,"Gruden, Jay","WAS","@MIN","HC",1.,0.,31.,16.,24.3
7,"Reid, Andy","KCC","GBP","HC",1.,0.,32.,7.,22.1
8,"Marrone, Doug","JAC","NYJ","HC",1.,0.,30.,6.,20.8
9,"McVay, Sean","LAR","CIN","HC",1.,0.,28.,5.,19.5
10,"Patricia, Matt","DET","NYG","HC",1.,0.,28.,4.,19.2
11,"Nagy, Matt","CHI","LAC","HC",1.,0.,28.,4.,19.2
12,"Belichick, Bill","NEP","CLE","HC",1.,0.,28.,3.,18.9
13,"Zimmer, Mike","MIN","WAS","HC",1.,0.,28.,1.,18.3
14,"O'Brien, Bill","HOU","OAK","HC",1.,0.,28.,1.,18.3
15,"Carroll, Pete","SEA","@ATL","HC",1.,0.,25.,3.,17.4
16,"Vrabel, Mike","TEN","TBB","HC",1.,0.,26.,1.,17.3
17,"Shanahan, Kyle","SFO","CAR","HC",1.,0.,25.,1.,16.8
18,"Reich, Frank","IND","DEN","HC",0.,1.,30.,-1.,14.7
19,"Koetter, Dirk","ATL","SEA","HC",0.,1.,24.,-1.,11.7
20,"Payton, Sean","NOS","ARZ","HC",0.,1.,24.,-1.,11.7
21,"Gruden, Jon","OAK","@HOU","HC",0.,1.,24.,-4.,10.8
22,"Gase, Adam","NYJ","@JAC","HC",0.,1.,23.,-3.,10.6
23,"Quinn, Dan","ATL","SEA","HC",0.,1.,23.,-3.,10.6
24,"Rivera, Ron","CAR","@SFO","HC",0.,1.,21.,-3.,9.6
25,"Lynn, Anthony","LAC","@CHI","HC",0.,1.,21.,-3.,9.6
26,"McDermott, Sean","BUF","PHI","HC",0.,1.,18.,-7.,6.9
"","","","","","","","","",""
