"Rank","Player","Team","Opp","Position","GAMES_WON","GAMES_LOST","POINTS_SCORED","POINTS_DIFF","Pts"
1,"Belichick, Bill","NEP","NYJ","HC",1.,0.,35.,21.,27.8
2,"Reid, Andy","KCC","BAL","HC",1.,0.,35.,19.,27.2
3,"Tomlin, Mike","PIT","@SFO","HC",1.,0.,35.,16.,26.3
4,"Carroll, Pete","SEA","NOS","HC",1.,0.,30.,8.,21.4
5,"Patricia, Matt","DET","@PHI","HC",1.,0.,27.,11.,20.8
6,"Pederson, Doug","PHI","DET","HC",1.,0.,27.,6.,19.3
7,"Nagy, Matt","CHI","@WAS","HC",1.,0.,24.,7.,18.1
8,"Reich, Frank","IND","ATL","HC",1.,0.,22.,8.,17.4
9,"Payton, Sean","NOS","@SEA","HC",1.,0.,25.,2.,17.1
10,"Harbaugh, John","BAL","@KCC","HC",1.,0.,24.,1.,16.3
11,"Vrabel, Mike","TEN","@JAC","HC",1.,0.,21.,4.,15.7
12,"McVay, Sean","LAR","@CLE","HC",0.,1.,27.,-1.,13.2
13,"Koetter, Dirk","ATL","@IND","HC",0.,1.,22.,-2.,10.4
14,"Rivera, Ron","CAR","@ARZ","HC",0.,1.,22.,-3.,10.1
15,"Garrett, Jason","DAL","MIA","HC",0.,1.,21.,-6.,8.7
16,"Gruden, Jay","WAS","CHI","HC",0.,1.,20.,-5.,8.5
17,"Shurmur, Pat","NYG","@TBB","HC",0.,1.,20.,-10.,7.
18,"Quinn, Dan","ATL","@IND","HC",0.,1.,19.,-10.,6.5
19,"Marrone, Doug","JAC","TEN","HC",0.,1.,16.,-6.,6.2
20,"Shanahan, Kyle","SFO","PIT","HC",0.,1.,20.,-14.,5.8
21,"Zimmer, Mike","MIN","OAK","HC",0.,1.,17.,-10.,5.5
22,"O'Brien, Bill","HOU","@LAC","HC",0.,1.,16.,-10.,5.
23,"Lynn, Anthony","LAC","HOU","HC",0.,1.,18.,-17.,3.9
24,"Gruden, Jon","OAK","@MIN","HC",0.,1.,14.,-21.,0.7
25,"McDermott, Sean","BUF","CIN","HC",0.,1.,10.,-25.,-2.5
26,"Gase, Adam","NYJ","@NEP","HC",0.,1.,10.,-25.,-2.5
"","","","","","","","","",""
