"Rank","Player","Team","Opp","Position","Yds Allowed","Pts Agn","Scks","Int","Fum","DefTD","Safts","Pts"
1,"Saints, New Orleans","NOS","@JAC","D",221.7,13.3,4.,1.3,1.,0.,0.,16.3
2,"Redskins, Washington","WAS","@MIA","D",272.1,17.5,3.5,1.1,0.9,0.1,0.,14.3
3,"Falcons, Atlanta","ATL","@ARZ","D",296.3,19.4,3.2,1.3,0.4,0.2,0.,14.2
4,"Steelers, Pittsburgh","PIT","@LAC","D",273.1,18.9,3.5,0.6,0.3,0.1,0.1,12.5
5,"Titans, Tennessee","TEN","@DEN","D",331.1,18.6,2.4,0.8,0.4,0.3,0.,11.3
6,"Chiefs, Kansas City","KCC","HOU","D",389.7,24.8,3.1,1.1,0.8,0.2,0.,11.1
7,"Patriots, New England","NEP","NYG","D",344.6,18.6,2.1,1.,0.6,0.1,0.,11.1
8,"Ravens, Baltimore","BAL","CIN","D",315.3,19.7,2.,0.8,0.4,0.3,0.,11.
9,"Dolphins, Miami","MIA","WAS","D",367.2,26.5,2.3,1.2,0.5,0.4,0.,10.9
10,"Lions, Detroit","DET","@GBP","D",321.4,19.3,2.8,0.5,0.5,0.1,0.,10.3
11,"Jaguars, Jacksonville","JAC","NOS","D",336.1,20.5,2.2,0.5,0.4,0.2,0.1,10.2
12,"Rams, Los Angeles","LAR","SFO","D",377.3,25.2,2.5,1.,0.5,0.2,0.1,9.9
13,"Broncos, Denver","DEN","TEN","D",357.4,21.4,2.6,1.1,0.7,0.1,0.,9.9
14,"Chargers, Los Angeles","LAC","PIT","D",351.8,22.,2.5,0.6,0.6,0.2,0.,9.2
15,"Vikings, Minnesota","MIN","PHI","D",337.5,23.,2.6,0.6,0.3,0.1,0.,9.
16,"Buccaneers, Tampa Bay","TBB","CAR","D",357.,26.5,2.4,0.6,0.6,0.1,0.,8.1
17,"Bengals, Cincinnati","CIN","@BAL","D",403.3,27.5,2.,0.7,0.4,0.3,0.,8.
18,"Panthers, Carolina","CAR","@TBB","D",397.9,25.7,1.9,0.6,0.6,0.,0.,7.4
19,"Cowboys, Dallas","DAL","@NYJ","D",375.5,23.6,1.7,0.4,0.5,0.1,0.,7.2
20,"Seahawks, Seattle","SEA","@CLE","D",440.5,26.6,1.9,0.5,0.6,0.1,0.,6.9
21,"Texans, Houston","HOU","@KCC","D",454.5,24.7,1.7,0.6,0.6,0.1,0.,6.8
22,"Browns, Cleveland","CLE","SEA","D",432.7,26.9,2.,0.8,0.6,0.,0.1,6.8
23,"Jets, New York","NYJ","DAL","D",451.7,32.9,2.3,0.5,0.4,0.2,0.,6.6
24,"Eagles, Philadelphia","PHI","@MIN","D",426.2,24.8,2.1,0.5,0.2,0.,0.,5.5
25,"Giants, New York","NYG","@NEP","D",474.4,32.1,1.4,0.8,0.3,0.1,0.,5.3
26,"Packers, Green Bay","GBP","DET","D",452.8,31.6,1.9,0.2,0.4,0.1,0.,4.6
27,"49ers, San Francisco","SFO","@LAR","D",405.9,32.5,1.9,0.,0.2,0.1,0.,4.2
28,"Cardinals, Arizona","ARZ","ATL","D",467.9,35.4,2.,0.2,0.3,0.1,0.,3.7
"","","","","","","","","","","","",""
