"Rank","Player","Team","Opp","Position","XP","XPA","FG","Att","10-19","20-29","30-39","40-49","50+","Miss","Pts"
1,"Tucker, Justin","BAL","CIN","K",2.5,2.5,2.3,2.5,0.,0.6,0.7,0.6,0.3,0.2,9.8
2,"Zuerlein, Greg","LAR","SFO","K",2.7,2.9,2.2,2.6,0.,0.8,0.7,0.4,0.4,0.4,9.4
3,"Gould, Robbie","SFO","@LAR","K",1.7,1.8,2.1,2.2,0.,0.5,0.8,0.7,0.2,0.1,8.7
4,"Bryant, Matt","ATL","@ARZ","K",2.4,2.5,1.8,1.9,0.,0.4,0.5,0.5,0.4,0.1,8.5
5,"Butker, Harrison","KCC","HOU","K",3.1,3.2,1.7,1.9,0.,0.4,0.7,0.4,0.2,0.2,8.2
6,"Myers, Jason","SEA","@CLE","K",2.5,2.7,1.7,1.9,0.,0.3,0.6,0.5,0.3,0.2,8.2
7,"Lutz, Wil","NOS","@JAC","K",2.8,2.9,1.6,1.9,0.,0.4,0.5,0.6,0.2,0.2,8.
8,"Maher, Brett","DAL","@NYJ","K",2.5,2.5,1.7,2.1,0.,0.6,0.4,0.4,0.3,0.4,7.3
9,"Prater, Matt","DET","@GBP","K",2.,2.1,1.7,1.9,0.1,0.4,0.6,0.4,0.2,0.3,7.1
10,"Slye, Joey","CAR","@TBB","K",2.3,2.5,1.4,1.4,0.,0.4,0.5,0.3,0.2,0.1,6.8
11,"Elliott, Jake","PHI","@MIN","K",2.1,2.3,1.5,1.7,0.,0.4,0.4,0.5,0.2,0.2,6.8
12,"Fairbairn, Ka'imi","HOU","@KCC","K",2.,2.1,1.6,1.9,0.,0.3,0.5,0.5,0.2,0.3,6.7
13,"Lambo, Josh","JAC","NOS","K",1.8,1.9,1.5,1.7,0.,0.3,0.7,0.4,0.2,0.2,6.6
14,"Succop, Ryan","TEN","@DEN","K",1.8,2.,1.6,1.9,0.,0.3,0.6,0.5,0.1,0.3,6.4
15,"Gostkowski, Stephen","NEP","NYG","K",2.5,2.6,1.5,1.8,0.,0.5,0.5,0.3,0.1,0.4,6.3
16,"Boswell, Chris","PIT","@LAC","K",2.4,2.6,1.4,1.7,0.,0.3,0.5,0.4,0.1,0.3,6.2
17,"Catanzaro, Chandler","Ret","Bye","K",1.8,2.2,1.4,1.6,0.,0.4,0.6,0.2,0.3,0.2,6.1
18,"Badgley, Mike","LAC","PIT","K",2.,2.2,1.4,1.7,0.,0.4,0.4,0.4,0.1,0.3,6.
19,"Hopkins, Dustin","WAS","@MIA","K",1.5,1.6,1.4,1.7,0.,0.4,0.3,0.5,0.1,0.2,5.9
20,"Rosas, Aldrick","NYG","@NEP","K",1.5,1.6,1.4,1.6,0.,0.5,0.5,0.3,0.2,0.2,5.8
21,"Janikowski, Sebastian","Ret","Bye","K",2.3,2.5,1.1,1.4,0.,0.2,0.3,0.5,0.2,0.3,5.6
22,"Bullock, Randy","CIN","@BAL","K",2.1,2.2,1.1,1.3,0.,0.3,0.4,0.3,0.1,0.2,5.5
23,"Sanders, Jason","MIA","WAS","K",2.1,2.1,1.1,1.2,0.,0.4,0.2,0.4,0.,0.1,5.4
24,"McManus, Brandon","DEN","TEN","K",2.,2.,1.3,1.7,0.,0.3,0.5,0.4,0.1,0.4,5.3
25,"Crosby, Mason","GBP","DET","K",1.8,1.8,1.2,1.5,0.,0.3,0.3,0.4,0.1,0.3,5.1
26,"Seibert, Austin","CLE","SEA","K",1.9,2.1,1.,1.3,0.,0.2,0.4,0.3,0.1,0.3,4.7
27,"Bailey, Dan","MIN","PHI","K",2.,2.1,1.3,1.9,0.,0.3,0.6,0.2,0.1,0.6,4.7
28,"Gay, Matt","TBB","CAR","K",1.8,2.,1.2,1.7,0.,0.3,0.5,0.3,0.1,0.5,4.4
29,"Gonzalez, Zane","ARZ","ATL","K",1.2,1.3,1.1,1.4,0.,0.2,0.4,0.3,0.2,0.4,4.
"","","","","","","","","","","","","","","",""
