"Rank","Player","Team","Opp","Position","PUNTS","PUNT_YDS","PUNT_RETURN_YD","PUNT_INSIDE20","Pts"
1,"Lee, Andy","ARZ","ATL","P",5.8,281.,23.,2.2,19.7
2,"Cooke, Logan","JAC","NOS","P",5.5,249.,14.,2.2,17.8
3,"Way, Tress","WAS","@MIA","P",5.1,234.,24.,2.3,17.4
4,"Edwards, Lachlan","NYJ","DAL","P",5.5,252.,25.,1.7,17.
5,"Haack, Matt","MIA","WAS","P",5.4,240.,21.,2.,16.8
6,"Kern, Brett","TEN","@DEN","P",4.7,227.,18.,2.3,16.7
7,"Daniel, Trevor","HOU","@KCC","P",4.9,220.,20.,2.2,16.5
8,"Dickson, Michael","SEA","@CLE","P",5.1,245.,26.,1.6,16.1
9,"Wadman, Colby","DEN","TEN","P",5.1,231.,22.,1.7,15.9
10,"Martin, Sam","DET","@GBP","P",4.9,217.,18.,2.,15.8
11,"Huber, Kevin","CIN","@BAL","P",5.1,229.,19.,1.8,15.8
12,"Koch, Sam","BAL","CIN","P",4.4,202.,21.,1.9,14.6
13,"Wile, Matt","MIN","PHI","P",4.6,207.,13.,1.7,14.3
14,"Dixon, Riley","NYG","@NEP","P",4.6,207.,11.,1.3,13.6
15,"Scott, J.K.","GBP","DET","P",4.5,202.,14.,1.1,13.2
16,"Johnston, Cam","PHI","@MIN","P",3.9,186.,11.,1.6,13.1
17,"Palardy, Michael","CAR","@TBB","P",4.1,185.,11.,1.4,12.9
18,"Berry, Jordan","PIT","@LAC","P",3.8,165.,17.,1.8,12.6
19,"Hekker, Johnny","LAR","SFO","P",3.6,168.,7.,1.7,12.5
20,"Wishnowsky, Mitch","SFO","@LAR","P",4.,176.,10.,1.5,12.3
21,"Long, Ty","LAC","PIT","P",3.9,176.,16.,1.3,12.2
22,"Bosher, Matt","ATL","@ARZ","P",4.,182.,12.,1.4,12.2
23,"Jones, Chris","DAL","@NYJ","P",3.9,172.,12.,1.3,12.
24,"Bailey, Jake","NEP","NYG","P",3.7,162.,11.,1.3,11.5
25,"Pinion, Bradley","TBB","CAR","P",3.9,176.,13.,1.1,11.5
26,"Morstead, Thomas","NOS","@JAC","P",3.3,151.,7.,1.2,10.7
27,"Colquitt, Dustin","KCC","HOU","P",3.3,146.,9.,1.4,10.5
"","","","","","","","","",""
