"Rank","Player","Team","Opp","Position","GAMES_WON","GAMES_LOST","POINTS_SCORED","POINTS_DIFF","Pts"
1,"Belichick, Bill","NEP","NYG","HC",1.,0.,35.,16.,26.3
2,"Zimmer, Mike","MIN","PHI","HC",1.,0.,33.,18.,25.9
3,"McVay, Sean","LAR","SFO","HC",1.,0.,35.,14.,25.7
4,"Gase, Adam","NYJ","DAL","HC",1.,0.,35.,14.,25.7
5,"Tomlin, Mike","PIT","@LAC","HC",1.,0.,35.,14.,25.7
6,"Reid, Andy","KCC","HOU","HC",1.,0.,35.,13.,25.4
7,"McDermott, Sean","BUF","Bye","HC",1.,0.,32.,13.,23.9
8,"Shurmur, Pat","NYG","@NEP","HC",1.,0.,30.,14.,23.2
9,"Garrett, Jason","DAL","@NYJ","HC",1.,0.,28.,14.,22.2
10,"Pederson, Doug","PHI","@MIN","HC",1.,0.,29.,8.,20.9
11,"Reich, Frank","IND","Bye","HC",1.,0.,27.,8.,19.9
12,"Lynn, Anthony","LAC","PIT","HC",1.,0.,25.,9.,19.2
13,"Payton, Sean","NOS","@JAC","HC",1.,0.,28.,3.,18.9
14,"Koetter, Dirk","ATL","@ARZ","HC",1.,0.,28.,1.,18.3
15,"Quinn, Dan","ATL","@ARZ","HC",1.,0.,27.,2.,18.1
16,"Rivera, Ron","CAR","@TBB","HC",1.,0.,25.,2.,17.1
17,"Nagy, Matt","CHI","Bye","HC",1.,0.,21.,1.,14.8
18,"Harbaugh, John","BAL","CIN","HC",0.,1.,28.,-1.,13.7
19,"Gruden, Jon","OAK","Bye","HC",0.,1.,21.,-2.,9.9
20,"Marrone, Doug","JAC","NOS","HC",0.,1.,21.,-3.,9.6
21,"Patricia, Matt","DET","@GBP","HC",0.,1.,20.,-2.,9.4
22,"Carroll, Pete","SEA","@CLE","HC",0.,1.,24.,-10.,9.
23,"O'Brien, Bill","HOU","@KCC","HC",0.,1.,19.,-5.,8.
24,"Gruden, Jay","WAS","@MIA","HC",0.,1.,19.,-8.,7.1
25,"Vrabel, Mike","TEN","@DEN","HC",0.,1.,17.,-7.,6.4
26,"Shanahan, Kyle","SFO","@LAR","HC",0.,1.,21.,-14.,6.3
"","","","","","","","","",""
