Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
114,"Lee, Marquel",OAK,KCC,LB,1.4,0.9,0.,0.1,0.,0.,0.,0.,1.9
115,"Jacobs, Leon",JAC,IND,LB,1.5,0.4,0.,0.2,0.,0.,0.,0.,1.9
116,"Armstrong, Ray-Ray",NYG,CHI,LB,1.3,0.7,0.,0.1,0.1,0.1,0.,0.,1.9
117,"Ebukam, Samson",LAR,@DET,LB,1.3,0.4,0.2,0.1,0.,0.,0.,0.,1.8
118,"Morgan, Derrick",TEN,NYJ,LB,1.,0.8,0.4,0.1,0.,0.,0.,0.,1.8
119,"Evans, Rashaan",TEN,NYJ,LB,1.3,0.5,0.1,0.1,0.,0.,0.,0.,1.7
120,"Thomas, Chase",GBP,ARZ,LB,1.2,0.6,0.1,0.1,0.,0.,0.,0.,1.7
121,"McPhee, Pernell",WAS,@PHI,LB,1.2,0.2,0.1,0.2,0.,0.,0.,0.,1.7
122,"Wilson, Damien",DAL,NOR,LB,1.1,0.8,0.,0.1,0.,0.,0.,0.,1.7
123,"Martin, Josh",NYJ,@TEN,LB,1.2,0.6,0.1,0.,0.,0.,0.,0.,1.6
124,"Barrett, Shaq",DEN,@CIN,LB,1.2,0.1,0.2,0.,0.,0.1,0.,0.,1.6
125,"Ford, Dee",KCC,@OAK,LB,1.,0.5,0.1,0.1,0.,0.1,0.,0.,1.5
126,"Nzeocha, Mark",SFO,@SEA,LB,1.3,0.2,0.1,0.,0.,0.,0.,0.,1.5
127,"Harvey-Clemons, Josh",WAS,@PHI,LB,0.9,0.7,0.1,0.1,0.,0.,0.,0.,1.5
128,"Grugier-Hill, Kamu",PHI,WAS,LB,1.1,0.6,0.,0.,0.,0.1,0.,0.,1.5
129,"Smith, Za'Darius",BAL,@ATL,LB,0.7,0.6,0.2,0.1,0.,0.,0.,0.,1.4
130,"Harold, Eli",SFO,@SEA,LB,1.2,0.2,0.1,0.,0.,0.,0.,0.,1.4
131,"Reeves-Maybin, Jalen",DET,LAR,LB,1.2,0.2,0.,0.1,0.,0.,0.,0.,1.4
132,"Martin, Kareem",NYG,CHI,LB,0.9,0.4,0.,0.1,0.,0.,0.,0.,1.3
133,"Jewell, Josey",DEN,@CIN,LB,0.9,0.7,0.1,0.,0.,0.,0.,0.,1.3
134,"Hodges, Gerald",ARZ,@GBP,LB,0.9,0.2,0.1,0.1,0.,0.,0.,0.,1.3
135,"Baker, Jerome",MIA,BUF,LB,0.9,0.5,0.,0.,0.,0.,0.,0.,1.3
136,"Franklin, Zaire",IND,@JAC,LB,0.8,0.6,0.1,0.,0.,0.,0.,0.,1.2
137,"Ishmael, Kemal",ATL,BAL,LB,0.8,0.4,0.1,0.1,0.,0.,0.,0.,1.2
138,"Ray, Shane",DEN,@CIN,LB,0.7,0.6,0.2,0.,0.,0.,0.,0.,1.2
139,"Anderson, Ryan",WAS,@PHI,LB,0.8,0.5,0.1,0.,0.,0.,0.,0.,1.2
140,"Compton, Will",TEN,NYJ,LB,0.7,0.5,0.1,0.,0.,0.,0.,0.,1.1
141,"Matakevich, Tyler",PIT,LAC,LB,0.6,0.3,0.1,0.2,0.,0.,0.,0.,1.1
142,"Wilson, Ramik",LAR,@DET,LB,0.8,0.2,0.,0.,0.,0.,0.,0.,1.
143,"Gedeon, Ben",MIN,@NEP,LB,0.7,0.6,0.,0.,0.,0.,0.,0.,1.
144,"Smith, Terrance",KCC,@OAK,LB,0.6,0.4,0.1,0.1,0.,0.,0.,0.,1.
145,"King, Brandon",NEP,MIN,LB,0.7,0.2,0.,0.,0.,0.,0.,0.,0.9
