Rank,Player,Team,Opp,Position,GAMES_WON,GAMES_LOST,POINTS_SCORED,POINTS_DIFF,Pts
1,"O'Brien, Bill",HOU,CLE,HC,1.,0.,31.,17.,24.6
2,"Carroll, Pete",SEA,SFO,HC,1.,0.,30.,9.,21.7
3,"Joseph, Vance",DEN,@CIN,HC,1.,0.,28.,9.,20.7
4,"Pederson, Doug",PHI,WAS,HC,1.,0.,29.,7.,20.6
5,"Lewis, Marvin",CIN,DEN,HC,1.,0.,28.,7.,20.1
6,"McVay, Sean",LAR,@DET,HC,1.,0.,27.,5.,19.
7,"Vrabel, Mike",TEN,NYJ,HC,1.,0.,26.,6.,18.8
8,"Shurmer, Pat",NYG,CHI,HC,1.,0.,25.,7.,18.6
9,"McDermott, Sean",BUF,@MIA,HC,1.,0.,24.,8.,18.4
10,"Marrone, Doug",JAC,IND,HC,1.,0.,27.,3.,18.4
11,"Koetter, Dirk",TBB,CAR,HC,1.,0.,26.,4.,18.2
12,"McCarthy, Mike",GBP,ARZ,HC,1.,0.,25.,4.,17.7
13,"Campbell, Dan",MIA,BUF,HC,1.,0.,25.,1.,16.8
14,"Payton, Sean",NOR,@DAL,HC,1.,0.,25.,1.,16.8
15,"Wilks, Steve",ARZ,@GBP,HC,1.,0.,24.,2.,16.6
16,"Nagy, Matt",CHI,@NYG,HC,1.,0.,21.,5.,16.
17,"Bowles, Todd",NYJ,@TEN,HC,1.,0.,23.,1.,15.8
18,"Lynn, Anthony",LAC,@PIT,HC,0.,1.,28.,-1.,13.7
19,"Quinn, Dan",ATL,BAL,HC,0.,1.,25.,-1.,12.2
20,"Reid, Andy",KCC,@OAK,HC,0.,1.,24.,-1.,11.7
21,"Jackson, Hue",CLE,@HOU,HC,0.,1.,22.,-2.,10.4
22,"Gruden, Jon",OAK,KCC,HC,0.,1.,22.,-2.,10.4
23,"Shanahan, Kyle",SFO,@SEA,HC,0.,1.,21.,-2.,9.9
24,"Rivera, Ron",CAR,@TBB,HC,0.,1.,22.,-4.,9.8
25,"Belichick, Bill",NEP,MIN,HC,0.,1.,24.,-8.,9.6
26,"Patricia, Matt",DET,LAR,HC,0.,1.,23.,-7.,9.4
27,"Zimmer, Mike",MIN,@NEP,HC,0.,1.,23.,-10.,8.5
28,"Garrett, Jason",DAL,NOR,HC,0.,1.,21.,-8.,8.1
29,"Tomlin, Mike",PIT,LAC,HC,0.,1.,21.,-11.,7.2
30,"Reich, Frank",IND,@JAC,HC,0.,1.,17.,-10.,5.5
31,"Harbaugh, John",BAL,@ATL,HC,0.,1.,19.,-15.,5.
32,"Gruden, Jay",WAS,@PHI,HC,0.,1.,15.,-14.,3.3
