Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Punt Ret Yds,Kick Ret Yds,Pts
1,"Baker, Budda",ARZ,@GBP,DB,5.8,1.6,0.1,0.8,0.1,0.1,0.1,0.,0.2,0.,7.9
2,"Jones, Reshad",MIA,BUF,DB,5.7,1.9,0.1,0.5,0.2,0.,0.,0.,0.,0.,7.7
3,"Coleman, Kurt",NOR,@DAL,DB,4.7,1.9,0.1,0.9,0.2,0.,0.,0.,0.,0.,7.2
4,"Collins, Landon",NYG,CHI,DB,5.,1.5,0.1,0.7,0.2,0.,0.,0.,0.,0.,7.
5,"James, Derwin",LAC,@PIT,DB,4.5,1.1,0.1,1.,0.4,0.,0.,0.,0.,0.9,6.9
6,"Hyde, Micah",BUF,@MIA,DB,4.8,1.3,0.,0.8,0.3,0.,0.,0.,2.5,0.,6.7
7,"Poyer, Jordan",BUF,@MIA,DB,4.1,2.1,0.1,0.8,0.4,0.,0.,0.,0.,0.,6.6
8,"Burnett, Morgan",PIT,LAC,DB,4.8,1.6,0.3,0.4,0.1,0.1,0.,0.,0.,0.,6.6
9,"Geathers, Clayton",IND,@JAC,DB,4.6,1.4,0.,0.8,0.2,0.1,0.,0.,0.,0.,6.6
10,"Smith, Harrison",MIN,@NEP,DB,4.9,1.3,0.2,0.5,0.2,0.,0.,0.,0.,0.,6.5
11,"Neal, Keanu",ATL,BAL,DB,4.7,1.8,0.,0.4,0.,0.2,0.1,0.,0.,0.,6.4
12,"Berry, Eric",KCC,@OAK,DB,4.2,1.,0.1,0.9,0.4,0.1,0.,0.,0.,0.,6.4
13,"Amos, Adrian",CHI,@NYG,DB,5.2,0.8,0.,0.4,0.1,0.1,0.1,0.,0.,0.,6.4
14,"Bethea, Antoine",ARZ,@GBP,DB,4.3,0.8,0.1,0.6,0.3,0.1,0.,0.,1.,0.,6.2
15,"Davis, Sean",PIT,LAC,DB,4.5,1.5,0.,0.5,0.2,0.,0.,0.,0.,0.,6.2
