Player,Team,Rec,Rec Yds,Rec Tds,Rush Att,Rush Yds,Rush Tds,FL,FPts
Adam Humphries,TB,26,268,1,,5,,,33.3
Adam Thielen,MIN,77,1056,5.2,,5,,,137.3
A.J. Green,CIN,84,1176,7.4,,0,,,162
Albert Wilson,MIA,42,512,2.9,,6,,,69.2
Alex Erickson,CIN,5,59,0.2,,7,,,7.8
Allen Hurns,DAL,53,693,4.05,,0,,,96.3
Allen Robinson,CHI,68,945,5.7,,1,,,128.8
Alshon Jeffery,PHI,50,685,5.6,,0,,,102.1
Amara Darboh,NE,8,97,0.6,,0,,,13.3
Amari Cooper,OAK,75,1005,6.2,,10,,,138.7
Andre Holmes,BUF,11,118,0.9,,0,,,17.2
Andre Roberts,NYJ,3,37,0.2,,0,,,4.9
Andy Jones,DET,2,19,0.1,,0,,,2.5
Anthony Miller,CHI,48,619,3.5,,2,,,83.1
Antonio Brown,PIT,107,1448,9.6,,5,,,202.9
Antonio Callaway,CLE,24,319,1.6,,1,,,41.6
ArDarius Stewart,NYJ,6,81,0.4,,11,,,11.6
Auden Tate,CIN,3,35,0.1,,0,,,4.1
Austin Carr,NO,,,,,,,,
Bradley Marquez,DET,5,56,0.2,,0,,,6.8
Brandin Cooks,LAR,62,879,6,,32,,,127.7
Brandon LaFell,OAK,,,,,0,,,
Brandon Marshall,SEA,30,372,2.6,,0,,,52.8
Bruce Ellington,HOU,18,238,1.2,,7,,,31.7
Calvin Ridley,ATL,48,624,3.9,,11,,,86.9
Cameron Meredith,NO,48,610,3.6,,0,,,82.6
Chad Hansen,NE,6,76,0.3,,0,,,9.4
Chad Williams,ARI,27,331,1.6,,5,,,43.2
Charone Peake,NYJ,3,36,0.2,,0,,,4.8
Chester Rogers,IND,32,422,2.3,,5,,,56.5
Chris Conley,KC,20,234,1.1,,0,,,30
Chris Godwin,TB,44,618,2.8,,1,,,78.7
Chris Hogan,NE,60,834,6.2,,9,,,121.5
Chris Moore,BAL,16,200,0.8,,5,,,25.3
Christian Kirk,ARI,47,572,3.3,,5,,,77.5
Cody Core,CIN,3,35,0.1,,0,,,4.1
Cody Latimer,NYG,23,266,1.1,,0,,,33.2
Cole Beasley,DAL,44,435,2.8,,1,,,60.4
Cooper Kupp,LAR,62,821,5,,1,,,112.2
Cordarrelle Patterson,NE,30,375,2,,54,,,56.1
Corey Davis,TEN,63,803,5,,0,,,110.3
Courtland Sutton,DEN,47,586,3.2,,0,,,77.8
Curtis Samuel,CAR,18,230,1.2,,45,,,35.3
DaeSean Hamilton,DEN,15,185,1,,1,,,24.6
Damiere Byrd,CAR,2,20,0.6,,2,,,2.8
Damion Ratley,CLE,6,72,0.3,,0,,,9
Danny Amendola,MIA,54,551,3.2,,1,,,74.4
Dante Pettis,SF,42,554,3.7,,3,,,77.9
Darrius Heyward-Bey,PIT,5,66,0.3,,7,,,9.7
Davante Adams,GB,83,1073,9.6,,0,,,164.9
David Moore,SEA,11,131,0.5,,0,,,16.1
DeAndre Hopkins,HOU,93,1295,9.6,,0,,,187.1
De'Anthony Thomas,KC,1,10,0,,1,,,1.1
Dede Westbrook,JAC,47,605,3.7,,4,,,83.1
Demarcus Robinson,KC,14,155,0.7,,0,,,19.7
Demaryius Thomas,DEN,72,860,5.1,,0,,,116.6
Deonte Thompson,DAL,8,98,0.4,,2,,,12.4
DeSean Jackson,TB,48,706,3.6,,24,,,95.2
Devante Parker,MIA,56,711,4,,0,,,95.1
Devin Funchess,CAR,55,777,5.7,,0,,,111.9
D.J. Chark,JAC,18,239,1.5,,0,,,32.9
D.J. Moore,CAR,48,653,4,,10,,,90.3
Donte Moncrief,JAC,41,535,3.8,,1,,,76.4
Doug Baldwin,SEA,73,944,6.6,,5,,,134.5
Dwayne Harris,OAK,2,17,0.1,,0,,,2.3
Emmanuel Sanders,DEN,68,844,4.3,,4,,,110.6
Equanimeous St. Brown,GB,8,96,0.7,,0,,,13.8
Freddie Martino,TB,3,43,0.2,,0,,,5.5
Geremy Davis,LAC,3,38,0.3,,0,,,5.6
Geronimo Allison,GB,35,459,3.1,,0,,,64.5
Golden Tate,DET,84,941,5,,15,,,125.6
Isaiah McKenzie,DEN,,,,,,,,
Jakeem Grant,MIA,11,130,0.7,,9,,,18.1
Jaleel Scott,BAL,3,37,0.2,,1,,,5
James Washington,PIT,38,510,3.4,,3,,,71.7
Jamison Crowder,WAS,69,807,4.3,,19,,,108.4
Jarius Wright,CAR,5,56,0.3,,0,,,7.4
Jaron Brown,SEA,23,304,2,,0,,,42.4
Jarvis Landry,CLE,81,891,4.6,,9,,,117.6
Jaydon Mickens,JAC,3,39,0.2,,0,,,5.1
J.D. McKissic,SEA,,,,,,,,
Jeremy Kerley,BUF,23,250,1.3,,0,,,32.8
Jermaine Kearse,NYJ,45,563,3.4,,0,,,76.7
J.J. Nelson,ARI,26,403,2,,24,,,54.7
J'Mon Moore,GB,20,259,1.7,,1,,,36.2
John Brown,BAL,45,603,3.4,,17,,,83
John Ross,CIN,48,620,3.8,,14,,,86.2
Jordan Lasley,BAL,14,165,0.9,,0,,,21.9
Jordy Nelson,OAK,62,707,5.4,,0,,,103.1
Josh Bellamy,CHI,,,,,,,,
Josh Doctson,WAS,44,587,4.3,,2,,,84.7
Josh Gordon,CLE,57,879,4.6,,1,,,115.6
Josh Malone,CIN,12,140,0.5,,3,,,17.3
Josh Reynolds,LAR,14,159,0.9,,0,,,21.3
JuJu Smith-Schuster,PIT,63,920,6.5,,7,,,131.7
Julian Edelman,NE,57,653,4.4,,6,,,92.3
