Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Punt Ret Yds,Kick Ret Yds,Pts
1,"Collins, Landon",NYG,WAS,DB,5.4,1.6,0.1,0.7,0.2,0.,0.,0.,0.,0.,7.6
2,"Jones, Reshad",MIA,@HOU,DB,5.5,1.9,0.1,0.5,0.2,0.,0.,0.,0.,0.,7.4
3,"Baker, Budda",ARZ,SFO,DB,5.3,1.3,0.1,0.7,0.1,0.1,0.1,0.,0.2,0.,7.2
4,"Coleman, Kurt",NOR,@MIN,DB,4.6,1.9,0.1,0.8,0.2,0.,0.,0.,0.,0.,7.
5,"Geathers, Clayton",IND,@OAK,DB,4.6,1.3,0.,0.8,0.2,0.1,0.,0.,0.,0.,6.6
6,"Hyde, Micah",BUF,NEP,DB,4.7,1.3,0.,0.8,0.2,0.,0.,0.,2.5,0.,6.6
7,"Poyer, Jordan",BUF,NEP,DB,4.,2.1,0.1,0.7,0.3,0.,0.,0.,0.,0.,6.4
8,"Burnett, Morgan",PIT,CLE,DB,4.7,1.5,0.3,0.4,0.1,0.1,0.,0.,0.,0.,6.4
9,"Johnson, John",LAR,GBP,DB,4.5,1.6,0.,0.8,0.1,0.,0.,0.,0.,0.,6.3
10,"Tartt, Jaquiski",SFO,@ARZ,DB,4.8,1.3,0.,0.5,0.2,0.,0.,0.,0.,0.,6.3
11,"Ramsey, Jalen",JAC,PHI,DB,3.9,0.8,0.,1.2,0.3,0.,0.,0.,0.,0.,6.2
12,"Church, Barry",JAC,PHI,DB,4.4,1.4,0.1,0.5,0.2,0.,0.,0.,0.,0.,6.2
13,"Ward, Denzel",CLE,@PIT,DB,4.1,1.1,0.,0.9,0.2,0.1,0.,0.,1.6,5.9,6.2
14,"Jenkins, Malcolm",PHI,@JAC,DB,4.4,1.5,0.,0.5,0.2,0.1,0.1,0.,0.,0.,6.1
15,"Berry, Eric",KCC,DEN,DB,4.,0.9,0.1,0.8,0.4,0.1,0.,0.,0.,0.,6.1
16,"Mathieu, Tyrann",HOU,MIA,DB,4.4,0.9,0.1,0.5,0.2,0.1,0.,0.,0.,0.,6.
17,"Peters, Marcus",LAR,GBP,DB,4.1,0.6,0.,0.8,0.2,0.2,0.1,0.,0.,0.,5.9
18,"Smith, Harrison",MIN,NOR,DB,4.4,1.2,0.2,0.5,0.1,0.,0.,0.,0.,0.,5.9
19,"Davis, Sean",PIT,CLE,DB,4.3,1.5,0.1,0.5,0.2,0.,0.,0.,0.,0.,5.9
20,"Jackson, Kareem",HOU,MIA,DB,4.,1.3,0.,0.8,0.2,0.,0.,0.,0.,0.,5.9
21,"McDougald, Bradley",SEA,@DET,DB,4.2,1.4,0.,0.5,0.1,0.1,0.,0.,0.,0.,5.8
22,"Bethea, Antoine",ARZ,SFO,DB,4.,0.7,0.1,0.6,0.3,0.1,0.,0.,0.9,0.,5.7
23,"McCourty, Devin",NEP,@BUF,DB,4.6,1.,0.1,0.4,0.1,0.,0.,0.,0.,0.7,5.7
24,"Darby, Ronald",PHI,@JAC,DB,3.8,0.7,0.,1.2,0.1,0.,0.,0.,0.,0.,5.6
25,"Lattimore, Marshon",NOR,@MIN,DB,3.3,0.8,0.,1.2,0.3,0.,0.,0.,0.,0.,5.6
26,"Bouye, A.J.",JAC,PHI,DB,3.8,0.5,0.,0.9,0.3,0.,0.,0.,0.,0.,5.5
27,"Brice, Kentrell",GBP,@LAR,DB,3.8,1.,0.,0.7,0.2,0.,0.,0.,1.1,0.,5.5
28,"Mills, Jalen",PHI,@JAC,DB,3.6,0.9,0.,1.,0.2,0.,0.,0.,0.,0.,5.5
29,"Thomas, Earl",SEA,@DET,DB,3.7,2.2,0.,0.5,0.1,0.,0.,0.,0.,0.,5.5
30,"Farley, Matthias",IND,@OAK,DB,3.5,1.9,0.,0.6,0.1,0.,0.,0.,0.,0.,5.4
31,"Amos, Adrian",CHI,NYJ,DB,4.4,0.7,0.,0.3,0.1,0.1,0.1,0.,0.,0.,5.4
32,"Colbert, Adrian",SFO,@ARZ,DB,4.1,0.5,0.,0.7,0.,0.2,0.1,0.,0.,0.,5.4
33,"Carrie, Travis",CLE,@PIT,DB,4.4,0.9,0.,0.5,0.,0.,0.,0.,2.6,0.5,5.4
34,"Nicholson, Montae",WAS,@NYG,DB,3.7,1.1,0.,0.8,0.2,0.,0.,0.,0.3,4.,5.4
35,"Chung, Patrick",NEP,@BUF,DB,3.9,1.1,0.,0.6,0.1,0.,0.,0.,0.2,0.1,5.3
36,"Quin, Glover",DET,SEA,DB,3.9,1.5,0.,0.3,0.1,0.2,0.,0.,0.,0.,5.3
37,"Adams, Jamal",NYJ,@CHI,DB,3.9,1.3,0.1,0.4,0.,0.1,0.1,0.,0.,0.,5.3
38,"Parker, Ron",KCC,DEN,DB,4.3,0.7,0.,0.3,0.1,0.,0.,0.,0.,0.,5.2
39,"Sendejo, Andrew",MIN,NOR,DB,3.4,1.6,0.,0.6,0.2,0.,0.,0.,0.,0.,5.2
40,"Williams, Shawn",CIN,TBB,DB,3.8,1.,0.,0.5,0.2,0.,0.,0.,0.2,0.,5.2
41,"Jefferson, Tony",BAL,@CAR,DB,3.9,1.5,0.1,0.3,0.1,0.,0.,0.,0.,0.,5.2
42,"Apple, Eli",NYG,WAS,DB,3.8,0.9,0.,0.7,0.1,0.,0.,0.,0.,0.,5.1
43,"Witherspoon, Ahkello",SFO,@ARZ,DB,3.6,0.6,0.,0.7,0.2,0.1,0.,0.,0.,0.,5.1
44,"Dennard, Darqueze",CIN,TBB,DB,3.6,1.6,0.1,0.3,0.1,0.,0.,0.,0.,0.,5.1
45,"White, Tre'Davious",BUF,NEP,DB,3.2,1.,0.,0.9,0.2,0.,0.,0.,0.,0.,5.1
46,"Stewart, Darian",DEN,@KCC,DB,3.5,0.8,0.,0.5,0.3,0.1,0.,0.,0.,0.,5.1
47,"Mitchell, Terrance",CLE,@PIT,DB,3.3,0.9,0.,1.,0.1,0.,0.,0.,0.4,3.,5.
48,"Fitzpatrick, Minkah",MIA,@HOU,DB,3.5,1.1,0.,0.6,0.1,0.1,0.,0.,0.,0.,5.
49,"Griffin, Shaq",SEA,@DET,DB,3.4,0.7,0.1,1.,0.1,0.,0.,0.,0.,0.,5.
50,"McLeod, Rodney",PHI,@JAC,DB,3.7,1.1,0.1,0.4,0.1,0.,0.,0.,0.,0.,5.
51,"Nelson, Steven",KCC,DEN,DB,3.6,0.8,0.,0.6,0.1,0.1,0.1,0.,0.,0.,4.9
52,"Wilson, Tavon",DET,SEA,DB,3.5,0.9,0.1,0.5,0.2,0.,0.,0.,0.,0.,4.9
53,"Evans, Justin",TBB,@CIN,DB,3.5,0.8,0.,0.5,0.2,0.,0.,0.,0.,0.,4.8
54,"Williams, Marcus",NOR,@MIN,DB,3.4,0.9,0.1,0.5,0.2,0.,0.,0.,0.,0.,4.8
55,"Joyner, Lamarcus",LAR,GBP,DB,3.3,1.,0.,0.6,0.2,0.1,0.,0.,0.,0.,4.8
56,"Burns, Artie",PIT,CLE,DB,3.3,0.7,0.,0.9,0.1,0.,0.,0.,0.,0.,4.8
57,"Bates, Jessie",CIN,TBB,DB,3.6,1.1,0.,0.5,0.,0.,0.,0.,0.2,1.,4.8
58,"Jenkins, Janoris",NYG,WAS,DB,3.,0.5,0.,1.,0.2,0.1,0.,0.,0.,0.,4.8
59,"Grimes, Brent",TBB,@CIN,DB,3.,0.5,0.,1.,0.2,0.,0.,0.,0.,0.,4.7
60,"Peppers, Jabrill",CLE,@PIT,DB,3.7,1.2,0.,0.4,0.,0.,0.,0.,12.1,18.,4.7
61,"Weddle, Eric",BAL,@CAR,DB,2.8,1.,0.1,0.5,0.3,0.1,0.,0.,0.,0.1,4.6
62,"Norman, Josh",WAS,@NYG,DB,3.2,1.1,0.,0.7,0.,0.1,0.,0.,0.,0.,4.6
63,"Crawley, Ken",NOR,@MIN,DB,3.2,0.7,0.,0.9,0.1,0.,0.,0.,0.,0.,4.6
64,"Gilmore, Stephon",NEP,@BUF,DB,3.1,0.4,0.1,1.,0.1,0.1,0.,0.,0.,0.,4.6
65,"Jackson, Eddie",CHI,NYJ,DB,3.4,1.,0.,0.3,0.1,0.1,0.1,0.,0.3,0.,4.6
66,"Clinton-Dix, Hasean",GBP,@LAR,DB,3.5,0.8,0.,0.4,0.1,0.,0.,0.,0.,0.,4.6
67,"Edmunds, Terrell",PIT,CLE,DB,3.3,1.,0.,0.6,0.,0.1,0.,0.,0.,0.,4.6
68,"Moore, Kenny",IND,@OAK,DB,3.2,0.8,0.,0.6,0.2,0.1,0.,0.,0.,0.,4.6
69,"Waynes, Trae",MIN,NOR,DB,3.,0.5,0.1,0.9,0.1,0.,0.,0.,0.,0.,4.5
70,"Randall, Damarious",CLE,@PIT,DB,3.3,0.7,0.,0.5,0.2,0.,0.,0.,2.,4.5,4.5
71,"Slay, Darius",DET,SEA,DB,2.5,0.3,0.,1.2,0.3,0.,0.,0.,0.,0.,4.5
72,"Rowe, Eric",NEP,@BUF,DB,3.3,0.5,0.,0.7,0.1,0.,0.,0.,0.,0.,4.5
73,"Conte, Chris",TBB,@CIN,DB,3.4,0.7,0.,0.4,0.1,0.1,0.,0.,0.3,0.,4.5
74,"Kirkpatrick, Dre",CIN,TBB,DB,3.,1.,0.,0.7,0.1,0.1,0.,0.,0.,0.,4.5
75,"Hooker, Malik",IND,@OAK,DB,3.1,0.7,0.,0.6,0.2,0.,0.,0.,0.,0.,4.4
76,"Carr, Brandon",BAL,@CAR,DB,3.2,0.4,0.,0.7,0.2,0.,0.,0.,0.,0.,4.4
77,"Bradberry, James",CAR,BAL,DB,3.2,0.9,0.,0.4,0.1,0.1,0.,0.,0.,0.,4.4
78,"Swearinger, D.J.",WAS,@NYG,DB,3.1,0.8,0.,0.4,0.2,0.1,0.,0.,0.,0.,4.3
79,"Dunbar, Quinton",WAS,@NYG,DB,2.6,0.9,0.1,0.9,0.1,0.,0.,0.,0.,3.5,4.3
80,"Adams, Mike",CAR,BAL,DB,2.9,0.6,0.,0.5,0.2,0.1,0.1,0.,0.,0.,4.2
