Player,Team,Rec,Rec Yds,Rec TDs,Fum Lost,FPoints
Ricky Seals-Jones,KC,6.0,79.1,0.8,0.0,12.4
Jaeden Graham,ATL,8.4,94.9,0.7,0.1,13.5
Brycen Hopkins,LAR,3.7,40.8,0.2,0.0,5.4
Hale Hentges,IND,,,0.0,0.0,0.0
Jordan Leggett,DEN,,,,0.0,0.0
Albert Okwuegbunam,DEN,1.6,16.6,0.1,0.0,2.3
Jonnu Smith,TEN,41.6,441.1,3.9,0.3,71.6
Matt Flanagan,JAC,0.0,0.0,0.0,0.0,0.0
Mark Andrews,BAL,65.9,882.7,7.7,0.6,133.5
Trevon Wesco,NYJ,3.6,39.4,0.3,0.0,5.4
Charles Jones,PIT,0.0,0.0,0.0,0.0,0.0
Khari Lee,DET,,,,0.0,0.0
Charlie Woerner,SF,,,,0.0,0.0
Noah Togiai,IND,2.0,22.8,0.2,0.0,3.2
Luke Stocker,ATL,12.5,122.3,1.0,0.1,18.2
Tyler Conklin,MIN,6.8,78.4,0.5,0.0,10.5
Cole Hikutini,DAL,,,,0.0,0.0
Luke Willson,BAL,1.6,15.2,0.2,0.0,2.4
Richard Rodgers,PHI,3.7,40.0,0.3,0.0,5.7
Robert Tonyan,GB,15.1,176.8,1.3,0.1,25.4
Johnny Mundt,LAR,3.9,43.1,0.2,0.0,5.7
Harrison Bryant,CLE,11.3,123.4,1.0,0.1,18.0
Hunter Henry,LAC,54.2,656.7,4.7,0.4,92.9
Devin Asiasi,NE,23.7,288.0,1.8,0.2,39.5
Cole Kmet,CHI,19.4,219.9,1.1,0.1,28.5
Tyler Higbee,LAR,64.4,704.9,4.7,0.3,97.9
Darren Fells,HOU,30.2,294.0,3.6,0.1,50.8
Jordan Franks,CLE,,,,0.0,0.0
Gerald Everett,LAR,29.3,337.1,2.0,0.2,45.4
Demetrius Harris,CHI,10.4,109.8,1.0,0.1,16.7
Seth DeValve,CAR,0.0,0.0,0.0,0.0,0.0
Virgil Green,LAC,13.1,133.8,0.9,0.1,18.6
Eric Tomlinson,BAL,,,,0.0,0.0
Jesse James,DET,19.0,191.4,1.4,0.1,27.4
Zach Ertz,PHI,74.6,788.4,6.4,0.4,116.3
Maxx Williams,ARI,12.1,116.6,1.0,0.1,17.5
Kaden Smith,NYG,14.4,142.8,1.1,0.1,21.0
Durham Smythe,MIA,5.7,59.6,0.4,0.0,8.1
Levine Toilolo,NYG,3.8,44.3,0.3,0.0,6.4
