Rank,Player,Team,Opp,Position,GAMES_WON,GAMES_LOST,POINTS_SCORED,POINTS_DIFF,Pts
1,"Quinn, Dan",ATL,CIN,HC,1.,0.,35.,20.,27.5
2,"Gruden, Jon",OAK,CLE,HC,1.,0.,33.,23.,27.4
3,"Belichick, Bill",NEP,MIA,HC,1.,0.,35.,18.,26.9
4,"Payton, Sean",NOR,@NYG,HC,1.,0.,31.,16.,24.3
5,"Marrone, Doug",JAC,NYJ,HC,1.,0.,31.,15.,24.
6,"Reich, Frank",IND,HOU,HC,1.,0.,30.,16.,23.8
7,"Lynn, Anthony",LAC,SFO,HC,1.,0.,30.,11.,22.3
8,"Pederson, Doug",PHI,@TEN,HC,1.,0.,27.,9.,20.2
9,"Garrett, Jason",DAL,DET,HC,1.,0.,27.,5.,19.
10,"Reid, Andy",KCC,@DEN,HC,1.,0.,25.,8.,18.9
11,"Zimmer, Mike",MIN,@LAR,HC,1.,0.,27.,3.,18.4
12,"Koetter, Dirk",TBB,@CHI,HC,1.,0.,23.,5.,17.
13,"McCarthy, Mike",GBP,BUF,HC,1.,0.,24.,3.,16.9
14,"McDermott, Sean",BUF,@GBP,HC,1.,0.,25.,1.,16.8
15,"Wilks, Steve",ARZ,SEA,HC,1.,0.,21.,2.,15.1
16,"Harbaugh, John",BAL,@PIT,HC,0.,1.,27.,-1.,13.2
17,"Tomlin, Mike",PIT,BAL,HC,0.,1.,24.,-7.,9.9
18,"McVay, Sean",LAR,MIN,HC,0.,1.,22.,-5.,9.5
19,"Joseph, Vance",DEN,KCC,HC,0.,1.,21.,-4.,9.3
20,"Carroll, Pete",SEA,@ARZ,HC,0.,1.,19.,-2.,8.9
21,"Nagy, Matt",CHI,TBB,HC,0.,1.,18.,-2.,8.4
22,"Patricia, Matt",DET,@DAL,HC,0.,1.,19.,-8.,7.1
23,"Vrabel, Mike",TEN,PHI,HC,0.,1.,17.,-10.,5.5
24,"Shurmer, Pat",NYG,NOR,HC,0.,1.,18.,-13.,5.1
25,"Bowles, Todd",NYJ,@JAC,HC,0.,1.,16.,-15.,3.5
26,"Campbell, Dan",MIA,@NEP,HC,0.,1.,17.,-18.,3.1
27,"Shanahan, Kyle",SFO,@LAC,HC,0.,1.,15.,-15.,3.
28,"O'Brien, Bill",HOU,@IND,HC,0.,1.,14.,-16.,2.2
29,"Lewis, Marvin",CIN,@ATL,HC,0.,1.,15.,-20.,1.5
30,"Jackson, Hue",CLE,@OAK,HC,0.,1.,14.,-19.,1.3
