Rank,Player,Team,Opp,Position,PUNTS,PUNT_YDS,PUNT_RETURN_YD,PUNT_INSIDE20,Pts
1,"Lee, Andy",ARZ,SEA,P,5.8,273.7,31.2,1.8,18.4
2,"Hekker, Johnny",LAR,MIN,P,4.9,235.6,10.,2.6,17.9
3,"Koch, Sam",BAL,@PIT,P,5.1,231.2,19.8,2.5,17.4
4,"Edwards, Lachlan",NYJ,@JAC,P,5.6,252.1,27.7,1.8,17.4
5,"Daniel, Trevor",HOU,@IND,P,4.9,236.3,31.3,1.9,16.7
6,"Huber, Kevin",CIN,@ATL,P,5.4,248.2,24.6,1.7,16.6
7,"Pinion, Bradley",SFO,@LAC,P,5.2,228.9,14.9,1.8,16.1
8,"Kern, Brett",TEN,PHI,P,4.8,224.4,19.2,1.9,16.1
9,"Haack, Matt",MIA,@NEP,P,5.1,227.9,14.8,1.8,16.
10,"Dickson, Michael",SEA,@ARZ,P,5.3,235.3,23.8,1.6,16.
11,"O'Donnell, Pat",CHI,TBB,P,5.,229.5,24.8,1.6,15.6
12,"Cooke, Logan",JAC,NYJ,P,5.,224.6,16.1,1.7,15.4
13,"Townsend, Johnny",OAK,CLE,P,4.5,209.6,16.2,1.8,14.9
14,"Dixon, Riley",NYG,NOR,P,5.2,231.1,19.7,1.4,14.9
15,"Colquitt, Dustin",KCC,@DEN,P,4.3,196.7,10.2,1.9,14.5
16,"Sanchez, Rigoberto",IND,HOU,P,4.7,213.7,5.5,1.5,14.4
17,"Wile, Matt",MIN,@LAR,P,4.5,189.9,13.1,1.8,13.9
18,"Kaser, Drew",LAC,SFO,P,4.1,197.4,17.8,1.5,13.7
19,"Bojorquez, Corey",BUF,@GBP,P,4.5,196.7,13.9,1.4,13.5
20,"Anger, Bryan",TBB,@CHI,P,4.1,182.8,7.9,1.8,13.4
21,"King, Marquette",DEN,KCC,P,4.2,193.,12.3,1.5,13.3
22,"Jones, Chris",DAL,DET,P,3.9,176.,7.3,1.8,13.1
23,"Martin, Sam",DET,@DAL,P,4.2,188.1,13.1,1.4,13.1
24,"Colquitt, Britton",CLE,@OAK,P,4.1,189.8,20.8,1.2,12.6
25,"Allen, Ryan",NEP,MIA,P,3.9,168.6,6.1,1.5,12.2
26,"Johnston, Cam",PHI,@TEN,P,3.9,177.,11.,1.3,11.9
27,"Berry, Jordan",PIT,BAL,P,3.8,164.7,11.,1.4,11.7
28,"Scott, J.K.",GBP,BUF,P,3.9,170.,10.7,1.1,11.4
29,"Bosher, Matt",ATL,CIN,P,3.4,152.9,12.,1.4,11.1
30,"Morstead, Thomas",NOR,@NYG,P,3.,141.,11.,1.2,10.
