Rank,Player,Team,Opp,Position,XP,XPA,FG,Att,10-19,20-29,30-39,40-49,50+,Miss,Pts
1,"Tucker, Justin",BAL,@PIT,K,2.1,2.1,2.1,2.2,0.,0.3,0.7,0.8,0.4,0.1,9.6
2,"Elliott, Jake",PHI,@TEN,K,2.6,2.9,2.1,2.3,0.,0.6,0.5,0.7,0.3,0.2,9.5
3,"Vinatieri, Adam",IND,HOU,K,2.3,2.3,2.1,2.3,0.,0.6,0.6,0.5,0.4,0.2,9.
4,"Lutz, Wil",NOR,@NYG,K,3.2,3.3,1.8,2.1,0.,0.5,0.4,0.6,0.3,0.3,8.8
5,"Boswell, Chris",PIT,BAL,K,2.5,2.6,1.9,2.1,0.,0.4,0.7,0.5,0.2,0.2,8.5
6,"Butker, Harrison",KCC,@DEN,K,2.1,2.2,2.1,2.5,0.,0.5,1.,0.4,0.2,0.4,8.2
7,"Dawson, Phil",ARZ,SEA,K,1.8,2.1,2.1,2.4,0.1,0.4,0.7,0.7,0.3,0.4,8.1
8,"Gould, Robbie",SFO,@LAC,K,1.7,1.9,1.9,2.,0.,0.4,0.6,0.7,0.2,0.1,8.
9,"Hauschka, Steven",BUF,@GBP,K,1.8,2.,1.9,2.2,0.,0.5,0.7,0.4,0.3,0.2,7.9
10,"Bryant, Matt",ATL,CIN,K,2.2,2.2,1.7,1.9,0.,0.4,0.5,0.4,0.4,0.2,7.9
11,"Zuerlein, Greg",LAR,MIN,K,2.1,2.2,1.6,1.8,0.,0.4,0.6,0.4,0.2,0.1,7.5
12,"Gostkowski, Stephen",NEP,MIA,K,2.5,2.7,1.7,1.9,0.,0.6,0.4,0.5,0.1,0.2,7.5
13,"Lambo, Josh",JAC,NYJ,K,2.3,2.5,1.6,1.8,0.,0.2,0.6,0.5,0.2,0.3,7.1
14,"Catanzaro, Chandler",TBB,@CHI,K,1.9,1.9,1.7,2.,0.,0.4,0.4,0.7,0.1,0.3,6.8
15,"Prater, Matt",DET,@DAL,K,1.8,1.8,1.6,1.9,0.1,0.4,0.4,0.4,0.4,0.4,6.5
16,"Succop, Ryan",TEN,PHI,K,1.9,2.,1.5,1.8,0.,0.4,0.4,0.6,0.1,0.3,6.5
17,"Myers, Jason",NYJ,@JAC,K,1.8,1.8,1.8,2.3,0.,0.5,0.4,0.7,0.1,0.5,6.5
18,"Maher, Brett",DAL,DET,K,2.5,2.5,1.4,1.8,0.1,0.4,0.4,0.4,0.2,0.4,6.3
19,"Crosby, Mason",GBP,BUF,K,2.5,2.7,1.3,1.5,0.,0.4,0.5,0.3,0.1,0.2,6.2
20,"McManus, Brandon",DEN,KCC,K,1.7,1.7,1.5,1.9,0.,0.4,0.7,0.3,0.2,0.4,5.8
21,"Carlson, Daniel",MIN,@LAR,K,1.8,2.1,1.5,1.9,0.,0.4,0.6,0.3,0.2,0.4,5.7
22,"Nugent, Mike",OAK,CLE,K,1.9,2.2,1.3,1.5,0.,0.3,0.4,0.4,0.1,0.2,5.6
23,"Sanders, Jason",MIA,@NEP,K,2.1,2.2,1.1,1.3,0.,0.4,0.4,0.3,0.,0.2,5.3
24,"Parkey, Cody",CHI,TBB,K,1.7,1.9,1.2,1.3,0.,0.4,0.3,0.4,0.1,0.2,5.3
25,"Gonzalez, Zane",CLE,@OAK,K,1.7,1.8,1.1,1.3,0.,0.4,0.3,0.3,0.1,0.2,5.1
26,"Bullock, Randy",CIN,@ATL,K,1.8,2.,1.1,1.3,0.,0.4,0.4,0.2,0.,0.2,4.9
27,"Rosas, Aldrick",NYG,NOR,K,1.4,1.7,1.2,1.5,0.,0.5,0.2,0.3,0.2,0.3,4.6
28,"Fairbairn, Ka'imi",HOU,@IND,K,1.3,1.5,1.1,1.5,0.,0.2,0.4,0.3,0.2,0.4,4.
29,"Janikowski, Sebastian",SEA,@ARZ,K,1.9,1.9,0.9,1.2,0.,0.2,0.3,0.3,0.,0.3,3.9
30,"Sturgis, Caleb",LAC,SFO,K,1.3,1.6,0.9,1.4,0.,0.5,0.2,0.1,0.1,0.4,3.2
