"Rank","Player","Team","Opp","Position","Tgt","RZTgt","Rec","Rec Yds","Rec TDs","0-9 RecTDs","10-19 RecTDs","20-29 RecTDs","30-39 RecTDs","40-49 RecTDs","50+ RecTDs","Rush Yds","Rush TDs","Punt Ret Yds","Kick Ret Yds","Fum Lost","Scoring Opps","Pts"
115,"Patrick, Tim","DEN","@HOU","WR",2.3,0.,1.1,16.,0.,0.,0.,0.,0.,0.,0.,1.,0.,1.,0.,0.,0.1,1.8
116,"Davis, Robert","WAS","@GBP","WR",3.1,0.4,1.6,17.,0.,0.,0.,0.,0.,0.,0.,1.,0.,1.,0.,0.1,0.1,1.8
117,"Inman, Dontrelle","LAC","@JAC","WR",2.,0.4,1.1,12.,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,1.,1.,0.,0.3,1.8
118,"Samuel, Deebo","SFO","@NOS","WR",2.8,0.4,1.6,17.,0.,0.,0.,0.,0.,0.,0.,0.,0.,4.,2.,0.,0.1,1.7
119,"Lee, Marqise","JAC","LAC","WR",2.4,0.2,1.2,15.,0.1,0.,0.,0.,0.,0.,0.,0.,0.,1.,4.,0.,0.1,1.7
120,"Sherfield, Trent","ARZ","PIT","WR",1.7,0.1,1.1,11.,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,1.6
121,"Carter, DeAndre","HOU","DEN","WR",2.2,0.3,1.6,18.,0.,0.,0.,0.,0.,0.,0.,1.,0.,14.,20.,0.1,0.2,1.6
122,"Fowler, Bennie","NYG","@PHI","WR",2.,0.4,1.,13.,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,1.,6.,0.,0.3,1.6
123,"Shepard, Russell","NYG","@PHI","WR",1.1,0.1,0.6,10.,0.1,0.,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.2,1.6
124,"Switzer, Ryan","PIT","@ARZ","WR",2.4,0.5,1.7,11.,0.1,0.1,0.,0.,0.,0.,0.,1.,0.,16.,36.,0.,0.4,1.5
125,"Austin, Tavon","DAL","@CHI","WR",1.5,0.1,0.8,8.,0.1,0.,0.,0.,0.,0.,0.,3.,0.,7.,1.,0.,0.1,1.5
126,"Grant, Ryan","OAK","TEN","WR",1.9,0.2,1.2,12.,0.,0.,0.,0.,0.,0.,0.,0.,0.,2.,18.,0.,0.1,1.4
127,"Bellamy, Josh","NYJ","MIA","WR",2.,0.2,0.8,10.,0.,0.,0.,0.,0.,0.,0.,1.,0.,5.,6.,0.,0.1,1.2
128,"Williams, Preston","MIA","@NYJ","WR",2.6,0.2,1.,11.,0.,0.,0.,0.,0.,0.,0.,1.,0.,9.,11.,0.,0.1,1.1
129,"Carr, Austin","NOS","SFO","WR",1.1,0.1,0.7,7.,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.1,1.
130,"Erickson, Alex","CIN","@CLE","WR",1.7,0.2,1.,10.,0.,0.,0.,0.,0.,0.,0.,1.,0.,12.,58.,0.,0.1,1.
