"Rank","Player","Team","Opp","Position","XP","XPA","FG","Att","10-19","20-29","30-39","40-49","50+","Miss","Pts"
1,"Zuerlein, Greg","LAR","SEA","K",3.1,3.2,2.5,2.9,0.,0.8,0.8,0.4,0.4,0.4,10.9
2,"Gould, Robbie","SFO","@NOS","K",1.8,1.9,2.2,2.3,0.,0.5,0.8,0.7,0.2,0.1,9.2
3,"Lutz, Wil","NOS","SFO","K",2.9,3.,1.7,1.9,0.,0.4,0.5,0.6,0.2,0.2,8.2
4,"Butker, Harrison","KCC","@NEP","K",3.,3.1,1.6,1.8,0.,0.4,0.6,0.4,0.2,0.2,7.9
5,"Bryant, Matt","ATL","CAR","K",2.2,2.2,1.6,1.8,0.,0.3,0.4,0.5,0.3,0.1,7.8
6,"Tucker, Justin","BAL","@BUF","K",2.,2.1,1.8,2.1,0.,0.5,0.6,0.5,0.3,0.3,7.6
7,"Fairbairn, Ka'imi","HOU","DEN","K",2.2,2.3,1.7,2.,0.,0.4,0.6,0.5,0.2,0.3,7.5
8,"Prater, Matt","DET","@MIN","K",2.,2.,1.7,2.,0.1,0.4,0.7,0.4,0.3,0.3,7.3
9,"Myers, Jason","SEA","@LAR","K",2.2,2.4,1.5,1.7,0.,0.2,0.6,0.5,0.3,0.2,7.1
10,"Vinatieri, Adam","IND","@TBB","K",2.4,2.6,1.5,1.7,0.,0.5,0.4,0.3,0.3,0.2,7.1
11,"Boswell, Chris","PIT","@ARZ","K",2.6,2.8,1.5,1.8,0.,0.4,0.5,0.5,0.1,0.3,6.8
12,"Gostkowski, Stephen","NEP","KCC","K",2.6,2.7,1.5,1.9,0.,0.6,0.5,0.4,0.1,0.3,6.8
13,"Sanders, Jason","MIA","@NYJ","K",2.4,2.5,1.3,1.4,0.,0.5,0.3,0.5,0.1,0.1,6.5
14,"Carlson, Daniel","OAK","TEN","K",1.8,1.8,1.4,1.6,0.,0.2,0.3,0.7,0.2,0.2,6.4
15,"Rosas, Aldrick","NYG","@PHI","K",1.6,1.8,1.5,1.7,0.,0.5,0.5,0.3,0.2,0.2,6.3
16,"Bullock, Randy","CIN","@CLE","K",2.3,2.4,1.3,1.4,0.,0.3,0.5,0.4,0.1,0.2,6.2
17,"Hauschka, Steven","BUF","BAL","K",1.7,1.7,1.5,1.9,0.,0.3,0.6,0.4,0.3,0.4,6.2
18,"Slye, Joey","CAR","@ATL","K",2.,2.1,1.2,1.3,0.,0.3,0.4,0.3,0.2,0.1,6.1
19,"Badgley, Mike","LAC","@JAC","K",2.,2.2,1.4,1.7,0.,0.4,0.4,0.4,0.1,0.3,6.1
20,"Hopkins, Dustin","WAS","@GBP","K",1.6,1.7,1.5,1.7,0.,0.4,0.3,0.5,0.1,0.2,6.1
21,"Succop, Ryan","TEN","@OAK","K",1.7,1.9,1.5,1.9,0.,0.3,0.6,0.5,0.1,0.3,6.1
22,"Crosby, Mason","GBP","WAS","K",2.,2.1,1.3,1.6,0.,0.3,0.4,0.5,0.2,0.2,6.1
23,"Lambo, Josh","JAC","LAC","K",1.6,1.7,1.4,1.6,0.,0.2,0.6,0.4,0.2,0.2,6.
24,"Maher, Brett","DAL","@CHI","K",2.1,2.2,1.4,1.9,0.,0.5,0.3,0.3,0.2,0.5,5.8
25,"Elliott, Jake","PHI","NYG","K",1.8,2.,1.3,1.5,0.,0.3,0.4,0.5,0.2,0.2,5.7
26,"Catanzaro, Chandler","Ret","Bye","K",1.6,1.9,1.3,1.5,0.,0.3,0.5,0.2,0.3,0.2,5.5
27,"Janikowski, Sebastian","Ret","Bye","K",2.1,2.2,1.,1.3,0.,0.1,0.3,0.4,0.2,0.3,4.8
28,"Seibert, Austin","CLE","CIN","K",1.9,2.1,1.,1.3,0.,0.3,0.5,0.3,0.1,0.3,4.6
29,"McManus, Brandon","DEN","@HOU","K",1.8,1.8,1.2,1.6,0.,0.3,0.4,0.3,0.1,0.4,4.5
30,"Pineiro, Eddy","CHI","DAL","K",1.6,1.7,1.,1.3,0.,0.3,0.3,0.4,0.,0.3,4.3
31,"Bailey, Dan","MIN","DET","K",1.9,2.,1.2,1.8,0.,0.3,0.6,0.2,0.1,0.6,4.2
32,"Gay, Matt","TBB","IND","K",1.8,1.9,1.1,1.6,0.,0.3,0.5,0.2,0.1,0.5,4.1
33,"Gonzalez, Zane","ARZ","PIT","K",1.2,1.3,1.1,1.5,0.,0.2,0.4,0.3,0.2,0.4,4.
"","","","","","","","","","","","","","","",""
