"Rank","Player","Team","Opp","Position","PUNTS","PUNT_YDS","PUNT_RETURN_YD","PUNT_INSIDE20","Pts"
1,"Lee, Andy","ARZ","PIT","P",5.8,280.,23.,2.2,19.7
2,"Cooke, Logan","JAC","LAC","P",5.5,251.,14.,2.2,17.9
3,"Way, Tress","WAS","@GBP","P",5.1,234.,24.,2.3,17.4
4,"Edwards, Lachlan","NYJ","MIA","P",5.5,252.,25.,1.7,17.1
5,"Haack, Matt","MIA","@NYJ","P",5.4,242.,21.,2.,17.
6,"Kern, Brett","TEN","@OAK","P",4.7,227.,18.,2.3,16.7
7,"Daniel, Trevor","HOU","DEN","P",4.9,221.,20.,2.3,16.5
8,"Dickson, Michael","SEA","@LAR","P",5.1,245.,26.,1.6,16.1
9,"Wadman, Colby","DEN","@HOU","P",5.1,231.,21.,1.7,15.9
10,"Martin, Sam","DET","@MIN","P",4.9,217.,18.,2.,15.8
11,"Huber, Kevin","CIN","@CLE","P",5.,225.,19.,1.8,15.7
12,"Bojorquez, Corey","BUF","BAL","P",5.,222.,17.,1.9,15.6
13,"Koch, Sam","BAL","@BUF","P",4.4,202.,21.,1.9,14.6
14,"Wile, Matt","MIN","DET","P",4.6,208.,13.,1.7,14.5
15,"Sanchez, Rigoberto","IND","@TBB","P",4.4,198.,5.,1.7,14.
16,"O'Donnell, Pat","CHI","DAL","P",4.2,184.,9.,2.1,14.
17,"Dixon, Riley","NYG","@PHI","P",4.6,206.,11.,1.3,13.6
18,"Scott, J.K.","GBP","WAS","P",4.6,203.,14.,1.1,13.3
19,"Cole, A.J.","OAK","TEN","P",4.3,190.,13.,1.3,13.1
20,"Johnston, Cam","PHI","NYG","P",3.9,187.,11.,1.5,13.1
21,"Palardy, Michael","CAR","@ATL","P",4.1,186.,11.,1.4,13.
22,"Wishnowsky, Mitch","SFO","@NOS","P",4.1,181.,10.,1.5,12.7
23,"Long, Ty","LAC","@JAC","P",4.,182.,16.,1.3,12.6
24,"Berry, Jordan","PIT","@ARZ","P",3.8,165.,16.,1.8,12.5
25,"Hekker, Johnny","LAR","SEA","P",3.5,166.,7.,1.7,12.3
26,"Bosher, Matt","ATL","CAR","P",4.,182.,11.,1.4,12.3
27,"Jones, Chris","DAL","@CHI","P",3.9,172.,12.,1.3,12.
28,"Bailey, Jake","NEP","KCC","P",3.6,160.,11.,1.3,11.4
29,"Pinion, Bradley","TBB","IND","P",3.9,174.,14.,1.1,11.3
30,"Morstead, Thomas","NOS","SFO","P",3.3,151.,7.,1.2,10.7
31,"Colquitt, Dustin","KCC","@NEP","P",3.3,146.,9.,1.4,10.5
"","","","","","","","","",""
