"Rank","Player","Team","Opp","Position","GAMES_WON","GAMES_LOST","POINTS_SCORED","POINTS_DIFF","Pts"
1,"Gase, Adam","NYJ","MIA","HC",1.,0.,34.,17.,26.1
2,"Belichick, Bill","NEP","KCC","HC",1.,0.,35.,15.,26.
3,"Patricia, Matt","DET","@MIN","HC",1.,0.,30.,16.,23.8
4,"Nagy, Matt","CHI","DAL","HC",1.,0.,29.,15.,23.
5,"Zimmer, Mike","MIN","DET","HC",1.,0.,30.,13.,22.9
6,"Tomlin, Mike","PIT","@ARZ","HC",1.,0.,35.,4.,22.7
7,"Reich, Frank","IND","@TBB","HC",1.,0.,31.,10.,22.5
8,"Marrone, Doug","JAC","LAC","HC",1.,0.,30.,10.,22.
9,"McVay, Sean","LAR","SEA","HC",1.,0.,31.,6.,21.3
10,"Shanahan, Kyle","SFO","@NOS","HC",1.,0.,30.,3.,19.9
11,"Reid, Andy","KCC","@NEP","HC",1.,0.,31.,1.,19.8
12,"McDermott, Sean","BUF","BAL","HC",1.,0.,26.,9.,19.7
13,"O'Brien, Bill","HOU","DEN","HC",1.,0.,27.,6.,19.3
14,"Harbaugh, John","BAL","@BUF","HC",1.,0.,30.,1.,19.3
15,"Carroll, Pete","SEA","@LAR","HC",1.,0.,27.,3.,18.4
16,"Rivera, Ron","CAR","@ATL","HC",1.,0.,27.,2.,18.1
17,"Vrabel, Mike","TEN","@OAK","HC",1.,0.,25.,4.,17.7
18,"Payton, Sean","NOS","SFO","HC",0.,1.,30.,-1.,14.7
19,"Koetter, Dirk","ATL","CAR","HC",0.,1.,25.,-2.,11.9
20,"Quinn, Dan","ATL","CAR","HC",0.,1.,24.,-3.,11.1
21,"Shurmur, Pat","NYG","@PHI","HC",0.,1.,23.,-4.,10.3
22,"Gruden, Jon","OAK","TEN","HC",0.,1.,23.,-4.,10.3
23,"Gruden, Jay","WAS","@GBP","HC",0.,1.,23.,-5.,10.
24,"Lynn, Anthony","LAC","@JAC","HC",0.,1.,20.,-4.,8.8
25,"Garrett, Jason","DAL","@CHI","HC",0.,1.,20.,-8.,7.6
26,"Pederson, Doug","PHI","NYG","HC",0.,1.,20.,-10.,7.
"","","","","","","","","",""
