Player,Team,Rec,Rec Yds,Rec Tds,FL,FPts
Adam Shaheen,CHI,9.4,105.6,1.1,,17.1
A.J. Derby,MIA,22,193.4,1.2,,26.6
Alan Cross,TB,5.7,62.6,0.7,,10
Antonio Gates,LAC,23.8,278.9,2.9,,45.4
Antony Auclair,TB,5.4,58.8,0.7,,10.2
Austin Hooper,ATL,42,464.2,3.6,,68.2
Austin Seferian-Jenkins,JAC,46.6,458.6,3.6,,67.7
Ben Braunecker,CHI,6.1,65.8,0.5,,9.5
Benjamin Watson,NO,49.2,463.7,3.6,,68.7
Blake Jarwin,DAL,,,,,
Cameron Brate,TB,44.9,577.6,4.5,,84.7
Charles Clay,BUF,53.1,601.5,3.3,,79.9
Chris Manhertz,CAR,4.7,41.5,0.4,,6.7
C.J. Uzomah,CIN,5.2,53.5,0.4,,7.4
Dallas Goedert,PHI,20.9,228.4,2.2,,35.4
Daniel Brown,CHI,5.1,60.2,0.6,,9.4
Darrell Daniels,SEA,3.3,28.8,0.3,,4.4
Darren Fells,CLE,14.2,162.2,1.2,,23.6
David Morgan,MIN,13.1,128,1.3,,20.5
David Njoku,CLE,54.2,597.4,3.1,,76.9
Delanie Walker,TEN,76.2,844.5,4.9,,112.5
Demetrius Harris,KC,14.6,166.9,1.9,,28.3
Derek Carrier,OAK,14.7,105.3,0.9,,15.5
Dion Sims,CHI,20.4,228.5,1.9,,33.7
Dwayne Allen,NE,16.2,188.2,1.9,,30
Ed Dickson,SEA,13.2,157.2,1.2,,22.7
Eric Ebron,IND,33.4,340.5,3.8,,56.2
Eric Saubert,ATL,10.2,108.8,1.1,,17.4
Eric Tomlinson,NYJ,5,49.2,0.6,,8.3
Erik Swoope,IND,5.4,63.2,0.5,,9.1
Evan Engram,NYG,73.3,807.4,4.8,,109.1
Gabe Holmes,ARI,4.5,46.6,0.3,,6.6
Garrett Celek,SF,16.9,192.3,2.2,,32.3
Geoff Swaim,DAL,9.2,119.4,2.3,,25.3
George Kittle,SF,53,541.6,4.8,,81.8
Gerald Everett,LAR,20.7,233.3,2.2,,36.1
Greg Olsen,CAR,72.1,804.4,6.8,,120.2
Hakeem Valles,DET,4.7,42.3,0.4,,6.7
Hayden Hurst,BAL,30.3,339.5,2.4,,48.5
Ian Thomas,CAR,,,,,
Jack Doyle,IND,73.6,676.9,4.7,,93.8
Jacob Hollister,NE,3.4,29,0.4,,5.4
Jake Butt,DEN,20.2,232.3,1.5,,32
James O'Shaughnessy,JAC,8.7,102.6,1.5,,19.1
Jared Cook,OAK,46.1,518.5,4.2,,76.8
Jeff Heuerman,DEN,11.3,154.5,1.5,,24.2
Jeremy Sprinkle,WAS,5.6,66.1,0.7,,10.9
Jermaine Gresham,ARI,26.2,265.6,1.6,,35.9
Jesse James,PIT,31.3,314.5,2.3,,44.6
Jimmy Graham,GB,77.3,816.4,5.7,,116.3
Jonnu Smith,TEN,23.9,238.3,1.2,,31.3
Jordan Leggett,NYJ,16.8,187.3,1.3,,26.5
Jordan Reed,WAS,67.3,602.4,5.5,,93.7
Josh Hill,NO,20.9,150.8,1.9,,24.8
Khari Lee,BUF,4.8,47.1,0.6,,8.4
Kyle Rudolph,MIN,66.3,770.5,5.4,,108.1
Lance Kendricks,GB,7.9,77.7,0.7,,11.7
Lee Smith,OAK,4.4,30.6,0.1,,3.5
Levine Toilolo,DET,8.1,95.2,1.5,,18.4
Logan Paulsen,ATL,0.3,1,0,,0.2
Logan Thomas,BUF,5.1,49,0.6,,8.5
Luke Stocker,TEN,5.2,48.9,0.3,,7.1
Luke Willson,DET,30.9,283.4,3.2,,49.2
Marcedes Lewis,GB,15.4,186.3,1,,24.6
MarQueis Gray,MIA,4.7,47.5,0.2,,5.8
Maxx Williams,BAL,18.7,146.3,1.1,,21.5
Michael Roberts,DET,9.3,88.1,1,,14.6
Mike Gesicki,MIA,40.4,440.3,2.9,,61.4
Neal Sterling,NYJ,4.8,55.2,0.5,,8.2
Nick Boyle,BAL,18.4,146.1,0.9,,19.9
Nick Vannett,SEA,23.4,193.9,2.6,,34.5
Niles Paul,JAC,16.9,152.3,2.1,,28.3
O.J. Howard,TB,41.6,511.8,3.5,,72.5
Rhett Ellison,NYG,11.6,118.4,1.4,,20.2
Richard Rodgers,PHI,15.1,171.8,1.4,,25.4
Ricky Seals-Jones,ARI,34.3,402.3,4.9,,69.2
Rico Gathers,DAL,20.7,220.3,1.4,,30.1
Rob Gronkowski,NE,71.5,1010.2,12.5,,176.5
Ross Travis,IND,3.2,30.3,0.3,,4.6
Ryan Griffin,HOU,33.7,390.1,2.4,,53.2
Seth DeValve,CLE,19.4,191.4,2.5,,34.3
Travis Kelce,KC,82.7,988.3,6.9,,139.6
Trey Burton,CHI,57.7,665.9,5.4,,99.1
Tyler Eifert,CIN,48.5,483.6,4.3,,74.2
Tyler Higbee,LAR,27.8,283,2,,39.8
Tyler Kroft,CIN,29.3,288.6,2.8,,45.6
Vance McDonald,PIT,32.4,408.1,3.7,,62.9
Vernon Davis,WAS,24.9,259.8,2.3,,39.5
Virgil Green,LAC,21.9,248.7,3,,42.9
Will Dissly,SEA,,,,,
Xavier Grimble,PIT,3.4,30,0.2,,4.6
Zach Ertz,PHI,79.2,919.5,7.4,,134.7
Alex Ellis,KC,4.9,49.5,0.3,,7
Cethan Carter,CIN,4,43.3,0.3,,6.2
Cole Wick,SF,5.3,56.4,0.5,,8.4
