"Rank","Player","Team","Opp","Position","Yds Allowed","Pts Agn","Scks","Int","Fum","DefTD","Safts","Pts"
1,"Patriots, New England","NEP","MIA","D",228.2,12.4,3.,1.4,0.8,0.2,0.,16.
2,"Colts, Indianapolis","IND","@JAC","D",251.2,13.8,3.2,1.2,0.9,0.1,0.,15.2
3,"Rams, Los Angeles","LAR","ARZ","D",294.1,19.6,3.,1.2,0.6,0.3,0.1,14.7
4,"Chiefs, Kansas City","KCC","LAC","D",343.5,21.9,3.6,1.2,0.9,0.2,0.,13.1
5,"Broncos, Denver","DEN","OAK","D",301.8,18.1,3.,1.2,0.8,0.1,0.,12.8
6,"Bears, Chicago","CHI","@MIN","D",332.7,17.8,2.4,1.3,0.2,0.2,0.1,11.7
7,"Saints, New Orleans","NOS","@CAR","D",339.8,20.5,2.9,0.9,0.8,0.,0.,11.4
8,"Ravens, Baltimore","BAL","PIT","D",321.8,19.8,1.9,0.8,0.4,0.3,0.,10.9
9,"Lions, Detroit","DET","GBP","D",321.4,19.3,2.8,0.5,0.5,0.1,0.,10.3
10,"Cowboys, Dallas","DAL","WAS","D",330.3,20.8,2.,0.5,0.6,0.1,0.,9.8
11,"Titans, Tennessee","TEN","@HOU","D",371.1,20.8,2.2,0.7,0.3,0.2,0.,9.6
12,"Steelers, Pittsburgh","PIT","@BAL","D",313.5,21.5,3.1,0.5,0.3,0.1,0.1,9.3
13,"Seahawks, Seattle","SEA","SFO","D",373.4,22.5,2.4,0.6,0.8,0.2,0.,9.2
14,"Texans, Houston","HOU","TEN","D",391.6,21.3,2.1,0.7,0.7,0.2,0.,9.1
15,"Vikings, Minnesota","MIN","CHI","D",331.1,22.7,2.6,0.6,0.3,0.1,0.,9.1
16,"Bills, Buffalo","BUF","NYJ","D",323.1,25.4,1.6,1.,0.5,0.,0.1,8.7
17,"Browns, Cleveland","CLE","@CIN","D",379.2,23.6,2.3,0.9,0.7,0.,0.1,8.5
18,"Raiders, Oakland","OAK","@DEN","D",328.5,24.9,0.8,1.1,0.1,0.1,0.,8.2
19,"Panthers, Carolina","CAR","NOS","D",363.7,23.1,2.,0.7,0.7,0.,0.,7.9
20,"Jaguars, Jacksonville","JAC","IND","D",375.3,22.8,1.9,0.4,0.4,0.2,0.1,7.4
21,"Redskins, Washington","WAS","@DAL","D",418.2,26.8,2.3,0.7,0.6,0.1,0.,7.2
22,"Chargers, Los Angeles","LAC","@KCC","D",404.8,25.3,2.1,0.5,0.5,0.2,0.,7.1
23,"Jets, New York","NYJ","@BUF","D",459.,33.5,2.2,0.5,0.4,0.2,0.,6.4
24,"Falcons, Atlanta","ATL","@TBB","D",434.9,28.4,2.1,0.9,0.2,0.1,0.,6.2
25,"Giants, New York","NYG","PHI","D",430.7,29.3,1.7,0.9,0.3,0.2,0.,5.9
26,"Eagles, Philadelphia","PHI","@NYG","D",406.6,23.5,2.3,0.6,0.2,0.,0.,5.8
27,"Bengals, Cincinnati","CIN","CLE","D",477.1,32.7,1.6,0.6,0.3,0.2,0.,5.8
28,"49ers, San Francisco","SFO","@SEA","D",399.4,31.7,2.,0.,0.2,0.1,0.,5.4
29,"Cardinals, Arizona","ARZ","@LAR","D",437.5,33.,2.3,0.3,0.4,0.1,0.,5.3
30,"Dolphins, Miami","MIA","@NEP","D",496.9,36.,1.6,0.8,0.3,0.2,0.,5.3
31,"Buccaneers, Tampa Bay","TBB","ATL","D",458.5,34.1,1.7,0.4,0.4,0.,0.,4.6
32,"Packers, Green Bay","GBP","@DET","D",452.8,31.6,1.9,0.2,0.4,0.1,0.,4.6
"","","","","","","","","","","","",""
