Player,Team,Rec,Rec Yds,Rec Tds,Rush Att,Rush Yds,Rush Tds,FL,FPts
Keke Coutee,HOU,,204.6,1.3,,,,0.3,29.2
Kelvin Benjamin,BUF,,732.4,4.8,,,,0.4,101.4
Kendrick Bourne,SF,,325.4,1.7,,,,0.3,42.9
Kenny Golladay,DET,,765.4,4.3,,,,0.5,103.3
Kenny Stills,MIA,,703.5,4.2,,,,0.4,94.8
Kevin White,CHI,,639.5,3,,,,0.5,82.5
Laquon Treadwell,MIN,,202.8,1.2,,,,0.2,27.5
Larry Fitzgerald,ARI,,1085,5.9,,,,0.5,143.3
Mack Hollins,PHI,,151.9,1,,,,0.2,20.8
Marcus Johnson,IND,,124,0.8,,,,0.2,17.2
Marquez Valdes-Scantling,GB,,195.6,1.3,,,,0.3,27.6
Marquise Goodwin,SF,,986.6,5.6,,,,0.6,136.3
Marvin Hall,ATL,,64.7,0.5,,,,0.1,9.2
Marvin Jones,DET,,983.4,7.4,,,,0.5,142.2
Matt Slater,NE,,10.6,0,,,,0,1.2
Maurice Harris,WAS,,79.4,0.5,,,,0.2,10.9
Michael Campanaro,TEN,,,0.1,,,,0,
Michael Crabtree,BAL,,866.3,5.2,,,,0.5,117.8
Michael Gallup,DAL,,259.4,1.7,,,,0.3,36.6
Michael Thomas,NO,,1331.5,9.3,,,,0.7,187.8
Mike Evans,TB,,1055.5,6.1,,,,0.5,141.5
Mike Thomas,LAR,,,,,,,0,
Mike Wallace,PHI,,757.2,4.5,,,,0.4,102.2
Mike Williams,LAC,,235.2,1.4,,,,0.2,31.4
Mohamed Sanu,ATL,,759.3,4.5,,,,0.5,103.1
Nelson Agholor,PHI,,748.4,4.2,,,,0.6,106.6
Odell Beckham Jr.,NYG,,1136.2,7.5,,,,0.7,159.2
Paul Richardson,WAS,,478,2.9,,,,0.3,64.6
Pharoh Cooper,LAR,,107.1,0.7,,,,0.8,14.1
Phillip Dorsett,NE,,413.9,2.5,,,,0.3,56.1
Pierre Garcon,SF,,878.5,4.25,,,,0.4,114.1
Quincy Enunwa,NYJ,,706.7,4.1,,,,0.4,95.3
Randall Cobb,GB,,691.9,4.4,,,,0.5,101.5
Rashad Greene,JAC,,33.5,0.25,,,,0.1,4.6
Rashard Higgins,CLE,,316,2.2,,,,0.3,44.5
Rishard Matthews,TEN,,700,4,,,,0.4,93.7
Robby Anderson,NYJ,,799.1,4.9,,,,0.6,112
Robert Woods,LAR,,1006,6.4,,,,0.5,138.5
Russell Gage,ATL,,160.5,1,,,,0.3,22.8
Russell Shepard,NYG,,147.3,0.9,,,,0.2,20.9
Ryan Grant,IND,,637.9,4.2,,,,0.4,88.4
Ryan Switzer,PIT,,88.3,0.6,,,,0.5,12.1
Sammie Coates,HOU,,71.9,0.5,,,,0.1,10.3
Sammy Watkins,KC,,665.9,5.1,,,,0.4,96.9
Seth Roberts,OAK,,,,,,,0,
Shelton Gibson,PHI,,48.9,0.2,,,,0.1,7.1
Stefon Diggs,MIN,,996.7,6.8,,,,0.6,142.2
Sterling Shepard,NYG,,806.5,4.6,,,,0.5,109.5
Tajae Sharpe,TEN,,415.9,2.3,,,,0.3,55.3
Tanner McEvoy,MIA,,,,,,,0,
Taylor Gabriel,CHI,,420.4,2.3,,,,0.3,58.2
Taywan Taylor,TEN,,152.8,0.9,,,,0.2,22.5
Ted Ginn,NO,,864.1,5.2,,,,0.5,121.8
Terrance Williams,DAL,,553.4,3,,,,0.4,74.6
Terrelle Pryor,NYJ,,340.4,1.9,,,,0.2,44.9
TJ Jones,DET,,302.9,2,,,,0.3,41.9
Tommylee Lewis,NO,,36.6,0.3,,,,0.2,6.7
Torrey Smith,CAR,,402.7,2.1,,,,0.3,52.2
Travis Benjamin,LAC,,572.9,3.1,,,,0.4,81.8
Trent Taylor,SF,,446.9,2.9,,,,0.3,61.5
Tre'Quan Smith,NO,,295,1.9,,,,0.3,41.3
Trevor Davis,GB,,96.9,0.7,,,,0.6,13.1
Trey Quinn,WAS,,189.8,1.2,,,,0.3,26.7
T.Y. Hilton,IND,,834.8,4.9,,,,0.5,112
Tyler Boyd,CIN,,631.9,4,,,,0.4,88.1
Tyler Lockett,SEA,,552.7,3.4,,,,0.8,77.8
Tyreek Hill,KC,,1076.2,6.5,,,,0.7,153.8
Tyrell Williams,LAC,,753.6,4.5,,,,0.4,101.6
Will Fuller,HOU,,657.4,4,,,,0.4,89.9
Willie Snead,BAL,,199.1,1.2,,,,0.2,27
Zay Jones,BUF,,487.1,2.7,,,,0.4,64.3
Darius Jennings,TEN,,54.8,0.3,,,,0.3,7.2
Stacy Coley,MIN,,71,0.5,,,,0.2,10.2
Brandon Zylstra,MIN,,224.9,1.5,,,,0.3,31.6
Dan Arnold,NO,,114.7,0.8,,,,0.2,16.3
DeAndre Carter,PHI,,29.4,0.2,,,,0,4
Janarion Grant,BAL,,95.9,0.7,,,,0.2,13.5
Robert Foster,BUF,,163,1.1,,,,0.3,23
Seth DeValve,CLE,,227.2,1.3,,,,0.2,30.4
Tim Patrick,DEN,,202.5,1.3,,,,0.3,28.3
Trent Sherfield,ARI,,205.5,1.4,,,,0.3,29.3
