Player,Sack,Int,FR,FF,TD,Safety,PA,YA,FPts
Arizona Cardinals,40,15.6,10,,2,0.5,358.8,,107.5
Atlanta Falcons,35,15.7,10.6,,2.7,0.6,337.1,,102.9
Baltimore Ravens,35.6,16.4,10.3,,2.2,0.6,332,,106.3
Buffalo Bills,37.2,16.5,9.5,,1.9,0.5,363,,106.8
Carolina Panthers,36.8,15,10.2,,1.8,0.7,332.8,,102.6
Chicago Bears,39.9,16.1,10,,1.9,0.5,338.1,,107.5
Cincinnati Bengals,31.2,16.2,14.5,,1.7,0.6,353.5,,107.1
Cleveland Browns,32.5,14.6,11.9,,1.7,0.6,353.6,,99.5
Dallas Cowboys,37,14.9,10.9,,1.7,0.6,342.6,,103.2
Denver Broncos,36.8,16.4,10.6,,2.3,0.8,342.3,,109.2
Detroit Lions,39.2,15.2,10.2,,1.7,0.5,379.8,,104.1
Green Bay Packers,41.8,15.4,10.3,,1.7,0.6,382.3,,107.6
Houston Texans,36.5,14.9,10.2,,1.8,0.5,359.8,,101.7
Indianapolis Colts,33.9,14.6,10.7,,1.5,0.5,343.7,,97.4
Jacksonville Jaguars,40,17,11.6,,2,0.6,309.9,,113.3
Kansas City Chiefs,33.8,15.4,9.9,,1.5,0.5,350.8,,97.6
Los Angeles Chargers,36.4,16,10.6,,2,0.5,349,,105.9
Los Angeles Rams,37.3,16.8,9.7,,2.1,0.7,291.4,,107.2
Miami Dolphins,40.8,15.5,10.1,,2.1,0.5,361.5,,108.9
Minnesota Vikings,40.3,17.1,10.2,,2.2,0.6,333.6,,112.5
New England Patriots,42.5,16.4,11.2,,1.8,0.7,316.4,,112.8
New Orleans Saints,33.6,15.6,9.9,,1.9,0.6,348.6,,100.2
New York Giants,33.2,15.9,11.6,,1.7,0.6,362.2,,102.5
New York Jets,36.6,15.6,9.9,,1.9,0.6,359.4,,103.2
Oakland Raiders,33.6,14.8,10.2,,1.6,0.6,359.2,,97.2
Philadelphia Eagles,36.9,16.7,10.2,,1.9,0.6,341.4,,106.2
Pittsburgh Steelers,35.2,15.1,10.5,,1.6,0.6,370.3,,100.1
San Francisco 49ers,33.8,14.8,10.4,,2.15,0.6,357.7,,97.2
Seattle Seahawks,36.5,15.2,10.1,,1.5,0.5,353.5,,100.7
Tampa Bay Buccaneers,32.5,15.1,10.2,,1.6,0.6,373.4,,96.7
Tennessee Titans,36.9,15,10.5,,1.7,0.7,330.1,,102.2
Washington Redskins,36,15.8,10,,1.6,0.6,347.6,,101.3
