Rank,Player,Team,Opp,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"Gronkowski, Rob",NEP,ATL,TE,6.3,1.6,3.8,58.4,0.5,0.2,0.1,0.,0.,0.,0.1,0.,0.,0.,0.,0.,1.6,8.8
2,"Olsen, Greg",CAR,@CHI,TE,7.8,1.7,4.7,62.3,0.2,0.1,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,1.4,7.7
3,"Walker, Delanie",TEN,@CLE,TE,6.8,1.4,4.4,51.5,0.4,0.2,0.1,0.,0.,0.,0.,0.7,0.,0.,0.,0.,1.1,7.4
4,"Graham, Jimmy",SEA,@NYG,TE,6.5,1.7,4.1,56.1,0.3,0.1,0.1,0.,0.1,0.,0.,0.,0.,0.,0.,0.1,1.3,7.2
5,"Henry, Hunter",LAC,DEN,TE,4.9,1.2,3.,35.3,0.6,0.4,0.2,0.,0.,0.,0.,0.,0.,0.,0.6,0.,0.8,7.
6,"Doyle, Jack",IND,JAC,TE,5.8,1.,4.1,41.5,0.4,0.2,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.7,6.7
7,"Ertz, Zach",PHI,WAS,TE,7.3,1.3,4.8,52.3,0.2,0.1,0.,0.1,0.,0.,0.,0.,0.,0.,0.5,0.,1.,6.4
8,"Reed, Jordan",WAS,@PHI,TE,5.4,1.1,3.9,43.8,0.4,0.2,0.1,0.1,0.,0.,0.,0.,0.,0.,-0.2,0.1,1.,6.4
9,"Eifert, Tyler",CIN,@PIT,TE,4.2,1.2,2.7,32.6,0.5,0.2,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,0.,1.2,6.2
10,"Howard, O.J.",TBB,@BUF,TE,4.3,1.,2.8,37.,0.4,0.1,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,0.,1.,6.1
11,"Gates, Antonio",LAC,DEN,TE,5.8,1.5,3.1,32.5,0.5,0.3,0.2,0.,0.,0.,0.,0.,0.,0.,0.2,0.,0.8,5.9
12,"Bennett, Martellus",GBP,NOR,TE,4.9,0.8,3.2,41.,0.3,0.2,0.1,0.,0.,0.,0.,0.3,0.,0.,0.,0.,0.5,5.9
13,"Kelce, Travis",KCC,@OAK,TE,5.7,1.1,3.9,50.1,0.1,0.,0.1,0.,0.,0.,0.,-0.1,0.,0.,0.,0.1,1.,5.8
14,"Hooper, Austin",ATL,@NEP,TE,3.8,0.9,2.4,30.2,0.4,0.2,0.1,0.1,0.,0.1,0.,0.,0.,0.,0.,0.,0.9,5.7
15,"Brate, Cameron",TBB,@BUF,TE,3.8,0.9,2.5,30.5,0.4,0.1,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.8,5.3
16,"Kittle, George",SFO,DAL,TE,4.2,0.8,2.5,33.1,0.3,0.1,0.1,0.,0.,0.,0.1,0.,0.,0.,0.,0.,0.7,5.2
17,"Allen, Dwayne",NEP,ATL,TE,4.6,0.8,2.8,32.6,0.3,0.1,0.2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.7,5.1
18,"Rudolph, Kyle",MIN,BAL,TE,5.4,1.4,3.3,33.9,0.3,0.2,0.,0.1,0.,0.,0.,0.,0.,0.,0.,0.,1.2,5.1
19,"Witten, Jason",DAL,@SFO,TE,6.1,1.4,4.3,39.,0.2,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.9,5.1
20,"Thomas, Julius",MIA,NYJ,TE,4.2,0.5,2.6,24.9,0.4,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.5,4.8
21,"Miller, Zach",CHI,CAR,TE,4.6,0.4,3.3,35.9,0.2,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.3,4.8
22,"Clay, Charles",BUF,TBB,TE,5.5,1.,3.3,33.,0.2,0.1,0.1,0.,0.,0.1,0.,0.,0.,0.,0.,0.,0.9,4.7
23,"Engram, Evan",NYG,SEA,TE,5.4,1.3,3.7,32.3,0.2,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.2,4.6
24,"Cook, Jared",OAK,KCC,TE,5.1,0.8,3.2,36.4,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.3,4.6
25,"Higbee, Tyler",LAR,ARZ,TE,5.8,0.7,3.2,30.8,0.3,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.6,4.5
26,"Fleener, Coby",NOR,@GBP,TE,5.1,1.3,2.9,33.9,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.9,4.4
27,"Celek, Garrett",SFO,DAL,TE,3.7,0.7,2.1,25.2,0.3,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.6,4.4
28,"Watson, Benjamin",BAL,@MIN,TE,5.4,1.2,3.4,31.3,0.2,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.9,4.2
29,"Njoku, David",CLE,TEN,TE,3.7,0.8,2.4,29.1,0.2,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.7,4.2
30,"Sims, Dion",CHI,CAR,TE,3.1,0.4,2.2,22.,0.2,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.4,3.7
31,"James, Jesse",PIT,CIN,TE,4.2,0.9,2.7,26.8,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.8,3.6
32,"Davis, Vernon",WAS,@PHI,TE,3.6,0.4,2.4,30.5,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.2,0.,0.5,3.5
33,"Lewis, Marcedes",JAC,@IND,TE,3.2,0.5,2.1,19.4,0.2,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.3,3.2
34,"Walford, Clive",OAK,KCC,TE,3.2,0.7,2.,22.,0.1,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.5,3.1
35,"McDonald, Vance",PIT,CIN,TE,2.7,0.3,1.6,20.3,0.2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.3,2.9
36,"Gresham, Jermaine",ARZ,@LAR,TE,3.3,0.5,2.,22.4,0.1,0.,0.,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.4,2.7
37,"Green, Virgil",DEN,@LAC,TE,2.8,0.4,1.7,19.8,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.3,2.6
38,"Kendricks, Lance",GBP,NOR,TE,3.6,0.3,1.9,19.,0.1,0.,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.2,2.2
39,"Celek, Brent",PHI,WAS,TE,1.6,0.4,1.2,13.8,0.1,0.,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.3,1.9
40,"Daniels, Darrell",IND,JAC,TE,2.9,0.5,1.6,14.8,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.5,1.8
41,"Tye, Will",NYJ,@MIA,TE,3.,0.3,2.,16.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.2,1.8
42,"Koyack, Ben",JAC,@IND,TE,2.5,0.2,1.8,15.9,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.2,1.8
43,"Rodgers, Richard",GBP,NOR,TE,1.9,0.2,1.1,10.3,0.1,0.,0.1,0.,0.1,0.,0.,0.,0.,0.,0.,0.,0.2,1.7
44,"DeValve, Seth",CLE,TEN,TE,1.1,0.2,0.8,9.2,0.1,0.,0.1,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.2,1.7
45,"Toilolo, Levine",ATL,@NEP,TE,1.4,0.3,0.8,12.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.2,1.7
46,"Supernaw, Phillip",TEN,@CLE,TE,1.4,0.3,0.9,10.6,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.3,1.7
47,"Hill, Josh",NOR,@GBP,TE,2.1,0.6,1.1,9.7,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.6,1.5
48,"Willson, Luke",SEA,@NYG,TE,1.7,0.3,1.,10.2,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.2,0.,0.3,1.5
49,"Seferian-Jenkins, Austin",NYJ,@MIA,TE,2.,0.4,1.,11.5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.2,0.,0.3,1.4
50,"Scruggs, Greg",NEP,ATL,TE,1.3,0.2,0.7,9.8,0.1,0.,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.3,1.4
51,"Smith, Lee",OAK,KCC,TE,1.8,0.4,1.1,10.3,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.3,1.4
