Player,Team,Rush Att,Rush Yds,Rush Tds,Rec,Rec Yds,Rec Tds,FL,FPts
Aaron Jones,GB,31.7,117.5,1.2,10.5,84.5,,,27.9
Aaron Ripkowski,GB,6.5,31.4,0.4,3.3,27,,,8.7
Adrian Peterson,NO,139,555.3,6.6,17.5,97.9,,,102.9
Akeem Hunt,HOU,9.3,42.7,0.15,2.1,12.4,0,,7.3
Alex Collins,SEA,15.8,56.8,0.5,4.1,39.1,0,,12.9
Alfred Blue,HOU,42.6,159.6,0.9,7.7,53.9,,,27.8
Alfred Morris,DAL,95.9,419.9,3,7,28.8,,,61.4
Alvin Kamara,NO,36.4,138.9,1.5,27.05,142.4,,,38.5
Ameer Abdullah,DET,155.8,723.1,5.1,37.3,333.8,,,143.5
Andre Ellington,ARI,,,,,,,,
Andy Janovich,DEN,5.2,20.7,0.4,5.4,45.1,,0,10.3
Anthony Sherman,KC,6.3,26.4,0.1,1.4,8.2,0,0,4.7
Austin Johnson,TB,8.3,33.8,0.1,3.8,30.4,0,0,7.4
Benny Cunningham,CHI,18.6,78.2,0.25,8.1,62.2,0,,18.7
Bilal Powell,NYJ,138.2,677.5,6,39.7,279.7,,,135
Branden Oliver,LAC,42.6,64.7,0.6,7.5,57.4,,,17
Brandon Bolden,NE,2.8,8.9,0.1,3,21.1,,,4.1
Brandon Wilds,CLE,11.7,43.1,0.1,4.5,46,0,,9.5
Brian Hill,ATL,,,,2,18,,,
Byron Marshall,PHI,8.3,32.8,0.2,3.3,19.4,0,0,6.2
Cameron Artis-Payne,CAR,8.5,30.7,0.3,2.1,23.3,0,,7.7
Carlos Hyde,SF,224.2,903.3,6.6,22.5,128.4,,,143.7
Cedric Peerman,CIN,15.8,55.9,0.3,7,43.5,0,0,11.8
Charcandrick West,KC,86.3,353.7,1.6,23.8,206.8,,,72.5
Charles Sims,TB,78.1,291.4,1.6,31.4,282.1,,,72.4
Chris Ivory,JAC,41.5,151.3,1.1,12.1,107.3,,,32
Chris Johnson,ARI,,,,,,,,
Chris Thompson,WAS,48.1,256,2.1,40.8,318.3,2,,76.7
Christian McCaffrey,CAR,163.2,751.8,4.1,48.6,351.7,,,151.5
C.J. Anderson,DEN,183.7,787.6,4.1,31.7,242.5,,,130.6
C.J. Prosise,SEA,60.6,243.6,2.2,32.9,318.9,,1,77.2
C.J. Spiller,KC,11.7,40.4,0.2,11.6,90.6,,,16.4
Corey Grant,JAC,12.5,44.8,0.4,2.6,25.8,,,10.5
Dalvin Cook,MIN,148.2,627.1,4.7,35.3,291.4,,,124.8
Damien Williams,MIA,37.8,130.1,1.2,15.5,114.7,,,35.9
Daniel Lasco,NO,5.5,18.4,0,2.5,17.2,0,,3.9
Danny Woodhead,BAL,84.45,385.3,3,58.8,535.9,,1,115.3
Dan Vitale,CLE,5.2,19.3,0.1,2.9,16.4,0,0,4.6
Darren McFadden,DAL,109.3,439.1,3.4,20.1,151.7,,,83.9
Darren Sproles,PHI,77.7,367.6,2.3,48.4,357.6,,,93.4
David Johnson,ARI,288.6,1309.9,11.3,83.6,760.1,,,290
DeAndre Washington,OAK,99.2,431.6,2.1,20.4,131.2,,,69
De'Angelo Henderson,DEN,30.8,119.9,0.4,10.2,117.1,0,,27.1
DeMarco Murray,TEN,275.6,1215.,9.8,41.8,300.4,,,215.3
Derek Watt,LAC,8.7,37.6,0.5,4.5,43.9,0,0,12.1
Derrick Henry,TEN,115.4,510.8,3.2,15.5,148.9,,,87
Devontae Booker,DEN,52.5,214.8,0.5,10.4,69,,,32.5
Devonta Freeman,ATL,227.3,1008.1,9.4,53.7,496.1,,,217.7
Dion Lewis,NE,82.5,359.9,3.1,25.3,155.4,,,74.2
D.J. Foster,NE,12,45.9,0.2,2.7,18.6,0,0,8.3
Donnel Pumphrey,PHI,,,,,,,,
D'Onta Foreman,HOU,46.5,181,0.5,25.4,203.7,,,44.9
Doug Martin,TB,163.8,621.6,4.6,18.2,146.3,,,105.1
Duke Johnson,CLE,87,335.2,2.5,47.7,414.9,,,95
Dwayne Washington,DET,7.1,23.7,0.1,3.4,22.4,0,,5.8
Eddie Lacy,SEA,182.8,798.6,5,22.8,167.5,,,129
Elijah McGuire,NYJ,11.3,45.2,0.3,6.7,54.8,,,12.1
Ezekiel Elliott,DAL,191.5,916.2,7.3,31.6,301.9,,,173.4
Fitzgerald Toussaint,PIT,22.3,78.2,0.3,5.85,89.7,0,,22.6
Fozzy Whittaker,CAR,13.7,56,0.3,6.5,54.2,0,,14.1
Frank Gore,IND,201.8,748.1,4.7,34.3,283.5,,2,136.1
Giovani Bernard,CIN,110.5,455.7,2.8,28.2,248.3,,,93.6
Isaiah Crowell,CLE,217.8,856.7,4.8,43.5,341.5,,,154.3
Jacquizz Rodgers,TB,137.4,587.8,3.6,18.7,173.2,,,98.3
Jalen Richard,OAK,60.8,278.2,1.8,26.4,203,,,62.4
Jalston Fowler,TEN,6.5,39.4,0.3,2.1,20.1,,0,8
Jamaal Charles,DEN,105.1,472.3,3.5,17.8,116.8,,,78.3
Jamaal Williams,GB,99.8,388.8,3.5,14,104.6,,,73.4
James Conner,PIT,22.2,88.2,0.8,10.7,84.6,,,22.7
James Develin,NE,5.4,16.5,0.2,3.8,24.9,0,0,6
James White,NE,44.5,212.3,1.9,43.5,363.5,,,84.1
Jamize Olawale,OAK,13,47.8,0.3,4.8,44.1,,0,11.5
Javorius Allen,BAL,28,98.6,0.6,9.7,63.3,,,19.7
