Player,Team,FG,FGA,XPT,FPts
Adam Vinatieri,IND,28.8,32.6,41.3,140
Aldrick Rosas,NYG,24.9,30.3,33,118.9
Andrew Franks,MIA,23,29.3,38.5,116.8
Blair Walsh,SEA,24.6,31.3,34.9,118.5
Brandon McManus,DEN,26.7,33.3,32.6,125.4
Cairo Santos,KC,29.3,33.9,33.4,131.6
Caleb Sturgis,PHI,24.3,29.2,28.4,111.6
Chandler Catanzaro,NYJ,23.1,29.2,29.8,110.4
Chris Boswell,PIT,25,30.7,41,124.9
Cody Parkey,CLE,25.2,30.4,31.2,117.4
Connor Barth,CHI,23.2,32.1,34.1,112.5
Dan Bailey,DAL,28.5,34.3,46.5,139.8
Dustin Hopkins,WAS,24.7,30.5,46.8,129.7
Graham Gano,CAR,29,34.8,33.7,134.3
Greg Zuerlein,LAR,25.1,30,27.1,115.6
Jake Elliott,CIN,,,,
Jason Myers,JAC,27.2,31.9,31,123.4
Josh Lambo,LAC,23.4,29.4,32.4,110.6
Justin Tucker,BAL,30.8,34,33.6,142.5
Kai Forbath,MIN,24.5,28,35.3,119.6
Mason Crosby,GB,27.6,32.1,42,136.9
Matt Bryant,ATL,27.5,31.8,46.1,140.6
Matt Prater,DET,29,32.7,37.1,135.6
Nick Folk,TB,25.2,30.5,36.1,122.4
Nick Novak,HOU,23,29.2,26.8,107.5
Phil Dawson,ARI,25.3,30.5,34.7,122.3
Randy Bullock,CIN,25.7,30.9,38.8,127.1
Robbie Gould,SF,25.8,29.3,35,126.1
Ryan Succop,TEN,25.5,28.7,39.9,126.3
Sebastian Janikowski,OAK,28.5,33.3,36.5,132.1
Stephen Gostkowski,NE,28.7,35,51.5,146.2
Steven Hauschka,BUF,28.7,33.7,37.5,136
Will Lutz,NO,25.3,30.4,46.1,131
Zane Gonzalez,CLE,,,,
