"Rank","Player","Team","Position","Tack","Asst","Scks","PassDef","Int","FumFrc","Fum","DefTD","Pts"
59,"Lee, Sean","DAL","LB",52.3,32.2,0.9,1.7,0.2,0.7,0.1,0.,72.2
60,"Evans, Jordan","CIN","LB",54.3,24.9,0.5,3.3,0.7,0.,0.,0.,72.
61,"Thompson, Shaq","CAR","LB",52.3,29.8,2.7,1.,0.,0.9,0.,0.,71.8
62,"Watt, T.J.","PIT","LB",44.4,14.7,9.1,5.6,0.,4.6,0.,0.,71.1
63,"Campbell, De'Vondre","ATL","LB",54.9,28.,1.4,0.8,0.,0.,0.,0.,71.
64,"Barr, Anthony","MIN","LB",51.3,21.8,3.2,4.1,0.5,0.6,0.,0.,71.
65,"Brown, Preston","CIN","LB",50.3,25.,0.,3.4,1.7,0.,0.,0.,69.5
66,"Miller, Von","DEN","LB",40.6,14.,12.7,3.1,0.7,2.4,2.2,0.,69.4
67,"Perryman, Denzel","LAC","LB",48.4,30.1,0.6,2.4,0.6,0.6,0.6,0.,69.
68,"Davis, Thomas","LAC","LB",44.2,27.1,1.9,4.4,0.,0.,0.,0.,64.
69,"Hewitt, Neville","NYJ","LB",42.1,29.4,3.7,1.6,0.4,0.,0.,0.,62.8
70,"McMillan, Raekwon","MIA","LB",46.9,22.2,0.,0.7,0.,1.4,0.7,0.,60.8
71,"Avery, Genard","CLE","LB",41.6,16.8,3.3,3.9,0.2,1.8,1.,0.,60.4
72,"Jewell, Josey","DEN","LB",42.5,24.7,2.4,3.1,0.,0.,0.,0.,60.4
73,"Smith, Za'Darius","GBP","LB",40.8,17.3,7.7,1.1,0.,1.1,0.,0.,59.3
74,"O'Daniel, Dorian","KCC","LB",44.,27.,1.,0.1,0.1,0.,0.,0.,58.9
75,"Klein, A.J.","NOS","LB",40.,23.2,1.5,2.7,1.2,0.,0.,0.,58.3
76,"Shazier, Ryan","PIT","LB",40.6,12.4,3.4,3.5,1.,2.,0.4,0.,58.
77,"Lee, Darron","KCC","LB",37.,23.5,2.7,2.4,1.1,1.4,0.5,0.,57.9
78,"Matthews, Clay","LAR","LB",40.5,14.4,4.5,1.7,0.3,2.8,0.3,0.1,57.6
79,"Judon, Matt","BAL","LB",41.9,10.,5.8,3.2,0.2,0.7,0.2,0.2,57.4
80,"Jones, Christian","DET","LB",43.1,16.8,0.7,2.3,0.,0.8,0.3,0.,55.6
81,"Floyd, Leonard","CHI","LB",36.2,14.4,5.6,4.8,0.7,0.,0.,0.2,55.3
82,"Mercilus, Whitney","HOU","LB",34.8,21.,5.9,0.5,0.1,2.5,0.,0.,54.3
83,"Morrow, Nicholas","OAK","LB",39.3,16.6,1.8,3.4,0.,1.1,0.,0.,53.9
84,"Kerrigan, Ryan","WAS","LB",30.5,12.3,12.7,0.9,0.,1.9,0.6,0.,52.8
85,"Evans, Rashaan","TEN","LB",32.5,24.6,1.7,2.,0.,0.8,0.6,0.,49.8
86,"Lee, Marquel","OAK","LB",33.3,25.4,0.,3.6,0.,0.,0.,0.,49.6
87,"Smith, Preston","GBP","LB",30.5,24.5,3.5,1.1,0.,0.5,0.5,0.2,48.3
88,"Jones, Chandler","ARZ","LB",32.3,8.7,7.9,2.8,0.,0.9,0.,0.,48.3
89,"Anzalone, Alex","NOS","LB",34.9,14.5,1.7,1.1,0.9,1.1,0.,0.,47.8
90,"Kennard, Devon","DET","LB",31.7,16.2,6.4,1.1,0.,0.2,0.2,0.,47.7
91,"Roberts, Elandon","NEP","LB",28.2,29.1,0.2,4.3,0.,0.,0.,0.,47.2
92,"Reed, Brooks","ARZ","LB",33.9,17.1,1.4,0.4,0.,1.3,0.,0.,45.5
93,"Sweat, Montez","WAS","LB",26.8,14.8,7.1,2.3,0.,0.8,0.8,0.2,45.2
94,"Scarlett, Brennan","HOU","LB",32.2,11.4,1.8,2.7,0.2,1.6,0.4,0.,44.8
95,"Dupree, Bud","PIT","LB",30.6,11.5,4.9,1.2,0.4,0.2,0.2,0.2,43.5
96,"Golden, Markus","NYG","LB",28.7,15.3,3.3,2.1,0.,0.,0.,0.,41.8
97,"Miller, Christian","CAR","LB",26.8,20.9,1.3,1.7,0.,0.5,0.4,0.,41.2
98,"Hightower, Dont'a","NEP","LB",24.7,23.9,1.7,1.6,0.6,0.,0.,0.,41.
99,"Landry, Harold","TEN","LB",21.8,18.1,4.2,3.2,0.,0.7,0.6,0.2,39.5
100,"Fowler, Dante","LAR","LB",25.7,12.2,2.7,0.9,0.,1.9,1.5,0.,38.8
101,"Riley, Duke","ATL","LB",28.5,15.2,0.,1.3,0.,0.,0.,0.,37.4
102,"Martin, Kareem","NYG","LB",21.9,21.2,1.6,2.2,0.4,0.3,0.2,0.,37.4
