"Rank","Player","Team","Position","Tack","Asst","Scks","PassDef","Int","FumFrc","Fum","DefTD","Pts"
60,"Sheard, Jabaal","IND","DL",29.3,13.9,4.5,1.3,0.,0.,0.,0.,46.3
61,"Reader, D.J.","HOU","DL",30.4,14.,3.7,0.4,0.,0.4,0.4,0.,46.2
62,"Armstead, Arik","SFO","DL",33.2,13.4,2.7,0.3,0.,0.,0.,0.,45.7
63,"Williams, Quinnen","NYJ","DL",29.2,16.2,2.8,2.4,0.,0.4,0.,0.,45.6
64,"Orchard, Nate","MIA","DL",24.8,13.2,5.3,0.8,0.,1.6,0.8,0.,45.2
65,"Gotsis, Adam","DEN","DL",25.4,13.4,2.7,5.1,0.,1.2,1.2,0.,45.
66,"Ford, Poona","SEA","DL",25.8,24.,2.9,0.4,0.2,0.2,0.1,0.,44.8
67,"Dareus, Marcell","JAC","DL",32.4,7.5,3.4,1.3,0.,0.5,0.,0.,44.8
68,"Hargrave, Javon","PIT","DL",27.3,15.7,3.7,0.8,0.,0.5,0.,0.,43.9
69,"Irvin, Bruce","CAR","DL",22.4,10.4,7.2,0.3,0.,1.4,0.3,0.,43.9
70,"Rankins, Sheldon","NOS","DL",23.4,14.4,5.4,1.,0.,0.8,0.,0.,43.2
71,"Nichols, Bilal","CHI","DL",23.3,12.8,5.,1.,0.,1.1,0.8,0.,42.5
72,"Beasley, Vic","ATL","DL",21.2,7.5,6.7,3.6,0.,0.2,0.2,0.2,42.3
73,"Blair, Ronald","SFO","DL",23.,11.,6.2,1.1,0.,0.,0.,0.,42.1
74,"Joseph, Linval","MIN","DL",28.2,20.7,1.4,0.,0.,0.3,0.3,0.2,42.
75,"Atkins, Geno","CIN","DL",21.4,14.2,6.5,0.,0.,0.4,0.,0.,42.
76,"Crawford, Tyrone","DAL","DL",16.4,20.8,5.7,2.4,0.,1.2,0.,0.,41.7
77,"Richardson, Sheldon","CLE","DL",26.1,20.9,2.,0.,0.,0.9,0.,0.,41.5
78,"Wolfe, Derek","DEN","DL",27.3,14.1,2.1,2.5,0.2,0.,0.,0.,41.5
79,"Davenport, Marcus","NOS","DL",21.8,10.9,5.4,1.3,0.,1.3,0.1,0.,40.8
80,"Smart, Tanzel","LAR","DL",25.3,12.3,2.7,1.7,0.,1.6,0.3,0.,40.6
81,"Guy, Lawrence","NEP","DL",22.1,29.7,1.3,0.,0.,0.8,0.,0.,40.4
82,"Billings, Andrew","CIN","DL",28.7,12.5,2.3,0.7,0.,0.,0.,0.2,40.3
83,"Ansah, Ezekiel","SEA","DL",21.2,6.5,7.4,0.1,0.1,0.6,0.3,0.,40.3
84,"Hand, Da'Shawn","DET","DL",27.4,11.6,2.8,0.3,0.,0.8,0.2,0.,40.1
85,"Godchaux, Davon","MIA","DL",30.9,15.,0.8,0.,0.,0.,0.,0.,40.
86,"Anderson, Henry","NYJ","DL",22.4,12.9,3.4,3.8,0.,0.,0.,0.,39.5
87,"Tomlinson, Dalvin","NYG","DL",27.,24.9,0.,0.,0.,0.,0.,0.,39.4
88,"Robinson, A'Shawn","DET","DL",27.2,16.3,0.6,0.6,0.,0.6,0.6,0.,38.4
89,"Goldman, Eddie","CHI","DL",26.1,14.7,2.4,0.,0.,0.,0.,0.,38.3
90,"Williams, Xavier","KCC","DL",22.5,24.3,1.8,0.,0.,0.,0.,0.,38.2
91,"Crawford, Jack","ATL","DL",18.6,13.5,4.2,1.1,1.1,1.,0.,0.,38.
92,"Nassib, Carl","TBB","DL",22.4,7.3,4.5,1.3,0.,1.4,0.,0.,37.9
93,"Williams, Brandon","BAL","DL",27.1,14.9,0.8,1.8,0.,0.,0.,0.2,37.9
94,"Blackson, Angelo","HOU","DL",25.5,8.5,2.4,3.1,0.,0.,0.,0.,37.8
95,"Charlton, Taco","DAL","DL",21.2,15.6,3.,0.9,0.,0.7,0.3,0.,36.9
96,"Thomas, Solomon","SFO","DL",31.5,5.3,1.2,0.4,0.,0.,0.,0.,36.8
97,"Bosa, Nick","SFO","DL",27.4,8.2,2.,1.3,0.,0.,0.,0.,36.7
98,"Brown, Malcolm","NOS","DL",21.6,19.8,1.8,1.5,0.,0.,0.,0.,36.7
99,"Harris, Shelby","DEN","DL",23.3,11.7,1.9,1.9,0.6,0.,0.,0.,36.
100,"Bailey, Allen","ATL","DL",21.,12.5,3.3,0.,0.,1.,1.,0.2,35.8
101,"Murphy, Trent","BUF","DL",17.9,12.2,4.1,1.2,0.,1.7,0.,0.,35.2
102,"Okafor, Alex","KCC","DL",22.9,13.3,2.2,0.,0.,0.5,0.5,0.2,35.1
103,"Collins, Maliek","DAL","DL",17.1,15.4,4.4,0.3,0.,0.3,0.3,0.,34.6
104,"Tillery, Jerry","LAC","DL",18.6,11.8,3.8,1.3,0.,0.3,0.3,0.2,34.1
105,"Allen, Josh","JAC","DL",24.1,10.5,1.1,1.7,0.,0.4,0.,0.,33.5
106,"Jones, DaQuan","TEN","DL",21.2,15.3,1.8,0.9,0.,0.,0.,0.,33.5
107,"Key, Arden","OAK","DL",24.3,12.9,0.7,1.,0.,0.,0.,0.,33.2
108,"Pierce, Michael","BAL","DL",23.7,16.2,0.1,1.,0.,0.,0.,0.2,33.
109,"Collier, L.J.","SEA","DL",18.2,14.4,2.3,2.2,0.3,0.,0.,0.,32.7
110,"Jackson, Malik","PHI","DL",22.5,8.6,2.6,0.6,0.,0.,0.,0.,32.5
111,"Adams, Montravius","GBP","DL",20.6,16.9,1.4,0.6,0.,0.,0.,0.,32.4
112,"Wilkins, Christian","MIA","DL",21.,13.3,1.2,1.3,0.,0.4,0.4,0.,32.3
113,"Hurst, Maurice","OAK","DL",21.5,5.6,2.,3.2,0.,0.7,0.,0.,32.1
114,"Vea, Vita","TBB","DL",21.3,8.5,3.1,0.,0.,0.3,0.,0.,32.
115,"Lawson, Shaq","BUF","DL",17.1,11.2,1.7,4.4,0.,0.9,0.,0.,31.5
116,"Hankins, Johnathan","OAK","DL",22.9,14.6,0.4,0.3,0.,0.,0.,0.,31.3
117,"Rochell, Isaac","LAC","DL",12.,10.7,5.2,1.1,1.1,0.,0.,0.,30.9
118,"Ogbah, Emmanuel","KCC","DL",17.4,16.,0.9,3.6,0.,0.,0.,0.,30.9
119,"Mebane, Brandon","LAC","DL",19.3,19.4,0.6,0.2,0.,0.2,0.,0.,30.5
120,"McLendon, Steve","NYJ","DL",21.5,13.1,0.5,1.1,0.,0.,0.,0.,30.2
121,"Gholston, William","TBB","DL",22.2,8.9,1.4,0.1,0.,0.1,0.,0.,29.6
122,"Wynn, Kerry","CIN","DL",19.,12.1,1.3,0.6,0.,1.1,0.,0.,29.4
123,"Lewis, Tyquan","IND","DL",19.3,11.,1.8,0.8,0.,0.,0.,0.,29.3
124,"Weatherly, Stephen","MIN","DL",17.9,13.1,1.6,0.9,0.,0.6,0.,0.,29.3
125,"Woods, Antwaun","DAL","DL",18.2,16.8,0.9,0.6,0.,0.,0.,0.,29.
126,"Taylor, Vincent","MIA","DL",19.7,11.2,1.5,0.,0.,0.,0.,0.,28.3
127,"Hunt, Margus","IND","DL",17.8,8.8,2.2,1.,0.,0.2,0.2,0.,28.
128,"Square, Damion","LAC","DL",15.,16.2,1.4,2.1,0.,0.,0.,0.,27.9
129,"Dogbe, Michael","ARZ","DL",17.1,15.3,1.2,0.5,0.,0.,0.,0.,27.6
130,"Stephen, Shamar","MIN","DL",15.9,11.4,2.7,0.,0.,0.4,0.,0.,27.3
131,"Lotulelei, Star","BUF","DL",16.1,13.2,1.,2.,0.,0.3,0.,0.,27.
132,"Wormley, Chris","BAL","DL",16.2,8.6,1.5,3.2,0.,0.,0.,0.2,26.8
133,"Ximines, Oshane","NYG","DL",18.4,11.5,0.9,0.6,0.,0.,0.,0.,26.4
134,"Lawson, Carl","CIN","DL",16.5,10.4,2.1,0.3,0.,0.,0.,0.,26.2
135,"McDonald, Clinton","ARZ","DL",15.7,11.6,1.,2.7,0.,0.,0.,0.,26.2
136,"Lancaster, Tyler","GBP","DL",22.,7.5,0.,0.,0.,0.,0.,0.,25.8
137,"Nnadi, Derrick","KCC","DL",15.4,19.7,0.,0.,0.,0.,0.,0.,25.3
138,"Horton, Wes","NOS","DL",15.6,15.9,0.,1.4,0.,0.,0.,0.,25.
139,"Muhammad, Al-Quadin","IND","DL",17.1,12.8,0.2,1.,0.,0.,0.,0.,24.9
140,"Ledbetter, Jonathan","MIA","DL",18.4,10.5,0.1,0.9,0.,0.,0.,0.,24.7
141,"McCoy, Gerald","CAR","DL",13.4,12.5,2.1,0.8,0.,0.,0.,0.,24.7
142,"Burns, Brian","CAR","DL",13.5,15.5,1.6,0.,0.,0.,0.,0.,24.4
143,"Jones, Abry","JAC","DL",19.4,5.6,0.2,1.8,0.,0.,0.,0.,24.3
144,"Phillips, Harrison","BUF","DL",18.8,10.2,0.,0.,0.,0.,0.,0.,23.9
145,"Ellis, Justin","OAK","DL",17.9,10.8,0.,0.5,0.,0.,0.,0.,23.8
146,"Jefferson, Quinton","SEA","DL",13.9,6.3,2.2,2.,0.,0.,0.,0.,23.4
147,"Clayborn, Adrian","ATL","DL",14.,9.2,2.,0.4,0.,0.6,0.,0.,23.4
148,"Day, Sheldon","SFO","DL",12.3,2.8,2.8,3.7,0.,0.,0.,0.,23.
149,"Smith, Chris","CLE","DL",13.2,14.2,0.3,1.4,0.,0.1,0.1,0.,22.6
150,"Gaines, Greg","LAR","DL",12.5,14.2,0.9,0.5,0.,0.5,0.,0.,22.4
151,"Walker, DeMarcus","DEN","DL",14.2,9.5,1.,1.1,0.,0.,0.,0.,22.1
152,"Hall, P.J.","OAK","DL",17.1,4.4,0.,2.5,0.,0.,0.,0.,21.7
153,"Curry, Vinny","PHI","DL",14.5,7.9,1.6,0.,0.,0.,0.,0.,21.6
154,"Dickerson, Matt","TEN","DL",15.3,11.4,0.,0.5,0.,0.,0.,0.,21.5
155,"Watkins, Carlos","HOU","DL",12.7,14.8,0.2,0.8,0.,0.,0.,0.,21.4
156,"Phillips, Jordan","BUF","DL",13.,8.1,0.6,3.1,0.,0.,0.,0.,21.4
157,"Senat, Deadrin","ATL","DL",15.1,12.2,0.,0.,0.,0.,0.,0.,21.3
158,"Simon, John","NEP","DL",9.6,13.7,1.9,0.7,0.,0.2,0.,0.,21.2
159,"Willis, Jordan","CIN","DL",15.7,7.1,0.2,1.2,0.,0.,0.,0.,20.9
160,"Pierre, Olsen","NYG","DL",12.5,9.9,1.,0.,0.,0.9,0.,0.,20.3
161,"Johnson, Austin","TEN","DL",11.4,8.9,1.1,2.3,0.,0.,0.,0.,20.3
162,"Shepherd, Nathan","NYJ","DL",11.3,11.8,0.7,1.5,0.,0.,0.,0.,20.2
163,"Love, Kyle","CAR","DL",8.9,7.5,0.8,1.,0.,2.3,1.3,0.,18.9
164,"Allen, Beau","TBB","DL",15.7,5.6,0.,0.,0.,0.,0.,0.,18.5
165,"Glasgow, Ryan","CIN","DL",14.1,8.1,0.,0.,0.,0.,0.,0.,18.1
166,"Turay, Kemoko","IND","DL",10.9,3.9,2.2,0.,0.,0.2,0.,0.,17.5
167,"Brown, Fadol","GBP","DL",14.,4.5,0.,0.7,0.,0.,0.,0.,16.9
168,"Dunn, Brandon","HOU","DL",9.7,8.4,0.,0.9,0.9,0.2,0.,0.,16.8
169,"McIntosh, RJ","NYG","DL",13.1,5.8,0.,0.,0.,0.,0.,0.,16.
170,"Urban, Brent","TEN","DL",10.7,7.6,0.5,0.4,0.,0.,0.,0.,15.9
171,"Mayowa, Benson","OAK","DL",10.2,1.6,1.,1.7,0.,0.6,0.4,0.,15.7
172,"Shelton, Danny","NEP","DL",11.9,7.4,0.,0.,0.,0.,0.,0.,15.6
173,"Butler, Adam","NEP","DL",5.1,5.4,2.6,1.4,0.,1.2,0.,0.,15.5
174,"Williams, Nick","CHI","DL",7.8,9.7,1.,0.8,0.,0.,0.,0.,15.5
175,"Jones, D.J.","SFO","DL",11.6,7.3,0.,0.,0.,0.,0.,0.,15.3
176,"Robertson-Harris, Roy","CHI","DL",6.3,8.8,1.2,2.,0.,0.,0.,0.,15.2
177,"Thornton, Cedric","SFO","DL",7.5,5.3,2.2,0.,0.,0.,0.,0.,14.4
178,"Obada, Efe","CAR","DL",7.2,1.4,1.8,1.8,0.3,0.,0.,0.,13.8
179,"Bryan, Taven","JAC","DL",10.,6.4,0.2,0.,0.,0.,0.,0.,13.7
180,"Ross, Daniel","DAL","DL",5.9,8.2,0.3,0.,0.,1.3,1.,0.,12.9
181,"Daniels, Mike","DET","DL",9.1,4.6,0.5,0.5,0.,0.,0.,0.,12.9
182,"Butler, Vernon","CAR","DL",6.7,11.3,0.1,0.,0.,0.,0.,0.,12.6
183,"Alualu, Tyson","PIT","DL",9.7,5.8,0.,0.,0.,0.,0.,0.,12.6
184,"Jones, Justin","LAC","DL",6.4,8.7,0.7,0.,0.,0.,0.,0.,12.2
185,"Hendrickson, Trey","NOS","DL",10.3,3.,0.,0.,0.,0.,0.,0.,11.8
186,"Jackson, Branden","SEA","DL",10.,2.4,0.2,0.,0.,0.,0.,0.,11.7
187,"Stallworth, Taylor","NOS","DL",8.5,1.4,1.2,0.,0.,0.,0.,0.,11.6
188,"Stewart, Grover","IND","DL",5.4,9.8,0.5,0.,0.,0.,0.,0.,11.4
189,"Poe, Dontari","CAR","DL",6.9,7.4,0.2,0.,0.,0.,0.,0.,11.1
190,"Jernigan, Timmy","PHI","DL",5.2,6.2,1.2,0.,0.,0.,0.,0.,10.7
191,"Buggs, Isaiah","PIT","DL",6.9,3.8,0.,1.2,0.,0.,0.,0.,10.1
192,"Fatukasi, Foley","NYJ","DL",7.2,4.8,0.,0.,0.,0.,0.,0.,9.6
193,"Armstrong, Dorance","DAL","DL",5.2,6.2,0.6,0.,0.,0.,0.,0.,9.5
