"Rank","Player","Team","Position","Tack","Asst","Scks","PassDef","Int","FumFrc","Fum","DefTD","Punt Ret Yds","Kick Ret Yds","Pts"
53,"Joseph, Johnathan","HOU","DB",54.1,12.,0.6,13.5,2.8,0.,0.,0.2,5.,0.,79.8
54,"Ya-Sin, Rock","IND","DB",56.3,20.2,0.8,9.6,1.,0.4,0.4,0.,0.,0.,79.6
55,"Vaccaro, Kenny","TEN","DB",57.2,20.2,2.3,6.5,1.5,0.,0.,0.,0.,4.,78.9
56,"Jackson, Donte","CAR","DB",57.5,15.2,0.9,9.1,1.6,0.6,0.,0.,0.,0.,78.7
57,"Poole, Brian","NYJ","DB",58.,16.1,1.3,5.6,2.1,0.7,0.7,0.,0.,0.,78.5
58,"Joyner, Lamarcus","OAK","DB",56.,19.8,0.5,6.7,2.3,0.,0.,0.,0.,0.,77.7
59,"Hargreaves, Vernon","TBB","DB",60.4,9.1,0.,8.9,0.7,1.4,0.8,0.,0.,0.,77.6
60,"Woods, Xavier","DAL","DB",53.4,19.6,0.,10.,1.5,1.3,0.,0.,0.,0.,77.3
61,"Gipson, Tashaun","HOU","DB",58.6,15.1,0.,7.4,1.6,0.,0.,0.,0.,0.,76.7
62,"Johnson, Trumaine","NYJ","DB",57.1,6.1,0.,8.,3.4,0.9,0.6,0.2,0.,0.,76.6
63,"Darby, Ronald","PHI","DB",54.5,6.1,0.5,15.,1.6,0.,0.,0.,0.,0.,76.2
64,"Nelson, Steven","PIT","DB",52.8,14.4,0.,10.9,1.8,1.7,0.,0.,0.,0.,76.1
65,"Desir, Pierre","IND","DB",56.1,18.4,0.,6.9,1.1,1.,0.,0.,0.,0.,75.4
66,"McDougald, Bradley","SEA","DB",56.6,13.7,0.,6.,1.7,1.8,0.4,0.,0.,0.,75.1
67,"Baker, Deandre","NYG","DB",57.3,10.7,0.,9.5,0.4,1.4,0.4,0.2,0.,0.,74.8
68,"Alexander, Jaire","GBP","DB",61.,9.7,0.8,5.6,0.9,0.1,0.1,0.,19.,0.,74.2
69,"Mills, Jalen","PHI","DB",51.9,10.6,0.2,14.1,1.3,0.,0.,0.,0.,0.,74.
70,"Griffin, Shaq","SEA","DB",55.1,7.6,0.5,11.5,0.8,0.,0.,0.,0.,0.,72.6
71,"Bradberry, James","CAR","DB",54.7,10.9,0.6,9.7,0.6,0.6,0.2,0.,0.,0.,72.4
72,"Apple, Eli","NOS","DB",51.2,13.5,0.3,9.7,1.3,0.8,0.8,0.,0.,0.,72.3
73,"Jenkins, Janoris","NYG","DB",51.3,9.8,0.,11.2,1.4,0.8,0.2,0.,0.,0.,71.3
74,"Howard, Xavien","MIA","DB",39.6,8.4,0.6,13.6,6.6,0.,0.,0.2,0.,0.,71.2
75,"Humphrey, Marlon","BAL","DB",44.7,11.6,0.,15.8,1.8,0.8,0.,0.,0.,0.,70.8
76,"Carrie, Travis","CLE","DB",53.9,12.2,0.6,6.4,0.5,1.8,0.8,0.,7.,20.,70.7
77,"Boston, Tre","CAR","DB",53.,14.1,0.,5.2,2.2,0.5,0.5,0.,0.,0.,70.7
78,"Williams, Marcus","NOS","DB",48.8,15.4,0.2,6.9,3.,0.7,0.2,0.,0.,0.,70.5
79,"McCourty, Jason","NEP","DB",46.8,11.7,0.2,13.7,1.1,0.8,0.2,0.,0.,0.,69.9
80,"Flowers, Tre","SEA","DB",51.6,13.1,0.2,7.1,0.2,2.5,1.4,0.,0.,0.,69.8
81,"Jenkins, Rayshawn","LAC","DB",53.1,16.3,0.9,5.4,0.7,0.4,0.3,0.,15.,60.,69.7
82,"Ramsey, Jalen","JAC","DB",55.9,4.9,0.,8.6,1.2,0.,0.,0.,0.,0.,69.5
