"Rank","Player","Team","Position","Rush","Rush Yds","Rush TDs","0-9 RushTDs","10-19 RushTDs","20-29 RushTDs","30-39 RushTDs","40-49 RushTDs","50+ RushTDs",">= 50yds",">= 100yds",">= 150yds",">= 200yds","Tgt","RZTgt","Rec","Rec Yds","Rec TDs",">= 50yds",">= 100yds","Punt Ret Yds","Kick Ret Yds","Fum Lost","Scoring Opps","Pts"
27,"Coleman, Tevin","SFO","RB",183.4,962.,5.,2.,0.,1.,0.5,0.9,0.6,11.8,1.9,0.6,0.2,43.3,8.6,34.4,299.,2.,1.2,0.6,0.,0.,0.5,21.4,167.
28,"Guice, Derrius","WAS","RB",171.9,774.,6.4,4.7,0.,0.,0.,0.,1.6,3.1,1.5,0.5,0.2,61.,4.7,46.1,375.,2.5,1.5,0.8,0.,88.,1.7,12.6,164.9
29,"Singletary, Devin","BUF","RB",244.6,924.,4.6,3.1,0.,1.6,0.,0.,0.,11.5,1.8,0.6,0.2,67.3,6.2,48.1,386.,0.9,1.5,0.8,0.,13.,0.4,15.,163.1
30,"Barber, Peyton","TBB","RB",284.8,1055.,7.1,7.1,0.,0.,0.,0.,0.,13.1,2.1,0.7,0.3,39.9,5.1,27.9,150.,0.5,0.6,0.3,0.,0.,1.4,33.1,163.
31,"Penny, Rashaad","SEA","RB",184.,989.,4.9,0.,3.1,1.9,0.,0.,0.,4.,2.,0.7,0.2,46.3,2.4,35.,296.,0.4,1.2,0.6,0.,151.,0.,12.1,160.7
32,"Hunt, Kareem","CLE","RB",140.2,633.,5.7,4.4,0.7,0.,0.6,0.,0.,2.5,1.3,0.4,0.2,32.4,6.4,23.7,304.,4.7,1.2,0.6,0.,133.,0.,24.1,156.4
33,"White, James","NEP","RB",82.8,358.,4.8,3.3,0.,1.5,0.,0.,0.,1.4,0.7,0.2,0.1,109.8,19.4,76.2,633.,4.5,2.5,1.3,0.,7.,0.,23.5,154.9
34,"Pollard, Tony","DAL","RB",250.,1000.,4.1,3.,0.8,0.3,0.,0.,0.,0.8,0.4,0.1,0.1,33.,0.6,22.,198.,0.6,0.2,0.1,0.,78.,1.,3.2,146.
35,"Peterson, Adrian","WAS","RB",231.3,892.,4.8,3.9,0.,0.,0.,0.,0.9,9.6,1.8,0.6,0.2,42.9,5.1,31.6,269.,0.5,1.1,0.5,0.,0.,0.9,12.7,146.
36,"Cohen, Tarik","CHI","RB",108.3,455.,3.3,2.3,0.5,0.5,0.,0.,0.,1.8,0.9,0.3,0.1,97.4,15.7,72.4,619.,3.4,2.5,1.2,366.,364.,2.8,18.3,142.3
37,"Sanders, Miles","PHI","RB",205.3,915.,3.3,2.,0.7,0.,0.,0.6,0.,3.4,1.7,0.6,0.2,51.7,3.1,40.4,316.,0.,1.3,0.6,21.,232.,0.7,15.8,141.2
38,"Ekeler, Austin","LAC","RB",119.3,585.,3.6,3.,0.,0.6,0.,0.,0.,2.3,1.2,0.4,0.1,70.1,7.8,51.5,456.,2.6,1.8,0.9,0.,22.,0.6,14.4,140.1
39,"McCoy, LeSean","KCC","RB",172.4,600.,2.2,2.2,0.,0.,0.,0.,0.,2.4,1.2,0.4,0.1,74.4,7.3,58.4,504.,2.5,2.,1.,0.,11.,0.,10.7,138.7
40,"Johnson, Duke","HOU","RB",149.8,630.,4.,3.1,0.5,0.,0.,0.,0.5,2.5,1.3,0.4,0.2,63.,6.6,49.1,417.,1.8,1.7,0.8,0.,0.,1.3,12.3,137.1
41,"Drake, Kenyan","MIA","RB",126.4,592.,3.2,0.8,0.9,0.,0.,0.5,0.9,2.4,1.2,0.4,0.1,59.2,5.4,41.6,369.,3.2,1.5,0.7,0.,168.,1.9,11.1,130.5
42,"Murray, Latavius","NOS","RB",142.9,599.,8.5,3.9,3.,0.9,0.7,0.,0.,2.4,1.2,0.4,0.1,29.9,3.,23.7,150.,0.6,0.6,0.3,4.,0.,0.3,14.6,129.1
