"Rank","Player","Team","Position","Tgt","RZTgt","Rec","Rec Yds","Rec TDs","0-9 RecTDs","10-19 RecTDs","20-29 RecTDs","30-39 RecTDs","40-49 RecTDs","50+ RecTDs",">= 50yds",">= 100yds",">= 150yds",">= 200yds","Rush Yds","Rush TDs","Punt Ret Yds","Kick Ret Yds","Fum Lost","Scoring Opps","Pts"
74,"Carrier, Derek","OAK","TE",16.2,1.4,8.1,70.,0.7,0.7,0.,0.,0.,0.,0.,0.3,0.1,0.1,0.,0.,0.,0.,13.,0.,1.1,11.1
75,"Warring, Kahale","HOU","TE",20.1,2.7,10.,100.,0.,0.,0.,0.,0.,0.,0.,0.4,0.2,0.1,0.,0.,0.,0.,0.,0.,0.6,10.
76,"Schultz, Dalton","DAL","TE",15.2,2.1,8.2,89.,0.,0.,0.,0.,0.,0.,0.,0.4,0.2,0.1,0.,0.,0.,0.,0.,0.,1.,8.9
77,"Smith Jr., Irv","MIN","TE",12.3,0.4,9.4,74.,0.,0.,0.,0.,0.,0.,0.,0.3,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,8.4
78,"Simonson, Scott","NYG","TE",9.7,5.,4.9,58.,0.2,0.2,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,0.,0.,0.,16.,0.,3.2,6.8
79,"Butt, Jake","DEN","TE",9.2,0.4,4.8,65.,0.,0.,0.,0.,0.,0.,0.,0.3,0.1,0.,0.,0.,0.,0.,0.,0.,0.4,6.5
80,"Braunecker, Ben","CHI","TE",4.6,0.,4.3,46.,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,0.,4.6
81,"Bell, Blake","KCC","TE",6.,0.5,4.5,43.,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,0.,0.,0.,6.,0.,0.5,4.3
82,"Auclair, Antony","TBB","TE",8.1,0.4,4.8,38.,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,0.,0.,0.,31.,0.,0.4,3.8
83,"Smythe, Durham","MIA","TE",7.6,0.3,4.2,35.,0.,0.,0.,0.,0.,0.,0.,0.1,0.1,0.,0.,1.,0.,0.,0.,0.,0.3,3.7
84,"Conklin, Tyler","MIN","TE",3.4,0.3,1.8,36.,0.,0.,0.,0.,0.,0.,0.,0.1,0.1,0.,0.,0.,0.,0.,4.,0.,0.,3.6
85,"Tonyan, Robert","GBP","TE",2.9,0.,1.9,23.,0.2,0.,0.,0.,0.,0.,0.2,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.2,3.4
86,"Manhertz, Chris","CAR","TE",3.9,1.3,1.8,22.,0.1,0.,0.,0.,0.,0.,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,1.4,3.
87,"Sprinkle, Jeremy","WAS","TE",4.5,2.2,1.4,13.,0.3,0.2,0.,0.,0.,0.,0.,0.1,0.,0.,0.,0.,0.,0.,6.,0.,2.,2.7
88,"Moreau, Foster","OAK","TE",6.1,1.8,1.9,22.,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,0.,0.,0.,0.,0.,1.4,2.2
89,"Izzo, Ryan","NEP","TE",8.3,0.9,1.9,19.,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.5,1.9
90,"Gathers, Rico","CLE","TE",4.6,1.2,1.1,14.,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.6,1.4
91,"Culkin, Sean","LAC","TE",1.5,0.,0.7,13.,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.7,1.3
92,"Brown, Daniel","NYJ","TE",4.4,1.,1.5,13.,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,0.,0.,0.,3.,0.,0.1,1.3
93,"Rodgers, Richard","PHI","TE",3.4,0.,1.5,12.,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.5,1.2
94,"Oliver, Josh","JAC","TE",11.6,1.9,0.6,11.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-2.2,0.,0.,7.,0.,1.,0.9
95,"Brown, Pharaoh","CLE","TE",4.,0.,1.,6.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,9.,0.,0.,0.6
96,"Gentry, Zach","PIT","TE",5.5,0.9,0.6,4.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.5,0.4
97,"Sample, Drew","CIN","TE",5.9,0.6,0.8,4.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.6,0.4
98,"Mundt, Johnny","LAR","TE",0.6,0.,0.4,2.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.2
99,"Hudson, Tanner","TBB","TE",2.8,0.9,0.1,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1
100,"Fumagalli, Troy","DEN","TE",5.1,0.,0.1,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1
101,"Raymond, Dax","CHI","TE",4.,2.9,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.7,0.
"","","","","","","","","","","","","","","","","","","","","","","","","",""
