"Rank","Player","Team","Position","Tgt","RZTgt","Rec","Rec Yds","Rec TDs","0-9 RecTDs","10-19 RecTDs","20-29 RecTDs","30-39 RecTDs","40-49 RecTDs","50+ RecTDs",">= 50yds",">= 100yds",">= 150yds",">= 200yds","Rush Yds","Rush TDs","Punt Ret Yds","Kick Ret Yds","Fum Lost","Scoring Opps","Pts"
65,"Westbrook, Dede","JAC","WR",83.8,11.3,47.2,562.,3.6,0.3,2.,0.,0.7,0.,0.7,2.2,1.1,0.4,0.1,39.,0.,163.,33.,1.5,10.,78.8
66,"Coutee, Keke","HOU","WR",92.5,13.6,55.6,645.,2.6,1.4,0.,0.,1.3,0.,0.,2.6,1.3,0.4,0.2,8.,0.,119.,61.,1.2,9.7,78.6
67,"Ross, John","CIN","WR",82.7,13.8,33.6,334.,7.3,5.,0.3,1.1,0.8,0.,0.,1.3,0.7,0.2,0.1,13.,0.,24.,88.,0.,13.1,78.3
68,"Wilson, Albert","MIA","WR",71.1,5.5,43.6,542.,3.3,0.,0.7,1.4,0.,0.1,1.1,2.2,1.1,0.4,0.1,13.,0.,2.,12.,0.,5.9,75.4
69,"Tate, Golden","NYG","WR",82.9,10.3,48.6,582.,2.3,1.1,0.4,0.5,0.,0.,0.3,4.3,1.2,0.4,0.1,19.,0.,11.,19.,0.,8.,74.7
70,"Williams, Tyrell","OAK","WR",73.5,8.6,45.2,547.,3.2,1.1,0.9,0.3,0.3,0.,0.6,2.2,1.1,0.4,0.1,8.,0.,0.,0.,0.3,7.9,74.5
71,"Higgins, Rashard","CLE","WR",59.2,6.1,38.1,536.,3.8,0.2,2.6,0.8,0.,0.,0.2,2.1,1.1,0.4,0.1,0.,0.,0.,0.,1.,4.5,74.2
72,"Crowder, Jamison","NYJ","WR",112.2,10.7,60.6,654.,1.1,1.,0.,0.,0.,0.,0.,2.6,1.3,0.4,0.2,30.,0.,0.,0.,0.6,8.1,73.7
73,"Agholor, Nelson","PHI","WR",75.2,9.8,46.7,529.,3.,1.1,0.4,0.8,0.,0.,0.6,2.1,1.1,0.4,0.1,30.,0.,0.,0.,0.,7.4,73.7
74,"Jones, Zay","BUF","WR",79.5,12.7,40.9,458.,4.1,0.8,2.,1.,0.4,0.,0.,1.8,0.9,0.3,0.1,2.,0.,6.,18.,0.,9.4,72.2
75,"Stills, Kenny","HOU","WR",61.6,5.3,33.9,467.,4.1,1.,1.2,0.,1.4,0.,0.6,1.9,0.9,0.3,0.1,5.,0.,71.,21.,0.8,7.5,71.4
76,"Enunwa, Quincy","NYJ","WR",94.8,11.8,50.9,611.,1.7,0.3,0.5,1.,0.,0.,0.,2.4,1.2,0.4,0.2,2.,0.,15.,163.,0.9,5.8,69.9
77,"Roberts, Seth","BAL","WR",84.4,7.7,49.4,537.,2.4,1.4,0.,0.5,0.5,0.,0.,2.1,1.1,0.4,0.1,-3.2,0.,0.,101.,0.,7.,68.
78,"Chark, D.J.","JAC","WR",90.3,7.7,51.6,622.,1.1,0.6,0.,0.,0.,0.,0.5,2.5,1.2,0.4,0.2,9.,0.,2.,45.,1.1,7.5,67.8
79,"Gabriel, Taylor","CHI","WR",90.,5.4,54.9,554.,0.5,0.3,0.,0.,0.,0.2,0.,2.2,1.1,0.4,0.1,59.,0.,0.,0.,0.9,4.6,62.6
80,"Callaway, Antonio","CLE","WR",58.9,5.5,30.8,426.,3.3,2.,1.,0.,0.,0.4,0.,1.7,0.9,0.3,0.1,4.,0.,37.,76.,0.8,6.3,62.5
81,"Humphries, Adam","TEN","WR",81.,12.6,50.9,519.,1.8,1.,0.3,0.5,0.,0.,0.,2.1,1.,0.3,0.1,4.,0.,77.,72.,0.4,7.2,62.5
82,"Rogers, Chester","IND","WR",75.2,6.7,52.1,489.,1.8,1.1,0.5,0.,0.,0.,0.2,2.,1.,0.3,0.1,-2.3,0.,183.,11.,0.,2.5,61.7
83,"Bourne, Kendrick","SFO","WR",65.9,11.1,36.,450.,2.7,2.4,0.,0.2,0.,0.,0.,1.8,0.9,0.3,0.1,0.,0.,8.,33.,0.,7.,60.9
84,"Hardman, Mecole","KCC","WR",74.6,10.4,41.9,589.,0.7,0.,0.7,0.,0.,0.,0.,2.4,1.2,0.4,0.1,6.,0.,4.,60.,1.6,4.3,60.2
85,"Hamilton, DaeSean","DEN","WR",81.2,7.3,47.4,487.,1.9,1.9,0.,0.,0.,0.,0.,1.9,1.,0.3,0.1,-6.3,0.,0.,16.,0.3,5.9,59.1
86,"Amendola, Danny","DET","WR",94.2,5.7,56.1,545.,0.7,0.7,0.,0.,0.,0.,0.,2.2,1.1,0.4,0.1,1.,0.,67.,22.,0.,6.,58.8
87,"Hurd, Jalen","SFO","WR",49.,2.6,21.3,585.,0.,0.,0.,0.,0.,0.,0.,0.9,0.4,0.1,0.1,2.,0.,77.,16.,0.1,1.7,58.6
88,"Foster, Robert","BUF","WR",45.,3.9,24.9,430.,2.6,1.3,0.,0.,0.,0.7,0.5,1.7,0.9,0.3,0.1,0.,0.,11.,5.,0.,3.6,58.4
89,"Reynolds, Josh","LAR","WR",58.8,13.9,30.3,398.,2.6,1.8,0.8,0.1,0.,0.,0.,1.6,0.8,0.3,0.1,22.,0.,7.,8.,0.,9.7,57.8
90,"Grant, Jakeem","MIA","WR",58.2,2.5,33.3,394.,1.6,0.,0.1,0.8,0.,0.,0.7,1.6,0.8,0.3,0.1,10.,0.,140.,208.,0.3,2.3,49.2
91,"Brown, A.J.","TEN","WR",58.6,6.,32.7,444.,0.6,0.,0.3,0.,0.,0.,0.3,1.8,0.9,0.3,0.1,5.,0.,0.,81.,0.5,3.6,47.7
92,"Hogan, Chris","CAR","WR",53.7,7.1,27.8,386.,1.2,0.4,0.,0.,0.,0.,0.8,1.5,0.8,0.3,0.1,4.,0.3,5.,54.,0.4,6.2,47.3
93,"Patterson, Cordarrelle","CHI","WR",29.3,1.4,17.4,168.,1.5,0.6,0.,0.,0.9,0.,0.,0.7,0.3,0.1,0.,162.,0.6,0.,381.,0.,5.7,46.5
94,"Beasley, Cole","BUF","WR",64.4,5.3,37.6,408.,0.8,0.,0.,0.,0.8,0.,0.,1.6,0.8,0.3,0.1,8.,0.,43.,15.,0.,2.9,46.2
95,"Moore, Chris","BAL","WR",47.7,4.4,30.,332.,1.7,1.5,0.2,0.,0.,0.,0.,1.3,0.7,0.2,0.1,22.,0.,11.,497.,0.,2.,45.6
96,"Slayton, Darius","NYG","WR",61.,6.7,32.9,372.,1.3,0.8,0.3,0.1,0.,0.,0.1,1.5,0.7,0.2,0.1,2.,0.,14.,66.,0.,3.4,45.2
97,"Wright, Jarius","CAR","WR",54.4,4.7,35.6,393.,0.4,0.2,0.,0.,0.,0.,0.2,1.6,0.8,0.3,0.1,19.,0.,3.,4.,0.6,2.5,44.4
98,"Cobb, Randall","DAL","WR",78.9,6.8,43.,394.,0.9,0.,0.,0.9,0.,0.,0.,1.6,0.8,0.3,0.1,6.,0.,35.,39.,1.8,3.6,42.
99,"Beebe, Chad","MIN","WR",56.9,4.8,31.6,278.,2.1,0.7,1.,0.,0.4,0.,0.,1.1,0.6,0.2,0.1,5.,0.,0.,0.,0.,3.4,41.1
100,"Taylor, Trent","SFO","WR",48.7,7.3,28.8,301.,1.4,1.1,0.,0.3,0.,0.,0.,1.2,0.6,0.2,0.1,0.,0.,59.,84.,0.,3.8,39.9
101,"Brown, Marquise","BAL","WR",49.4,6.4,27.,300.,1.6,1.6,0.,0.,0.,0.,0.,1.2,0.6,0.2,0.1,2.,0.,0.,137.,0.,4.4,39.6
102,"Moore, David","SEA","WR",41.7,6.1,18.7,266.,2.1,0.4,0.8,0.,0.8,0.,0.2,1.1,0.5,0.2,0.1,1.,0.,14.,57.,0.,4.3,39.3
103,"Latimer, Cody","NYG","WR",34.3,1.1,20.5,307.,1.3,0.1,0.,1.1,0.,0.,0.,1.2,0.6,0.2,0.1,0.,0.,26.,287.,0.,2.2,39.2
104,"Taylor, Taywan","CLE","WR",44.6,3.2,26.4,357.,0.6,0.,0.6,0.,0.,0.,0.,1.4,0.7,0.2,0.1,-0.2,0.,0.,0.,0.6,1.3,38.2
105,"Crabtree, Michael","ARZ","WR",63.8,6.1,29.8,310.,1.,0.5,0.5,0.,0.,0.,0.,1.2,0.6,0.2,0.1,5.,0.,57.,0.,0.,4.1,37.5
106,"Pascal, Zach","IND","WR",41.1,7.9,24.4,264.,1.5,0.6,0.7,0.,0.2,0.,0.,1.1,0.5,0.2,0.1,14.,0.,0.,263.,0.,6.6,36.8
107,"Renfrow, Hunter","OAK","WR",64.6,3.2,34.9,335.,0.4,0.,0.4,0.,0.,0.,0.,1.3,0.7,0.2,0.1,1.,0.,93.,57.,0.,2.3,35.9
108,"Robinson, Demarcus","KCC","WR",33.4,6.1,20.8,233.,2.,1.,0.9,0.,0.,0.,0.1,0.9,0.5,0.2,0.1,0.,0.,-1.1,9.,0.,4.1,35.2
109,"Cole, Keelan","JAC","WR",60.6,7.2,29.5,361.,0.2,0.,0.,0.2,0.,0.,0.,1.4,0.7,0.2,0.1,0.,0.,21.,54.,1.8,2.9,33.7
110,"Kirkwood, Keith","NOS","WR",24.,4.3,15.2,168.,2.6,2.5,0.,0.,0.1,0.,0.,0.7,0.3,0.1,0.,-0.5,0.,0.,17.,0.,3.,32.4
111,"Hardy, Justin","ATL","WR",26.8,7.1,16.6,167.,2.6,1.8,0.8,0.,0.,0.,0.,0.7,0.3,0.1,0.,0.,0.,97.,4.,0.,4.9,32.3
112,"Inman, Dontrelle","LAC","WR",33.7,6.9,18.1,215.,1.7,1.5,0.3,0.,0.,0.,0.,0.9,0.4,0.1,0.1,-0.7,0.,10.,13.,0.,6.3,31.8
113,"Watson, Justin","TBB","WR",56.1,4.1,24.8,296.,0.,0.,0.,0.,0.,0.,0.,1.2,0.6,0.2,0.1,9.,0.,54.,341.,0.,2.1,31.6
