Player,Team,Tackle,Assist,Sack,PD,INT,FF,FR
Deion Jones,ATL,94,47,1.,10,3,1,0
C.J. Mosley,BAL,90,41,2.,8,2,2,2
Alec Ogletree,NYG,95,33,1.,9,2,2,1
Jamie Collins,CLE,75,44,5.5,5,1,3,2
Blake Martinez,GB,92,46,1.,8,1,1,1
Luke Kuechly,CAR,82,47,1.5,7,2,1,1
Christian Kirksey,CLE,85,50,3.5,4,0,1,1
Bobby Wagner,SEA,83,44,3.5,5,1,1,0
Kwon Alexander,TB,82,32,3.,6,2,1,1
Lavonte David,TB,75,33,4.,5,1,3,2
Telvin Smith,JAC,83,28,1.5,6,2,1,1
Zach Brown,WAS,80,48,3.,3,1,1,0
Malcolm Smith,SF,90,20,2.,4,1,2,1
Wesley Woodyard,TEN,77,36,3.5,5,1,1,0
Preston Brown,CIN,81,58,0.5,2,1,1,0
Tremaine Edmunds,BUF,70,38,3.5,5,1,2,1
Eric Kendricks,MIN,69,40,2.,7,1,1,1
Von Miller,DEN,52,10,11.5,3,0,3,1
Brandon Marshall,DEN,78,29,2.5,6,1,1,0
Benardrick McKinney,HOU,73,44,4.,1,0,1,0
Thomas Davis,CAR,72,30,2.5,5,1,2,1
Sean Lee,DAL,82,36,0.,6,1,1,0
Vince Williams,PIT,71,23,7.,2,0,0,0
Jarrad Davis,DET,70,35,2.5,4,1,1,1
Mark Barron,LAR,75,24,1.,7,2,1,0
Roquan Smith,CHI,69,31,2.5,6,1,1,1
Avery Williamson,NYJ,69,39,3.,2,1,1,0
Justin Houston,KC,48,10,10.5,5,1,1,1
Danny Trevathan,CHI,70,33,1.,5,1,1,0
Joe Schobert,CLE,65,40,2.5,3,1,2,0
Tahir Whitehead,OAK,77,30,1.,5,1,1,0
Kiko Alonso,MIA,69,43,1.,3,1,1,1
T.J. Watt,PIT,50,20,8.,7,1,1,0
Nigel Bradham,PHI,66,29,2.5,6,1,1,1
Darron Lee,NYJ,68,29,3.,3,0,2,1
Darius Leonard,IND,68,35,3.,5,0,1,0
DeMario Davis,NO,71,35,3.,2,0,0,1
