Player,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD
Jacksonville Jaguars,49,9,17,4,282,190.,111.4,1,1
Baltimore Ravens,39,11,19,4,308,226.3,103.4,0,1
Los Angeles Chargers,44,10,16,4,321,219.4,114.4,1,1
Philadelphia Eagles,41,10,17,4,297,239.3,87.6,1,1
Los Angeles Rams,44,9,17,3,339,228.8,118.1,0,1
Minnesota Vikings,45,8,15,3,291,208.,96.2,1,1
Pittsburgh Steelers,43,12,15,2,330,216.9,104.1,0,1
Denver Broncos,38,11,13,3,376,190.4,110.6,1,1
Houston Texans,40,9,14,3,365,245.3,105.3,0,1
Detroit Lions,33,10,14,2,382,254.8,110.,2,2
New Orleans Saints,39,9,17,2,370,240.6,110.6,0,1
Seattle Seahawks,40,11,16,2,340,219.3,111.,1,0
Arizona Cardinals,36,9,14,3,352,217.5,93.1,1,1
Carolina Panthers,43,9,13,2,348,242.5,90.8,1,1
Kansas City Chiefs,30,12,13,2,362,258.1,111.8,1,2
New England Patriots,39,9,13,2,282,259.7,108.7,1,1
Chicago Bears,39,11,9,3,360,216.3,114.6,0,1
Tampa Bay Buccaneers,28,11,15,3,390,259.4,110.,1,0
Dallas Cowboys,39,11,9,2,311,242.5,90.6,0,1
Atlanta Falcons,36,10,11,3,339,232.3,106.3,0,0
Miami Dolphins,31,7,11,2,386,240.9,121.3,1,2
Green Bay Packers,36,9,13,2,360,259.9,103.4,0,0
Buffalo Bills,31,7,14,3,363,235.,128.5,0,0
Tennessee Titans,35,8,12,2,306,246.4,92.5,1,0
Washington Redskins,36,7,13,1,379,229.7,129.9,0,1
San Francisco 49ers,29,10,10,1,420,245.4,109.7,1,1
Cincinnati Bengals,37,6,13,1,320,234.1,120.,0,0
New York Giants,31,7,11,2,400,266.8,116.1,1,0
Cleveland Browns,31,7,11,1,416,232.8,108.8,0,1
New York Jets,30,7,10,1,371,255.1,108.2,0,0
Oakland Raiders,29,10,8,0,386,256.8,114.3,1,0
Indianapolis Colts,28,6,9,1,416,265.,122.5,1,0
