Player,Team,FGM,FGA,FG%,EPM,EPA
Stephen Gostkowski,NE,33,37,89.2,49,51
Justin Tucker,BAL,35,38,92.1,37,38
Greg Zuerlein,LAR,33,36,91.7,41,42
Chris Boswell,PIT,32,36,88.9,38,40
Matt Bryant,ATL,31,35,88.6,39,41
Harrison Butker,KC,31,35,88.6,36,37
Mason Crosby,GB,27,32,84.4,46,49
Graham Gano,CAR,31,35,88.6,31,34
Wil Lutz,NO,27,32,84.4,42,45
Jake Elliott,PHI,26,31,83.9,44,46
Caleb Sturgis,LAC,26,31,83.9,40,42
Robbie Gould,SF,30,35,85.7,27,29
Brett Maher,DAL,26,30,86.7,39,41
Adam Vinatieri,IND,28,32,87.5,32,34
Matt Prater,DET,25,29,86.2,39,40
Daniel Carlson,MIN,27,32,84.4,33,33
Ka'imi Fairbairn,HOU,26,30,86.7,35,39
Ryan Succop,TEN,26,32,81.3,35,38
Josh Lambo,JAC,25,29,86.2,36,39
Sebastian Janikowski,SEA,24,30,80.,39,41
Phil Dawson,ARI,26,33,78.8,33,35
Cody Parkey,CHI,25,30,83.3,34,38
Steve Hauschka,BUF,27,31,87.1,26,29
Chandler Catanzaro,TB,23,27,85.2,35,38
Brandon McManus,DEN,22,28,78.6,35,36
Randy Bullock,CIN,21,24,87.5,36,37
Aldrick Rosas,NYG,20,26,76.9,37,41
Zane Gonzalez,CLE,20,26,76.9,33,35
Mike Nugent,OAK,20,25,80.,32,34
Dustin Hopkins,WAS,19,24,79.2,34,36
Jason Myers,NYJ,19,23,82.6,33,33
Jason Sanders,MIA,19,23,82.6,32,35
