Player,Team,Tackle,Assist,Sack,PD,INT,FF,FR
Landon Collins,NYG,88,26,2.,11,3,2,1
Reshad Jones,MIA,92,28,1.5,6,2,0,1
Keanu Neal,ATL,81,33,0.,7,1,4,2
Harrison Smith,MIN,65,19,2.5,11,3,1,1
Tyrann Mathieu,HOU,68,6,1.,14,4,1,0
Malcolm Jenkins,PHI,59,23,1.5,11,3,2,1
Ha'Sean Clinton-Dix,GB,70,17,1.5,7,4,1,0
Budda Baker,ARI,69,20,1.5,10,2,2,1
Kevin Byard,TEN,65,23,0.5,11,4,0,1
Darius Slay,DET,55,10,0.,18,6,1,0
Jamal Adams,NYJ,70,25,2.5,8,1,1,1
Tre'Davious White,BUF,58,21,0.,16,3,1,1
Marshon Lattimore,NO,50,11,0.,20,5,1,0
Earl Thomas,SEA,65,26,0.,10,3,1,1
Jordan Poyer,BUF,58,28,1.,12,3,1,1
Jalen Mills,PHI,62,14,0.,13,4,0,0
Kenny Vaccaro,TEN,71,29,2.,9,1,0,0
Jalen Ramsey,JAC,55,14,0.,15,4,1,0
A.J. Bouye,JAC,50,8,0.,17,5,1,0
Casey Hayward,LAC,50,9,0.,16,5,1,0
Josh Norman,WAS,44,14,0.,14,5,2,1
Eric Weddle,BAL,50,22,1.,8,4,1,1
James Bradberry,CAR,65,18,1.,13,2,1,0
D.J. Swearinger,WAS,63,13,1.5,10,3,1,0
Terrell Edmunds,PIT,60,19,2.,10,2,1,1
Glover Quin,DET,62,16,0.,6,3,1,1
Matthias Farley,IND,62,35,0.,9,2,1,0
Adoree Jackson,TEN,58,9,0.,14,2,2,1
Eric Berry,KC,61,12,2.5,10,2,1,0
Marcus Peters,LAR,48,7,0.,14,5,1,0
Justin Evans,TB,62,19,0.,8,4,0,0
Micah Hyde,BUF,61,15,1.,11,3,0,0
Josh Jones,GB,65,15,2.,8,2,0,0
Eddie Jackson,CHI,62,19,1.,6,2,1,2
Desmond King,LAC,70,12,3.,4,1,0,0
Barry Church,JAC,60,18,1.,8,2,1,1
Jessie Bates III,CIN,62,16,1.,8,2,1,0
Devin McCourty,NE,72,16,0.5,5,1,1,0
John Johnson,LAR,61,22,0.,11,2,0,1
Derwin James,LAC,60,16,1.,9,2,1,0
Marcus Williams,NO,62,16,0.,9,3,0,0
Malcolm Butler,TEN,55,12,1.,14,2,1,1
Kyle Fuller,CHI,55,8,0.,16,3,1,0
Janoris Jenkins,NYG,48,6,1.,14,3,1,0
Jason McCourty,NE,55,10,1.,11,2,2,1
Marcus Gilchrist,OAK,58,20,1.,8,2,1,0
Denzel Ward,CLE,59,13,0.,17,2,0,0
Vonn Bell,NO,60,22,2.5,3,0,2,1
Trumaine Johnson,NYJ,55,10,0.,13,2,1,0
Damarious Randall,CLE,50,8,0.,9,4,1,0
Rodney McLeod,PHI,55,13,0.,7,3,2,1
Xavien Howard,MIA,42,6,1.,13,4,1,0
Tony Jefferson,BAL,60,21,2.,4,1,1,0
Quandre Diggs,DET,53,11,1.5,8,3,1,0
Morgan Burnett,PIT,60,22,1.,5,1,1,1
Jahleel Addae,LAC,64,28,0.5,4,1,0,0
Marcus Maye,NYJ,60,22,0.,5,1,2,1
Mike Adams,CAR,50,19,0.,9,2,2,2
Trae Waynes,MIN,56,11,0.5,15,2,0,0
T.J. Carrie,CLE,66,12,0.,8,1,1,0
Darian Stewart,DEN,55,12,0.,7,3,1,1
Robert Alford,ATL,55,9,0.,18,2,0,0
Kurt Coleman,NO,52,25,1.,6,2,1,0
Jourdan Lewis,DAL,51,11,0.,13,3,1,0
Tramon Williams,GB,50,10,1.,13,2,1,1
Ronald Darby,PHI,58,8,0.,15,2,0,0
Brent Grimes,TB,47,6,0.,16,4,0,0
Logan Ryan,TEN,60,12,0.,11,1,1,0
Shaquill Griffin,SEA,55,11,1.,14,1,0,0
Reggie Nelson,OAK,50,14,0.,8,3,1,0
Antoine Bethea,ARI,46,11,1.,7,3,1,1
Jeff Heath,DAL,60,9,0.,4,2,1,0
Byron Jones,DAL,55,20,0.,8,1,1,0
Patrick Chung,NE,60,18,0.,7,1,0,0
Dre Kirkpatrick,CIN,54,10,0.,12,2,0,0
Ricardo Allen,ATL,60,22,0.,5,1,0,0
Kendall Fuller,KC,50,16,0.,11,2,0,0
Eric Murray,KC,50,12,2.,7,1,1,0
Aqib Talib,LAR,33,9,0.,12,4,1,0
Xavier Rhodes,MIN,44,10,0.,11,3,1,0
Minkah Fitzpatrick,MIA,50,5,1.,8,2,1,0
Sean Davis,PIT,52,15,1.5,4,1,1,0
Jabrill Peppers,CLE,50,16,0.,6,2,1,0
Stephon Gilmore,NE,44,4,0.,13,3,1,0
Artie Burns,PIT,50,8,0.,13,2,0,0
Anthony Brown,DAL,44,11,1.,10,2,1,0
Jamar Taylor,ARI,47,12,0.,10,2,1,0
Adrian Amos,CHI,60,8,0.,3,1,1,0
Chris Conte,TB,50,12,0.,6,2,1,0
Vernon Hargreaves,TB,60,8,0.,6,1,0,0
Chris Harris,DEN,38,8,0.,9,3,1,0
Cordrea Tankersley,MIA,35,12,1.,14,3,0,0
Lamarcus Joyner,LAR,49,12,1.,7,1,1,0
Desmond Trufant,ATL,40,6,1.,12,2,1,1
Jaquiski Tartt,SF,50,14,1.5,3,1,1,0
Malik Hooker,IND,32,11,0.,11,5,0,0
Buster Skrine,NYJ,48,11,1.,6,1,1,1
Ahkello Witherspoon,SF,42,9,0.,14,2,1,0
Orlando Scandrick,KC,45,7,1.,8,2,1,0
K'Waun Williams,SF,45,10,1.,6,1,2,1
Justin Coleman,SEA,36,12,1.5,9,2,0,0
Bradley McDougald,SEA,52,15,0.,8,1,0,0
Rashaan Melvin,OAK,45,6,0.,14,2,0,0
Erik Harris,OAK,49,16,1.5,4,1,0,0
Nickell Robey,LAR,38,9,1.,10,2,1,1
Ross Cockrell,CAR,39,14,0.,12,2,1,0
Quincy Wilson,IND,43,8,0.,14,2,0,0
Brandon Carr,BAL,50,9,0.,11,1,0,0
Richard Sherman,SF,39,13,0.,11,0,0,1
Kareem Jackson,HOU,50,9,0.,6,2,0,0
Trevor Williams,LAC,46,8,0.,10,2,0,0
Patrick Robinson,NO,40,7,0.5,11,2,1,0
Darqueze Dennard,CIN,46,20,1.,4,1,0,0
Mike Hilton,PIT,44,14,2.,5,1,0,0
Andrew Sendejo,MIN,46,22,0.5,4,1,0,0
Will Parks,DEN,44,16,0.,6,2,0,0
Ron Parker,KC,38,12,1.,6,2,1,0
Brian Poole,ATL,44,15,1.,6,1,0,0
Tavon Young,BAL,46,11,0.,8,1,0,1
Bradley Roby,DEN,34,6,1.,12,2,1,0
Jaire Alexander,GB,38,6,0.,10,3,0,0
Eli Apple,NYG,44,14,0.,8,1,0,1
Kevin King,GB,45,11,0.,10,1,0,0
Ken Crawley,NO,44,6,0.,13,1,0,0
Tavon Wilson,DET,43,11,1.,5,1,0,1
Prince Amukamara,CHI,45,3,0.,10,1,1,0
Karl Joseph,OAK,40,14,1.,5,1,1,0
Tashaun Gipson,JAC,50,10,0.,4,1,0,0
Justin Reid,HOU,40,18,1.,5,1,0,0
George Iloka,MIN,44,19,0.,4,1,0,0
Johnathan Joseph,HOU,40,10,0.,9,1,1,0
T.J. McDonald,MIA,42,16,1.,3,1,0,0
Montae Nicholson,WAS,39,12,0.5,5,2,0,0
Shawn Williams,CIN,44,13,0.,5,1,0,0
Da'Norris Searcy,CAR,38,11,0.,6,2,0,0
Mike Hughes,MIN,40,6,0.,11,1,0,0
Steven Nelson,KC,42,7,0.,10,0,1,0
Vontae Davis,BUF,33,6,0.,12,2,0,0
Jimmy Smith,BAL,33,4,0.,10,2,0,1
Derrick Kindred,CLE,40,14,0.,5,1,0,0
Aaron Colvin,HOU,41,8,2.,4,0,0,0
