Player,Team,Tackle,Assist,Sack,PD,INT,FF,FR
J.J. Watt,HOU,50,15,15.5,7,0,2,1
Joey Bosa,LAC,52,18,12.5,2,0,3,1
Chandler Jones,ARI,39,10,14.5,3,0,4,2
Calais Campbell,JAC,44,20,13.5,4,0,2,1
Aaron Donald,LAR,36,13,11.5,4,0,3,1
Melvin Ingram,LAC,40,14,10.5,5,0,2,1
Cameron Jordan,NO,36,14,11.,6,0,2,1
Demarcus Lawrence,DAL,34,18,11.5,1,0,2,1
Everson Griffen,MIN,34,14,11.5,3,0,2,1
Danielle Hunter,MIN,36,25,10.5,2,0,1,1
Cameron Heyward,PIT,35,20,11.,3,0,1,1
Carlos Dunlap,CIN,33,18,9.5,6,0,2,1
Ziggy Ansah,DET,37,9,10.5,1,0,2,1
Vic Beasley,ATL,30,7,10.,3,0,4,1
Jason Pierre-Paul,TB,38,20,7.5,6,0,2,0
Olivier Vernon,NYG,40,18,8.,1,0,2,1
Myles Garrett,CLE,33,16,9.5,2,0,2,1
Trey Flowers,NE,44,19,7.,2,0,1,1
Khalil Mack,CHI,40,14,8.5,2,0,1,1
Akiem Hicks,CHI,39,20,7.5,3,0,1,1
Muhammad Wilkerson,GB,30,25,7.5,3,1,1,1
Emmanuel Ogbah,CLE,31,20,7.5,6,0,2,1
Brandon Graham,PHI,38,15,7.,3,0,2,1
Yannick Ngakoue,JAC,26,8,10.5,1,0,3,1
Chris Jones,KC,26,13,7.5,5,1,3,1
Leonard Williams,NYJ,35,38,5.5,2,0,1,1
Mario Addison,CAR,25,12,10.5,1,0,2,1
Jabaal Sheard,IND,31,18,6.5,4,0,3,1
Harold Landry,TEN,31,13,8.5,4,0,1,1
DeForest Buckner,SF,44,20,5.,3,0,1,0
Malik Jackson,JAC,32,8,8.,4,0,2,1
Ndamukong Suh,LAR,33,22,6.5,4,0,1,1
Frank Clark,SEA,21,18,9.5,2,0,2,1
Kawann Short,CAR,30,22,6.5,3,0,2,1
Damon Harrison,NYG,52,30,2.,2,0,0,0
Robert Quinn,MIA,28,14,7.5,3,0,2,1
Jurrell Casey,TEN,36,16,6.5,3,0,1,0
Geno Atkins,CIN,32,14,9.,1,0,0,0
Marcus Davenport,NO,22,12,8.,5,0,2,2
Linval Joseph,MIN,38,28,3.5,1,0,2,1
Solomon Thomas,SF,40,14,5.5,1,0,1,1
Cameron Wake,MIA,22,8,9.5,1,0,2,1
Fletcher Cox,PHI,25,12,7.5,2,0,1,2
Julius Peppers,CAR,19,9,9.5,2,0,2,0
Gerald McCoy,TB,30,10,6.5,3,0,1,1
Olsen Pierre,ARI,29,12,6.5,2,0,1,0
Jerry Hughes,BUF,30,16,5.,2,0,1,1
Derek Wolfe,DEN,33,13,5.5,3,0,0,0
Jonathan Allen,WAS,28,21,5.5,1,0,1,0
Stephon Tuitt,PIT,31,8,5.5,2,0,1,1
Markus Golden,ARI,18,8,7.5,3,0,2,1
Michael Bennett,PHI,25,12,7.5,1,0,0,0
A'Shawn Robinson,DET,32,19,2.,6,1,0,0
Bennie Logan,TEN,36,17,2.5,1,0,1,0
Nazair Jones,SEA,25,20,4.5,2,0,0,1
Grady Jarrett,ATL,32,22,3.5,0,0,0,0
Mike Daniels,GB,26,14,4.5,1,0,1,1
Kerry Hyder,DET,22,13,6.5,2,0,0,0
DaQuan Jones,TEN,26,17,4.5,0,0,1,0
Malcom Brown,NE,30,25,3.,0,0,0,0
Willie Henry,BAL,26,10,4.5,3,0,0,1
Brandon Williams,BAL,33,18,2.,1,0,1,0
Noah Spence,TB,20,10,5.,1,0,2,1
Derek Barnett,PHI,22,5,6.,0,0,1,1
Jordan Willis,CIN,26,10,4.5,3,0,0,0
Takkarist McKinley,ATL,18,7,6.5,2,0,0,1
David Irving,DAL,16,11,5.,2,0,2,1
Michael Pierce,BAL,31,16,1.5,1,0,1,1
Deatrich Wise,NE,20,12,6.,1,0,0,0
Dalvin Tomlinson,NYG,32,22,1.5,2,0,0,0
Tyrone Crawford,DAL,22,12,4.5,1,0,1,0
Matthew Ioannidis,WAS,18,12,5.5,1,0,1,0
Anthony Zettel,DET,25,7,4.5,0,0,1,0
