Rank,Player,Team,Opp,Position,PUNTS,PUNT_YDS,PUNT_RETURN_YD,PUNT_INSIDE20,Pts
1,"Way, Tress",WAS,NYG,P,4.9,237.0,18.0,2.0,16.8
2,"Mann, Braden",NYJ,NEP,P,5.5,248.0,28.0,1.2,16.0
3,"Dickson, Michael",SEA,@BUF,P,4.4,212.0,15.0,2.1,15.5
4,"O'Donnell, Pat",CHI,@TEN,P,4.7,213.0,20.0,1.9,15.2
5,"Haack, Matt",MIA,@ARI,P,4.7,209.0,14.0,1.9,15.1
6,"Fox, Jack",DET,@MIN,P,4.2,211.0,9.0,1.6,14.5
7,"Berry, Jordan",PIT,@DAL,P,4.4,194.0,13.0,1.5,13.6
8,"Bailey, Jake",NEP,@NYJ,P,3.9,176.0,6.0,1.9,13.5
9,"Cooke, Logan",JAC,HOU,P,4.1,191.0,8.0,1.5,13.4
10,"Lee, Andy",ARI,MIA,P,4.2,193.0,16.0,1.4,13.2
11,"Dixon, Riley",NYG,@WAS,P,4.0,176.0,7.0,1.7,12.8
12,"Anger, Bryan",HOU,@JAC,P,3.6,170.0,8.0,1.6,12.3
13,"Martin, Sam",DEN,@ATL,P,4.0,186.0,17.0,1.2,12.1
14,"Scott, J.K.",GBP,@SFO,P,4.0,177.0,13.0,1.4,12.0
15,"Morstead, Thomas",NOS,@TBB,P,3.6,159.0,7.0,1.6,11.9
16,"Bojorquez, Corey",BUF,SEA,P,3.6,158.0,11.0,1.5,11.5
17,"Sanchez, Rigoberto",IND,BAL,P,3.4,155.0,7.0,1.7,11.4
18,"Pinion, Bradley",TBB,NOS,P,3.7,162.0,11.0,1.2,11.3
19,"Colquitt, Britton",MIN,DET,P,3.7,166.0,15.0,1.1,11.1
20,"Cole, A.J.",LVR,@LAC,P,3.2,146.0,14.0,1.4,10.7
21,"Koch, Sam",BAL,@IND,P,3.1,143.0,11.0,1.4,10.5
22,"Wishnowsky, Mitch",SFO,GBP,P,3.2,145.0,9.0,1.4,10.4
23,"Long, Ty",LAC,LVR,P,3.5,162.0,21.0,1.0,10.3
24,"Townsend, Tommy",KCC,CAR,P,3.1,144.0,8.0,1.2,10.1
25,"Hofrichter, Sterling",ATL,DEN,P,3.1,130.0,5.0,1.0,9.0
26,"Charlton, Joseph",CAR,@KCC,P,2.6,120.0,11.0,1.0,8.6
27,"Niswander, Hunter",DAL,PIT,P,2.8,118.0,7.0,0.7,7.8

