Rank,Player,Team,Opp,Position,GAMES_WON,GAMES_LOST,POINTS_SCORED,POINTS_DIFF,Pts
1,"Payton, Sean",NOS,GBP,HC,1.0,0.0,35.0,22.0,28.1
2,"Arians, Bruce",TBB,@DEN,HC,1.0,0.0,35.0,20.0,27.5
3,"Belichick, Bill",NEP,LVR,HC,1.0,0.0,35.0,18.0,26.9
4,"Reid, Andy",KCC,@BAL,HC,1.0,0.0,35.0,18.0,26.9
5,"Vrabel, Mike",TEN,@MIN,HC,1.0,0.0,33.0,14.0,24.7
6,"Harbaugh, John",BAL,KCC,HC,1.0,0.0,32.0,13.0,23.9
7,"Tomlin, Mike",PIT,HOU,HC,1.0,0.0,30.0,12.0,22.6
8,"Reich, Frank",IND,NYJ,HC,1.0,0.0,30.0,8.0,21.4
9,"Pederson, Doug",PHI,CIN,HC,1.0,0.0,30.0,6.0,20.8
10,"Zimmer, Mike",MIN,TEN,HC,1.0,0.0,28.0,9.0,20.7
11,"Shanahan, Kyle",SFO,@NYG,HC,1.0,0.0,29.0,2.0,19.1
12,"LaFleur, Matt",GBP,@NOS,HC,1.0,0.0,26.0,6.0,18.8
13,"Fangio, Vic",DEN,TBB,HC,1.0,0.0,24.0,4.0,17.2
14,"Taylor, Zac",CIN,@PHI,HC,1.0,0.0,25.0,1.0,16.8
15,"Gase, Adam",NYJ,@IND,HC,1.0,0.0,24.0,1.0,16.3
16,"McVay, Sean",LAR,@BUF,HC,0.0,1.0,26.0,-4.0,11.8
17,"Carroll, Pete",SEA,DAL,HC,0.0,1.0,24.0,-9.0,9.3
18,"O'Brien, Bill",FA,Bye,HC,0.0,1.0,22.0,-13.0,7.1
19,"Marrone, Doug",JAC,MIA,HC,0.0,1.0,19.0,-16.0,4.7
20,"Lynn, Anthony",LAC,CAR,HC,0.0,1.0,19.0,-16.0,4.7
21,"Patricia, Matt",FA,Bye,HC,0.0,1.0,17.0,-13.0,4.6
22,"Nagy, Matt",CHI,@ATL,HC,0.0,1.0,15.0,-11.0,4.2
23,"Kingsbury, Kliff",ARI,DET,HC,0.0,1.0,18.0,-17.0,3.9
24,"Flores, Brian",MIA,@JAC,HC,0.0,1.0,17.0,-18.0,3.1
25,"Quinn, Dan",FA,Bye,HC,0.0,1.0,17.0,-18.0,3.1
26,"Gruden, Jon",LVR,@NEP,HC,0.0,1.0,15.0,-20.0,1.5
27,"McDermott, Sean",BUF,LAR,HC,0.0,1.0,14.0,-19.0,1.3

