Rank,Player,Team,Opp,Position,Att,Comp,Pass Yds,Pass TDs,0-9 PassTDs,10-19 PassTDs,20-29 PassTDs,30-39 PassTDs,40-49 PassTDs,50+ PassTDs,Int,Sacked,Rush,Rush Yds,Rush TDs,Fum Lost,Scoring Opps,Pts
1,"Watson, Deshaun",HOU,@IND,QB,35.5,23.9,294.0,2.1,0.7,0.4,0.2,0.3,0.2,0.2,0.5,2.6,6.0,30.0,0.4,0.1,5.4,27.8
2,"Jackson, Lamar",BAL,JAC,QB,31.7,19.9,228.0,1.9,1.0,0.4,0.2,0.2,0.0,0.1,0.5,1.9,10.0,59.0,0.4,0.3,4.4,26.5
3,"Rodgers, Aaron",GBP,CAR,QB,38.9,25.8,299.0,2.6,1.4,0.4,0.3,0.2,0.2,0.2,0.3,1.5,2.1,9.0,0.1,0.2,5.0,26.4
4,"Herbert, Justin",LAC,@LVR,QB,40.1,26.6,297.0,2.1,0.8,0.5,0.3,0.1,0.0,0.3,0.8,2.1,3.1,12.0,0.2,0.1,5.2,24.9
5,"Murray, Kyler",ARI,PHI,QB,32.4,21.6,230.0,1.4,0.8,0.1,0.2,0.1,0.1,0.2,0.8,2.3,8.1,49.0,0.6,0.2,4.3,24.5
6,"Mahomes, Patrick",KCC,@NOS,QB,31.6,21.3,263.0,2.1,0.8,0.3,0.4,0.1,0.3,0.2,0.3,1.7,4.5,22.0,0.2,0.1,3.5,24.1
7,"Wilson, Russell",SEA,@WAS,QB,31.1,21.0,253.0,2.1,1.0,0.5,0.2,0.1,0.2,0.2,0.7,3.4,5.9,33.0,0.1,0.2,4.6,23.9
8,"Ryan, Matt",ATL,TBB,QB,43.8,28.5,322.0,1.8,0.9,0.3,0.2,0.1,0.1,0.1,0.7,2.4,1.9,7.0,0.1,0.2,4.0,23.8
9,"Allen, Josh",BUF,@DEN,QB,31.9,20.6,234.0,1.5,0.8,0.2,0.4,0.1,0.1,0.0,0.8,2.1,7.6,34.0,0.6,0.4,3.7,23.1
10,"Tannehill, Ryan",TEN,DET,QB,30.2,19.7,245.0,2.1,1.1,0.5,0.1,0.0,0.1,0.2,0.4,1.8,2.8,13.0,0.2,0.1,4.0,22.9
